10	N05CA06	SECOBARBITAL	28:24.0	BARBITURATES
14522	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14523	R01BA51	"PHENYLPROPANOLAMINE, COMBINATIONS"	04:04.2	PROPYLAMINE DERIVATIVES
14523	R01BA51	"PHENYLPROPANOLAMINE, COMBINATIONS"	12:12.0	SYMPATHOMIMETIC (ADRENERGIC) AGENTS
14524	N02AA01	MORPHINE	28:08.1	OPIATE AGONISTS
14525	R06AX12	TERFENADINE	04:08.0	SECOND GENERATION ANTIHISTAMINES
14527	J01MA01	OFLOXACIN	08:12.2	QUINOLONES
14528	J01MA01	OFLOXACIN	08:12.2	QUINOLONES
14529	G03DA02	MEDROXYPROGESTERONE	08:32.0	PROGESTINS
1453			92:02.00*	HOMEOPATHIC PRODUCTS
14531	J01MA01	OFLOXACIN	08:12.2	QUINOLONES
14534	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
14535	N06AA04	CLOMIPRAMINE	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS
14536	N06AA04	CLOMIPRAMINE	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS
14537	N06AA04	CLOMIPRAMINE	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS
14538	N02BA06	SALICYLOYLSALICYLIC ACID	28:08.04.24	SALICYLATES
14539	N02BA06	SALICYLOYLSALICYLIC ACID	28:08.04.24	SALICYLATES
1454			92:02.00*	HOMEOPATHIC PRODUCTS
14540	R01BA51	"PHENYLPROPANOLAMINE, COMBINATIONS"	04:04.2	PROPYLAMINE DERIVATIVES
14540	R01BA51	"PHENYLPROPANOLAMINE, COMBINATIONS"	12:12.0	SYMPATHOMIMETIC (ADRENERGIC) AGENTS
14544			92:02.00*	HOMEOPATHIC PRODUCTS
14545			92:02.00*	HOMEOPATHIC PRODUCTS
14546			92:02.00*	HOMEOPATHIC PRODUCTS
14547			92:02.00*	HOMEOPATHIC PRODUCTS
14548			92:02.00*	HOMEOPATHIC PRODUCTS
14549			92:02.00*	HOMEOPATHIC PRODUCTS
1455			92:02.00*	HOMEOPATHIC PRODUCTS
14550			92:02.00*	HOMEOPATHIC PRODUCTS
14556	N02AA	NATURAL OPIUM ALKALOIDS	28:08.1	OPIATE AGONISTS
14557			92:02.00*	HOMEOPATHIC PRODUCTS
14558	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14559	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
1456			92:02.00*	HOMEOPATHIC PRODUCTS
14560	A02AD01	ORDINARY SALT COMBINATIONS	56:04.0	ANTACIDS AND ADSORBENTS
14561	A02AD01	ORDINARY SALT COMBINATIONS	56:04.0	ANTACIDS AND ADSORBENTS
14562	A02AF02	ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS	56:04.0	ANTACIDS AND ADSORBENTS
14563	A02AF02	ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS	56:04.0	ANTACIDS AND ADSORBENTS
14564	M02AC	PREPARATIONS WITH SALICYLIC ACID DERIVATIVES	28:08.04.24	SALICYLATES
14568	D08AC52	"CHLORHEXIDINE, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
14569			92:02.00*	HOMEOPATHIC PRODUCTS
1457			92:02.00*	HOMEOPATHIC PRODUCTS
1458			92:02.00*	HOMEOPATHIC PRODUCTS
14580	V07AB	"SOLVENTS AND DILUTING AGENTS,INCL IRRIGAT SOLUT"	40:50.00*	DILUENTS
14581			38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14582	A07BC52	"KAOLIN, COMBINATIONS"	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
14582	A07BC52	"KAOLIN, COMBINATIONS"	56:08.0	ANTIDIARRHEA AGENTS
14583	A01AC01	TRIAMCINOLONE	24:06.0	ANTI-INFLAMMATORY AGENTS
14584	D05AA	TARS	24:28.0	KERATOLYTIC AGENTS
14584	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
14585	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
14586	R01AD04	FLUNISOLIDE	52:08.1	CORTICOSTEROIDS
1459	D02AA	SILICONE PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
146	N02AA01	MORPHINE	28:08.1	OPIATE AGONISTS
1460	M03BB53	"CHLORZOXAZONE, COMBINATIONS EXCL PSYCHOLEPTICS"	12:20.0	CENTRALLY ACTING SKELETAL MUSCLE RELAXANTS
1460	M03BB53	"CHLORZOXAZONE, COMBINATIONS EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
14600	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14605	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14608	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14609	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14610	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14612			28:28.0	MULTIVITAMIN PREPARATIONS
14615	A11JA	COMBINATIONS OF VITAMINS	28:28.0	MULTIVITAMIN PREPARATIONS
14616	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14617	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14618	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
14619	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
1462	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14621	A07BB	BISMUTH PREPARATIONS	56:04.0	ANTACIDS AND ADSORBENTS
14622			56:04.0	ANTACIDS AND ADSORBENTS
14623	L02BB02	NILUTAMIDE	10:00.0	ANTINEOPLASTIC AGENTS
14625			92:02.00*	HOMEOPATHIC PRODUCTS
14626			92:02.00*	HOMEOPATHIC PRODUCTS
14628			92:02.00*	HOMEOPATHIC PRODUCTS
14629			92:02.00*	HOMEOPATHIC PRODUCTS
1463	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
14630			92:02.00*	HOMEOPATHIC PRODUCTS
14633	R03AC02	SALBUTAMOL	12:12.08.12	SELECTIVE BETA 2-ADRENERGIC AGONISTS
14634	R05DA09	DEXTROMETHORPHAN	48:08.0	ANTITUSSIVES
14637	R01AD08	FLUTICASONE	52:08.0	ANTI-INFLAMMATORY AGENTS
14638	B05XA03	SODIUM CHLORIDE	40:12.0	REPLACEMENT PREPARATIONS
14639			92:02.00*	HOMEOPATHIC PRODUCTS
1464			92:02.00*	HOMEOPATHIC PRODUCTS
14640			92:02.00*	HOMEOPATHIC PRODUCTS
14641			92:02.00*	HOMEOPATHIC PRODUCTS
14642			92:02.00*	HOMEOPATHIC PRODUCTS
14643			92:02.00*	HOMEOPATHIC PRODUCTS
14644			92:02.00*	HOMEOPATHIC PRODUCTS
14645			92:02.00*	HOMEOPATHIC PRODUCTS
14646			92:02.00*	HOMEOPATHIC PRODUCTS
14647			92:02.00*	HOMEOPATHIC PRODUCTS
14648			92:02.00*	HOMEOPATHIC PRODUCTS
14649			92:02.00*	HOMEOPATHIC PRODUCTS
1465	J01CE10	BENZATHINE PHENOXYMETHYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
14650			92:02.00*	HOMEOPATHIC PRODUCTS
14651			92:02.00*	HOMEOPATHIC PRODUCTS
14652			92:02.00*	HOMEOPATHIC PRODUCTS
14653			92:02.00*	HOMEOPATHIC PRODUCTS
14654			92:02.00*	HOMEOPATHIC PRODUCTS
14655			92:02.00*	HOMEOPATHIC PRODUCTS
14656			92:02.00*	HOMEOPATHIC PRODUCTS
14657			92:02.00*	HOMEOPATHIC PRODUCTS
14658			92:02.00*	HOMEOPATHIC PRODUCTS
14659			92:02.00*	HOMEOPATHIC PRODUCTS
1466	N05CD01	FLURAZEPAM	28:24.1	BENZODIAZEPINES
14660			92:02.00*	HOMEOPATHIC PRODUCTS
14661			92:02.00*	HOMEOPATHIC PRODUCTS
14663			92:02.00*	HOMEOPATHIC PRODUCTS
14664			92:02.00*	HOMEOPATHIC PRODUCTS
14666			92:02.00*	HOMEOPATHIC PRODUCTS
14667			92:02.00*	HOMEOPATHIC PRODUCTS
14668			92:02.00*	HOMEOPATHIC PRODUCTS
1467	D07AB09	TRIAMCINOLONE	24:06.0	ANTI-INFLAMMATORY AGENTS
14670			92:02.00*	HOMEOPATHIC PRODUCTS
14671			92:02.00*	HOMEOPATHIC PRODUCTS
14672			92:02.00*	HOMEOPATHIC PRODUCTS
14673			92:02.00*	HOMEOPATHIC PRODUCTS
14674			92:02.00*	HOMEOPATHIC PRODUCTS
14675			92:02.00*	HOMEOPATHIC PRODUCTS
14677			92:02.00*	HOMEOPATHIC PRODUCTS
14678			92:02.00*	HOMEOPATHIC PRODUCTS
14679			92:02.00*	HOMEOPATHIC PRODUCTS
1468	D07AB09	TRIAMCINOLONE	24:06.0	ANTI-INFLAMMATORY AGENTS
14680			92:02.00*	HOMEOPATHIC PRODUCTS
14682			92:02.00*	HOMEOPATHIC PRODUCTS
14684	B03BB01	FOLIC ACID	28:08.0	VITAMIN B COMPLEX
14685	A12AA03	CALCIUM GLUCONATE	40:12.0	REPLACEMENT PREPARATIONS
14686	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14688	R03DA05	AMINOPHYLLINE	26:16.0	RESPIRATORY SMOOTH MUSCLE RELAXANTS
14689	A11JA	COMBINATIONS OF VITAMINS	28:08.0	VITAMIN B COMPLEX
14689	A11JA	COMBINATIONS OF VITAMINS	28:12.0	VITAMIN C
1469	B02AA01	AMINOCAPROIC ACID	20:28.2	HEMOSTATICS
14692	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14693	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14694	B06AA11	BROMELAINS	44:00.0	ENZYMES
14695	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14698	D08AC02	CHLORHEXIDINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
147			92:01.00*	HERBS AND NATURAL PRODUCTS
14701	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14702	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14703	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14704	C05AA01	HYDROCORTISONE	24:06.0	ANTI-INFLAMMATORY AGENTS
14706	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14707	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14708	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14709	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14710	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
14711	C01EB10	ADENOSINE	24:04.9	MISCELLANEOUS CARDIAC DRUGS
14712	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14714	A01AA01	SODIUM FLUORIDE	32:00.0	MISCELLANEOUS THERAPEUTIC AGENTS
14716	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
14718	D02BA	PROTECTIVES AGAINST UV-RADIATION FOR TOPICAL USE	84:80.00	SUNSCREEN AGENTS
14719	A11CA02	BETA-CAROTENE	28:04.0	VITAMIN A
14720	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
14721	A11EB	VITAMIN B-COMPLEX WITH VITAMIN C	88:28.01*	VITAMINS & MINERALS
14722	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14723	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14724	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14725	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
14726	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14727	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14728	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14729	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
1473	G03AA06	NORGESTREL AND ESTROGEN	08:12.0	CONTRACEPTIVES
14730	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
14731	D03AA	COD-LIVER OIL OINTMENTS	24:24.0	EMOLLIENTS DEMULCENTS AND PROTECTANTS
14732	J07AX	OTHER BACTERIAL VACCINES	20:12.0	VACCINES
14733	R05DA20	COMBINATIONS	48:08.0	ANTITUSSIVES
14734	A10BB01	GLIBENCLAMIDE	08:20.2	SULFONYLUREAS
14736	J01MB02	NALIDIXIC ACID	08:12.2	QUINOLONES
14737	C04AD03	PENTOXIFYLLINE	20:24.0	HEMORRHEOLOGIC AGENTS
14738			88:29.00*	MINERALS
14739	A11JB	VITAMINS WITH MINERALS	88:28.01*	VITAMINS & MINERALS
1474	A07AA02	NYSTATIN	08:14.3	POLYENES
14740	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14741	A03AX13	SILICONES	56:10.0	ANTIFLATULENTS
14743	D08AE05	CHLOROXYLENOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
14744	D08AE05	CHLOROXYLENOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
14745	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
14746	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
1475			92:01.00*	HERBS AND NATURAL PRODUCTS
14753	J01DD02	CEFTAZIDIME	08:12.06.12	THIRD GENERATION CEPHALOSPORINS
14754	D08AX55	"ISOPROPANOL, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
14755	H02AB09	HYDROCORTISONE	08:04.0	ADRENALS
14756	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
14757	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14759	C08DB01	DILTIAZEM	24:28.9	MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS
1476			92:01.00*	HERBS AND NATURAL PRODUCTS
14760	D01AE22	NAFTIFINE	84:04.08.04	ALLYLAMINES
14761	D01AE22	NAFTIFINE	84:04.08.04	ALLYLAMINES
14762	C08CA05	NIFEDIPINE	24:28.1	DIHYDROPYRIDINES
14763	J01XE01	NITROFURANTOIN	08:36.0	URINARY ANTI-INFECTIVES
14768	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
14769	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
14770	A03AX13	SILICONES	56:10.0	ANTIFLATULENTS
14771	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
14775	B06AA11	BROMELAINS	44:00.0	ENZYMES
14776	A11JC	"VITAMINS, OTHER COMBINATIONS"	88:28.01*	VITAMINS & MINERALS
14777	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14778	B05ZA	"HEMODIALYTICS, CONCENTRATES"	40:34.00*	HEMODIALYSIS SOLUTION
14779	A02AA04	MAGNESIUM HYDROXIDE	56:04.0	ANTACIDS AND ADSORBENTS
14781	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
14782	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
14784	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
14785			92:02.00*	HOMEOPATHIC PRODUCTS
14786			92:02.00*	HOMEOPATHIC PRODUCTS
14787			92:02.00*	HOMEOPATHIC PRODUCTS
14788			92:02.00*	HOMEOPATHIC PRODUCTS
14789	R05DA09	DEXTROMETHORPHAN	48:08.0	ANTITUSSIVES
14790	N01AB04	ENFLURANE	28:04.2	INHALATION ANESTHETICS
14791			92:02.00*	HOMEOPATHIC PRODUCTS
14793			92:02.00*	HOMEOPATHIC PRODUCTS
14794			92:02.00*	HOMEOPATHIC PRODUCTS
14795			92:02.00*	HOMEOPATHIC PRODUCTS
14796			92:02.00*	HOMEOPATHIC PRODUCTS
14797			92:02.00*	HOMEOPATHIC PRODUCTS
14798			92:02.00*	HOMEOPATHIC PRODUCTS
14799			92:02.00*	HOMEOPATHIC PRODUCTS
1480	C01AA05	DIGOXIN	24:04.1	CARDIOTONIC AGENTS
14800			92:02.00*	HOMEOPATHIC PRODUCTS
14801			92:02.00*	HOMEOPATHIC PRODUCTS
14803			92:02.00*	HOMEOPATHIC PRODUCTS
14804			92:02.00*	HOMEOPATHIC PRODUCTS
14805			92:02.00*	HOMEOPATHIC PRODUCTS
14807			92:02.00*	HOMEOPATHIC PRODUCTS
14808			92:02.00*	HOMEOPATHIC PRODUCTS
14809			92:02.00*	HOMEOPATHIC PRODUCTS
1481	C01AA05	DIGOXIN	24:04.1	CARDIOTONIC AGENTS
14811			92:02.00*	HOMEOPATHIC PRODUCTS
14812			92:02.00*	HOMEOPATHIC PRODUCTS
14813			92:02.00*	HOMEOPATHIC PRODUCTS
14814			92:02.00*	HOMEOPATHIC PRODUCTS
14815			92:02.00*	HOMEOPATHIC PRODUCTS
14816			92:02.00*	HOMEOPATHIC PRODUCTS
14817			92:02.00*	HOMEOPATHIC PRODUCTS
14819			92:02.00*	HOMEOPATHIC PRODUCTS
1482	J01CE10	BENZATHINE PHENOXYMETHYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
14821			92:02.00*	HOMEOPATHIC PRODUCTS
14822			92:02.00*	HOMEOPATHIC PRODUCTS
14823			92:02.00*	HOMEOPATHIC PRODUCTS
14824			92:02.00*	HOMEOPATHIC PRODUCTS
14825			92:02.00*	HOMEOPATHIC PRODUCTS
14826			92:02.00*	HOMEOPATHIC PRODUCTS
14827			92:02.00*	HOMEOPATHIC PRODUCTS
14828			92:02.00*	HOMEOPATHIC PRODUCTS
14829			92:02.00*	HOMEOPATHIC PRODUCTS
1483	J01CE10	BENZATHINE PHENOXYMETHYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
14830			92:02.00*	HOMEOPATHIC PRODUCTS
14831			92:02.00*	HOMEOPATHIC PRODUCTS
14832			92:02.00*	HOMEOPATHIC PRODUCTS
14833			92:02.00*	HOMEOPATHIC PRODUCTS
14834			92:02.00*	HOMEOPATHIC PRODUCTS
14835			92:02.00*	HOMEOPATHIC PRODUCTS
14839			92:02.00*	HOMEOPATHIC PRODUCTS
1484	J01CE02	PHENOXYMETHYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
14840			92:02.00*	HOMEOPATHIC PRODUCTS
14841			92:02.00*	HOMEOPATHIC PRODUCTS
14842			92:02.00*	HOMEOPATHIC PRODUCTS
14843			92:02.00*	HOMEOPATHIC PRODUCTS
14845			92:02.00*	HOMEOPATHIC PRODUCTS
14846			92:02.00*	HOMEOPATHIC PRODUCTS
14847			92:02.00*	HOMEOPATHIC PRODUCTS
14848			92:02.00*	HOMEOPATHIC PRODUCTS
14849			92:02.00*	HOMEOPATHIC PRODUCTS
1485	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
14850			92:02.00*	HOMEOPATHIC PRODUCTS
14851			92:02.00*	HOMEOPATHIC PRODUCTS
14852			92:02.00*	HOMEOPATHIC PRODUCTS
14853			92:02.00*	HOMEOPATHIC PRODUCTS
14854			92:02.00*	HOMEOPATHIC PRODUCTS
14855			92:02.00*	HOMEOPATHIC PRODUCTS
14856			92:02.00*	HOMEOPATHIC PRODUCTS
14857			92:02.00*	HOMEOPATHIC PRODUCTS
14859			92:02.00*	HOMEOPATHIC PRODUCTS
1486	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
14860			92:02.00*	HOMEOPATHIC PRODUCTS
14861			92:02.00*	HOMEOPATHIC PRODUCTS
14862			92:02.00*	HOMEOPATHIC PRODUCTS
14863			92:02.00*	HOMEOPATHIC PRODUCTS
14864			92:02.00*	HOMEOPATHIC PRODUCTS
14865			92:02.00*	HOMEOPATHIC PRODUCTS
14867			92:02.00*	HOMEOPATHIC PRODUCTS
14868			92:02.00*	HOMEOPATHIC PRODUCTS
14869			92:02.00*	HOMEOPATHIC PRODUCTS
14870			92:02.00*	HOMEOPATHIC PRODUCTS
14871			92:02.00*	HOMEOPATHIC PRODUCTS
14872			92:02.00*	HOMEOPATHIC PRODUCTS
14873			92:02.00*	HOMEOPATHIC PRODUCTS
14874			92:02.00*	HOMEOPATHIC PRODUCTS
14875			92:02.00*	HOMEOPATHIC PRODUCTS
14876			92:02.00*	HOMEOPATHIC PRODUCTS
14877			92:02.00*	HOMEOPATHIC PRODUCTS
14879			92:02.00*	HOMEOPATHIC PRODUCTS
14880			92:02.00*	HOMEOPATHIC PRODUCTS
14881			92:02.00*	HOMEOPATHIC PRODUCTS
14882			92:02.00*	HOMEOPATHIC PRODUCTS
14883			92:02.00*	HOMEOPATHIC PRODUCTS
14885			92:02.00*	HOMEOPATHIC PRODUCTS
14886			92:02.00*	HOMEOPATHIC PRODUCTS
14887			92:02.00*	HOMEOPATHIC PRODUCTS
14888			92:02.00*	HOMEOPATHIC PRODUCTS
14889			92:02.00*	HOMEOPATHIC PRODUCTS
1489			28:28.0	MULTIVITAMIN PREPARATIONS
14890			92:02.00*	HOMEOPATHIC PRODUCTS
14891			92:02.00*	HOMEOPATHIC PRODUCTS
14892			92:02.00*	HOMEOPATHIC PRODUCTS
14894			92:02.00*	HOMEOPATHIC PRODUCTS
14895			92:02.00*	HOMEOPATHIC PRODUCTS
14896			92:02.00*	HOMEOPATHIC PRODUCTS
14897			92:02.00*	HOMEOPATHIC PRODUCTS
14898			92:02.00*	HOMEOPATHIC PRODUCTS
14899			92:02.00*	HOMEOPATHIC PRODUCTS
1490	N06CA01	AMITRIPTYLINE AND PSYCHOLEPTICS	28:16.04.28	TRICYCLICS AND OTHER NOREPINEPHRINE-REUPTAKE INHIBITORS
1490	N06CA01	AMITRIPTYLINE AND PSYCHOLEPTICS	28:16.08.24	PHENOTHIAZINES
14900			92:02.00*	HOMEOPATHIC PRODUCTS
14901			92:02.00*	HOMEOPATHIC PRODUCTS
14902			92:02.00*	HOMEOPATHIC PRODUCTS
14903			92:02.00*	HOMEOPATHIC PRODUCTS
14904			92:02.00*	HOMEOPATHIC PRODUCTS
14906			92:02.00*	HOMEOPATHIC PRODUCTS
14908			92:02.00*	HOMEOPATHIC PRODUCTS
1491	C01BA01	QUINIDINE	24:04.04.04	CLASS IA ANTIARRYTHMICS
14910			92:02.00*	HOMEOPATHIC PRODUCTS
14911			92:02.00*	HOMEOPATHIC PRODUCTS
14912			92:02.00*	HOMEOPATHIC PRODUCTS
14913			92:02.00*	HOMEOPATHIC PRODUCTS
14914			92:02.00*	HOMEOPATHIC PRODUCTS
14915			92:02.00*	HOMEOPATHIC PRODUCTS
14916			92:02.00*	HOMEOPATHIC PRODUCTS
14917			92:02.00*	HOMEOPATHIC PRODUCTS
14918			92:02.00*	HOMEOPATHIC PRODUCTS
14919			92:02.00*	HOMEOPATHIC PRODUCTS
14920			92:02.00*	HOMEOPATHIC PRODUCTS
14922			92:02.00*	HOMEOPATHIC PRODUCTS
14923			92:02.00*	HOMEOPATHIC PRODUCTS
14924			92:02.00*	HOMEOPATHIC PRODUCTS
14925			92:02.00*	HOMEOPATHIC PRODUCTS
14926			92:02.00*	HOMEOPATHIC PRODUCTS
14927			92:02.00*	HOMEOPATHIC PRODUCTS
14928	C07AA06	TIMOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14929	C07AA06	TIMOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
1493	V07AX	WASHING AGENTS ETC.	24:20.0	DETERGENTS
14930	C07AA06	TIMOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14931	M04AB02	SULFINPYRAZONE	40:40.0	URICOSURIC AGENTS
14932	M04AB02	SULFINPYRAZONE	40:40.0	URICOSURIC AGENTS
14933	C07AA05	PROPRANOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14934	C07AA05	PROPRANOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14935	C07AA05	PROPRANOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14936	C07AA05	PROPRANOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14937	C07AA05	PROPRANOLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
14938	J01FA01	ERYTHROMYCIN	08:12.12.04	ERYTHROMYCINS
14939	J01AA02	DOXYCYCLINE	08:12.2	TETRACYCLINES
1494	D10AX30	VARIOUS COMBINATIONS	24:32.0	KERATOPLASTIC AGENTS
14940	J01AA02	DOXYCYCLINE	08:12.2	TETRACYCLINES
14941	N03AF01	CARBAMAZEPINE	28:12.9	MISCELLANEOUS ANTICONVULSANTS
14943			92:02.00*	HOMEOPATHIC PRODUCTS
14944			92:02.00*	HOMEOPATHIC PRODUCTS
14945			92:02.00*	HOMEOPATHIC PRODUCTS
14946			92:02.00*	HOMEOPATHIC PRODUCTS
14947			92:02.00*	HOMEOPATHIC PRODUCTS
1495	D05AA	TARS	24:32.0	KERATOPLASTIC AGENTS
14950			92:02.00*	HOMEOPATHIC PRODUCTS
14951			92:02.00*	HOMEOPATHIC PRODUCTS
14952			92:02.00*	HOMEOPATHIC PRODUCTS
14954			92:02.00*	HOMEOPATHIC PRODUCTS
14955			92:02.00*	HOMEOPATHIC PRODUCTS
14956			92:02.00*	HOMEOPATHIC PRODUCTS
14957			92:02.00*	HOMEOPATHIC PRODUCTS
14959			92:02.00*	HOMEOPATHIC PRODUCTS
1496	R03CB03	ORCIPRENALINE	12:12.08.12	SELECTIVE BETA 2-ADRENERGIC AGONISTS
14961			92:02.00*	HOMEOPATHIC PRODUCTS
14962			92:02.00*	HOMEOPATHIC PRODUCTS
14963			92:02.00*	HOMEOPATHIC PRODUCTS
14964			92:02.00*	HOMEOPATHIC PRODUCTS
14965			92:02.00*	HOMEOPATHIC PRODUCTS
