CONCEPT_NAME_1	CONCEPT_CLASS_ID_1	CONCEPT_ID_2	CONCEPT_NAME_2	INVALID_REASON_2	PRECEDENCE	CONVERSION_FACTOR
ORAL TABLET (SLOW-RELEASE)	Dose Form	19082079	Extended Release Oral Tablet		1	
ORAL TABLET (SLOW-RELEASE)	Dose Form	19001949	Delayed Release Oral Tablet		2	
ORAL TABLET FOR SUSPENSION	Dose Form	19082076	Disintegrating Oral Tablet		1	
ORAL TABLET FOR SUSPENSION	Dose Form	19082573	Oral Tablet		2	
ORAL TEA (HERBAL)	Dose Form	19082170	Oral Solution		1	
ORAL TINCTURE	Dose Form	19082170	Oral Solution		1	
ORAL TOOTHPASTE	Dose Form	19009068	Toothpaste		1	
ORAL WAFER	Dose Form	19082251	Chewable Tablet		1	
ORAL WAFER	Dose Form	19082573	Oral Tablet		2	
OTIC DROPS	Dose Form	19082195	Otic Solution		1	
OTIC DROPS	Dose Form	19082196	Otic Suspension		2	
OTIC LIQUID	Dose Form	19082195	Otic Solution		1	
OTIC LIQUID	Dose Form	19082196	Otic Suspension		2	
OTIC SOLUTION	Dose Form	19082195	Otic Solution		1	
OTIC SUSPENSION	Dose Form	19082196	Otic Suspension		1	
PARENTERAL (UNSPECIFIED) LIQUID	Dose Form	19082103	Injectable Solution		1	
PARENTERAL (UNSPECIFIED) LIQUID	Dose Form	19082104	Injectable Suspension		2	
PARENTERAL (UNSPECIFIED) POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
PARENTERAL (UNSPECIFIED) POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
PARENTERAL (UNSPECIFIED) SOLUTION	Dose Form	19082103	Injectable Solution		1	
PARENTERAL (UNSPECIFIED) SOLUTION	Dose Form	19082104	Injectable Suspension		2	
PERCUTANEOUS LIQUID	Dose Form	19082103	Injectable Solution		1	
PERCUTANEOUS LIQUID	Dose Form	19082104	Injectable Suspension		2	
PERCUTANEOUS SOLUTION	Dose Form	19082103	Injectable Solution		1	
PERCUTANEOUS SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Powder	Dose Form	19095976	Oral Powder		1	
RECTAL AEROSOL	Dose Form	19082199	Rectal Spray		1	
Rectal Cream	Dose Form	19082197	Rectal Cream		1	
Rectal Cream	Dose Form	19082282	Rectal Ointment		2	
RECTAL ENEMA	Dose Form	19082627	Enema		1	
RECTAL ENEMA	Dose Form	19082283	Rectal Solution		2	
RECTAL ENEMA	Dose Form	19082221	Rectal Suspension		3	
RECTAL GEL	Dose Form	19095917	Rectal Gel		1	
Rectal Kit	Dose Form	19082627	Enema		1	
RECTAL LIQUID	Dose Form	19082283	Rectal Solution		1	
RECTAL LIQUID	Dose Form	19082221	Rectal Suspension		2	
RECTAL OINTMENT	Dose Form	19082282	Rectal Ointment		1	
RECTAL PASTE	Dose Form	19082282	Rectal Ointment		2	
RECTAL PASTE	Dose Form	19082197	Rectal Cream		1	
Rectal Powder	Dose Form	19082198	Rectal Powder			
RECTAL POWDER FOR SOLUTION	Dose Form	19082198	Rectal Powder		1	
RECTAL POWDER FOR SOLUTION	Dose Form	19082283	Rectal Solution		2	
RECTAL SOLUTION	Dose Form	19082283	Rectal Solution		1	
RECTAL SUPPOSITORY	Dose Form	19082200	Rectal Suppository		1	
RECTAL SUPPOSITORY (SUSTAINED-RELEASE)	Dose Form	19082200	Rectal Suppository		1	
RECTAL SUSPENSION	Dose Form	19082221	Rectal Suspension		1	
Rectal Syrup	Dose Form	19082283	Rectal Solution		1	
REFER (SEE DOSAGE FORM) GAS	Dose Form	19082258	Gas for Inhalation		1	
REFER (SEE DOSAGE FORM) IMPLANT	Dose Form	19124968	Drug Implant		1	
REFER (SEE DOSAGE FORM) LIQUID	Dose Form	19082170	Oral Solution		3	
REFER (SEE DOSAGE FORM) LIQUID	Dose Form	19082103	Injectable Solution		1	
REFER (SEE DOSAGE FORM) LIQUID	Dose Form	19082104	Injectable Suspension		2	
REFER (SEE DOSAGE FORM) MOUTHWASH/GARGLE	Dose Form	19126590	Mouthwash		1	
REFER (SEE DOSAGE FORM) POWDER	Dose Form	19095976	Oral Powder		1	
REFER (SEE DOSAGE FORM) POWDER	Dose Form	19082259	Inhalant Powder		4	
REFER (SEE DOSAGE FORM) POWDER	Dose Form	19082103	Injectable Solution		3	
REFER (SEE DOSAGE FORM) POWDER	Dose Form	19082286	Topical Powder		2	
Refer (See Dosage Form) Tablet	Dose Form	19082573	Oral Tablet		1	
Refer (See Dosage Form) Toothpaste	Dose Form	19009068	Toothpaste		1	
Retrobulbar Liquid	Dose Form	19082103	Injectable Solution		1	
Retrobulbar Solution	Dose Form	19082103	Injectable Solution		1	
Soft Tissue Injection Suspension	Dose Form	19082104	Injectable Suspension			
SOLUTION	Dose Form	19082170	Oral Solution		3	
SOLUTION	Dose Form	19082228	Topical Solution		1	
SOLUTION	Dose Form	46234466	Auto-Injector		4	
SUBARACHNOIDAL LIQUID	Dose Form	19082103	Injectable Solution		1	
SUBARACHNOIDAL LIQUID	Dose Form	19082104	Injectable Suspension		2	
SUBARACHNOIDAL SOLUTION	Dose Form	19082103	Injectable Solution		1	
SUBARACHNOIDAL SOLUTION	Dose Form	19082104	Injectable Suspension		2	
Subcutaneous Capsule	Dose Form	19082168	Oral Capsule		1	
Subcutaneous Gel	Dose Form	19082103	Injectable Solution			
SUBCUTANEOUS IMPLANT	Dose Form	19124968	Drug Implant		1	
Subcutaneous Kit	Dose Form	19082103	Injectable Solution		1	
Subcutaneous Kit	Dose Form	19082104	Injectable Suspension		2	
SUBCUTANEOUS LIQUID	Dose Form	19082103	Injectable Solution		1	
SUBCUTANEOUS LIQUID	Dose Form	19082104	Injectable Suspension		2	
Subcutaneous Powder	Dose Form	19082103	Injectable Solution			
SUBCUTANEOUS POWDER FOR SOLUTION	Dose Form	19082103	Injectable Solution		1	
SUBCUTANEOUS POWDER FOR SOLUTION	Dose Form	19082104	Injectable Suspension		2	
SUBCUTANEOUS POWDER FOR SUSPENSION	Dose Form	19082103	Injectable Solution		2	
SUBCUTANEOUS POWDER FOR SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
"SUBCUTANEOUS POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	Dose Form	19082103	Injectable Solution		2	
"SUBCUTANEOUS POWDER FOR SUSPENSION, SUSTAINED-RELEASE"	Dose Form	19082104	Injectable Suspension		1	
SUBCUTANEOUS SOLUTION	Dose Form	19082103	Injectable Solution		1	
SUBCUTANEOUS SOLUTION	Dose Form	19082104	Injectable Suspension		2	
SUBCUTANEOUS SOLUTION (EXTENDED RELEASE)	Dose Form	19082103	Injectable Solution		1	
SUBCUTANEOUS SOLUTION (EXTENDED RELEASE)	Dose Form	19082104	Injectable Suspension		2	
SUBCUTANEOUS SUSPENSION	Dose Form	19082103	Injectable Solution		2	
SUBCUTANEOUS SUSPENSION	Dose Form	19082104	Injectable Suspension		1	
SUBCUTANEOUS SUSPENSION (LENTE)	Dose Form	19082103	Injectable Solution		2	
SUBCUTANEOUS SUSPENSION (LENTE)	Dose Form	19082104	Injectable Suspension		1	
SUBGINGIVAL GEL (CONTROLLED-RELEASE)	Dose Form	19095916	Oral Gel		1	
SUBGINGIVAL GEL (CONTROLLED-RELEASE)	Dose Form	19082170	Oral Solution		2	
SUBGINGIVAL POWDER (EXTENDED RELEASE)	Dose Form	19095976	Oral Powder		1	
Sublingual Drops	Dose Form	19082170	Oral Solution		1	
Sublingual Drops	Dose Form	19082191	Oral Suspension		2	
Sublingual Globules	Dose Form	19082651	Oral Granules		1	
SUBLINGUAL LIQUID	Dose Form	19082170	Oral Solution		1	
SUBLINGUAL LIQUID	Dose Form	19082191	Oral Suspension		2	
SUBLINGUAL METERED-DOSE AEROSOL	Dose Form	19126918	Metered Dose Inhaler		1	
SUBLINGUAL METERED-DOSE PUMP	Dose Form	19126918	Metered Dose Inhaler		1	
SUBLINGUAL POWDER	Dose Form	19095976	Oral Powder		1	
SUBLINGUAL TABLET	Dose Form	19082285	Sublingual Tablet		1	
Sublingual Tablet (Effervescent)	Dose Form	40164192	Buccal Film		1	
SUBLINGUAL TABLET (ORALLY DISINTEGRATING)	Dose Form	19082285	Sublingual Tablet		1	
SUBLINGUAL TABLET (ORALLY DISINTEGRATING)	Dose Form	19082076	Disintegrating Oral Tablet		2	
SUBMUCOSAL SOLUTION	Dose Form	19082170	Oral Solution		1	
SUBMUCOSAL SOLUTION	Dose Form	19082191	Oral Suspension		2	
TOPICAL 0-UNASSIGNED	Dose Form	19082228	Topical Solution		1	
TOPICAL AEROSOL	Dose Form	19095912	Topical Spray		1	
"TOPICAL AEROSOL, FOAM"	Dose Form	19095972	Topical Foam		1	
"TOPICAL AEROSOL, FOAM"	Dose Form	19095912	Topical Spray		2	
TOPICAL CREAM	Dose Form	19082224	Topical Cream		1	
TOPICAL DISC	Dose Form	19124968	Drug Implant		1	
TOPICAL DRESSING	Dose Form	19082227	Topical Ointment		2	
TOPICAL DRESSING	Dose Form	19082228	Topical Solution		1	
TOPICAL DROPS	Dose Form	19082228	Topical Solution		1	
TOPICAL EMULSION	Dose Form	46234410	Topical Suspension		1	
TOPICAL GEL	Dose Form	19095973	Topical Gel		1	
TOPICAL JELLY	Dose Form	19095973	Topical Gel		1	
TOPICAL KIT	Dose Form	19082224	Topical Cream		2	
TOPICAL KIT	Dose Form	19082228	Topical Solution		1	
TOPICAL LIQUID	Dose Form	19082228	Topical Solution		1	
TOPICAL LOTION	Dose Form	19082225	Topical Lotion		1	
TOPICAL METERED-DOSE AEROSOL	Dose Form	19126918	Metered Dose Inhaler		1	
TOPICAL METERED-DOSE PUMP	Dose Form	19126918	Metered Dose Inhaler		1	
TOPICAL OINTMENT	Dose Form	19082227	Topical Ointment		1	
TOPICAL PAD	Dose Form	19082229	Transdermal System		1	
TOPICAL PASTE	Dose Form	19082224	Topical Cream		1	
TOPICAL PASTE	Dose Form	19082227	Topical Ointment		2	
TOPICAL PATCH	Dose Form	19082229	Transdermal System		1	
TOPICAL PLASTER	Dose Form	19082229	Transdermal System		1	
TOPICAL POWDER	Dose Form	19082286	Topical Powder		1	
TOPICAL POWDER FOR SOLUTION	Dose Form	19082228	Topical Solution		1	
TOPICAL SHAMPOO	Dose Form	19008697	Medicated Shampoo		1	
TOPICAL SOAP BAR	Dose Form	19082108	Medicated Bar Soap		1	
TOPICAL SOLUTION	Dose Form	19082228	Topical Solution		1	
TOPICAL SPONGE	Dose Form	19130307	Medicated Pad		2	
TOPICAL SPONGE	Dose Form	19082228	Topical Solution		1	
TOPICAL SPRAY	Dose Form	19095912	Topical Spray		1	
"TOPICAL SPRAY, BAG-ON-VALVE"	Dose Form	19095912	Topical Spray		1	
"TOPICAL SPRAY, METERED DOSE"	Dose Form	19095912	Topical Spray		1	
TOPICAL STRIP	Dose Form	19082229	Transdermal System		1	
Topical Suppository	Dose Form	19093368	Vaginal Suppository		1	
TOPICAL SUSPENSION	Dose Form	46234410	Topical Suspension		1	
TOPICAL SWAB	Dose Form	19130307	Medicated Pad		2	
TOPICAL SWAB	Dose Form	19082228	Topical Solution		1	
TOPICAL TABLET	Dose Form	19082573	Oral Tablet		1	
TOPICAL TAPE	Dose Form	19130329	Medicated Tape		1	
TOPICAL TINCTURE	Dose Form	19082228	Topical Solution		1	
TOPICAL TOOTHPASTE	Dose Form	19009068	Toothpaste		1	
Topical Vaginal Tablet	Dose Form	19010962	Vaginal Tablet		1	
TOPICAL WIPE	Dose Form	19130307	Medicated Pad		2	
TOPICAL WIPE	Dose Form	19082228	Topical Solution		1	
TRANSDERMAL GEL	Dose Form	19095973	Topical Gel		1	
TRANSDERMAL PATCH	Dose Form	19082229	Transdermal System		1	
TRANSDERMAL PATCH (EXTENDED RELEASE)	Dose Form	19082229	Transdermal System		1	
URETHRAL JELLY	Dose Form	19095974	Urethral Gel		1	
URETHRAL LIQUID	Dose Form	19095974	Urethral Gel		1	
URETHRAL SOLUTION	Dose Form	19095974	Urethral Gel		1	
URETHRAL SUPPOSITORY	Dose Form	19082575	Urethral Suppository		1	
Vaginal Capsule	Dose Form	19093368	Vaginal Suppository		1	
Vaginal Capsule	Dose Form	19010962	Vaginal Tablet		2	
VAGINAL CREAM	Dose Form	19010878	Vaginal Cream		1	
VAGINAL DOUCHE	Dose Form	19010880	Vaginal Gel		1	
VAGINAL GEL	Dose Form	19010880	Vaginal Gel		1	
VAGINAL INSERT	Dose Form	40167393	Vaginal Ring		1	
VAGINAL LIQUID	Dose Form	19010880	Vaginal Gel		1	
VAGINAL OINTMENT	Dose Form	19082287	Vaginal Ointment		1	
VAGINAL OVULE	Dose Form	19010962	Vaginal Tablet		1	
VAGINAL POWDER	Dose Form	19082230	Vaginal Powder		1	
Vaginal Powder For Solution	Dose Form	19082103	Injectable Solution		1	
VAGINAL RING (SLOW-RELEASE)	Dose Form	40167393	Vaginal Ring		1	
VAGINAL SUPPOSITORY	Dose Form	19093368	Vaginal Suppository		1	
VAGINAL TABLET	Dose Form	19010962	Vaginal Tablet		1	
VAGINAL VAGINAL TABLET	Dose Form	19010962	Vaginal Tablet		1	
"VAGINAL VAGINAL TABLET, EFFERVESCENT"	Dose Form	19010962	Vaginal Tablet		1	
Paste	Dose Form	19009068	Toothpaste		1	
Oral Metered-Dose Pump	Dose Form	19095973	Topical Gel		1	
Intraintestinal (Upper) Gel	Dose Form	19082191	Oral Suspension		1	
Toothpaste	Dose Form	19009068	Toothpaste		1	
Nasal Gas	Dose Form	19082258	Gas for Inhalation		1	
Miscellaneous Tablet	Dose Form	19082573	Oral Tablet		1	
Ophthalmic Powder	Dose Form	19129634	Ophthalmic Solution		1	
Otic Ointment	Dose Form	19082194	Otic Ointment		1	
Nerve Block Solution	Dose Form	19082103	Injectable Solution		1	
Intratracheal Solution	Dose Form	19082103	Injectable Solution		1	
Implant	Dose Form	19124968	Drug Implant		1	
Intraventricular Solution	Dose Form	19082103	Injectable Solution		1	
Intra-Arterial Powder For Solution	Dose Form	19082103	Injectable Solution		1	
Intralesional Powder	Dose Form	19082103	Injectable Solution		1	
Intratracheal Kit	Dose Form	19095898	Inhalant Solution		1	
Intraocular Kit	Dose Form	19129634	Ophthalmic Solution		1	
Intraocular Kit	Dose Form	19059413	Ophthalmic Irrigation Solution		2	
Subcutaneous Suspension (Ultra-Lente)	Dose Form	19082104	Injectable Suspension		1	
Nasal Aerosol	Dose Form	19095898	Inhalant Solution		1	
Inhalation Kit	Dose Form	19095898	Inhalant Solution		1	
Buccal Kit	Dose Form	19126590	Mouthwash		1	
Buccal Kit	Dose Form	19082170	Oral Solution		2	
