CONCEPT_NAME_1	CONCEPT_NAME_2	AMOUNT	BOX_SIZE
TRIQUILAR 28	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 50 MCG TRIQUILAR 28		
TRIQUILAR 28	ETHINYL ESTRADIOL 30MCG/ LEVONORGESTREL 125MCG TRIQUILAR 28		
VICTRELIS TRIPLE	PEGINTERFERON ALFA-2B SOLUTION 100MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	2		
VICTRELIS TRIPLE	PEGINTERFERON ALFA-2B SOLUTION 150MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	2	
VICTRELIS TRIPLE	BOCEPREVIR CAPSULE[VICTRELIS TRIPLE] VICTRELIS TRIPLE	168		
VICTRELIS TRIPLE	PEGINTERFERON ALFA-2B SOLUTION 80MCG/0.5ML [VICTRELIS TRIPLE] VICTRELIS TRIPLE	2	
VICTRELIS TRIPLE	RIBAVIRIN CAPSULE[VICTRELIS TRIPLE] VICTRELIS TRIPLE	84	
VIIBRYD	VILAZODONE HYDROCHLORIDE 10MG VIIBRYD	7	
VIIBRYD	VILAZODONE HYDROCHLORIDE 20MG VIIBRYD	7	
VIIBRYD	VILAZODONE HYDROCHLORIDE 40MG VIIBRYD	16	
