CONCEPT_CODE	AIC	CONCEPT_NAME	INGREDIENT	AMOUNT_VALUE	AMOUNT_UNIT	DENOMINATOR_VALUE	DENOMINATOR_UNIT	NUMERATOR_VALUE	NUMERATOR_UNIT	NOTES	DRUG_CODE	BRAND_NAME	NUMBER_OF_AIS	INVALID_REASON
2029421	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.18MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
2029421	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.215MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((LIGHT BLUE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
2029421	7426	ETHINYL ESTRADIOL 0.035MG / NORGESTIMATE 0.25MG ORAL TABLET TRI-CYCLEN TABLETS - 28-DAY	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((BLUE TAB))	2029421	TRI-CYCLEN TABLETS - 28-DAY	6	
2047799	8618	ALCOHOL ANHYDROUS PAD[T-STAT] T-STAT PAD-LOT	ERYTHROMYCIN					2	%	Historic Freeform Text: ERYTHROMYCIN	2047799	T-STAT PAD-LOT	2	D
2047799	8890	ERYTHROMYCIN PAD[T-STAT] T-STAT PAD-LOT	ALCOHOL ANHYDROUS					71.2	%	Historic Freeform Text: ALCOHOL ANHYDROUS	2047799	T-STAT PAD-LOT	2	D
1949012	11435	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	THROMBIN (BOVINE)			1	ML	504	UNIT	HISTORIC FREEFORM TEXT: THROMBIN-500 ((FREEZE DRIED BOVINE))	1949012	TISSEEL KIT VH 2.0	9	D
1949012	3205	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	PROTEIN			1	ML	130	MG	Historic Freeform Text: PROTEIN ((TOTAL))	1949012	TISSEEL KIT VH 2.0	9	D
1949012	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	PLASMINOGEN			1	ML	120	MCG	Historic Freeform Text: PLASMINOGEN ((HUMAN))	1949012	TISSEEL KIT VH 2.0	9	D
1949012	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	PLASMAFIBRONECTIN			1	ML	9	MG	Historic Freeform Text: PLASMAFIBRONECTIN ((CIG))	1949012	TISSEEL KIT VH 2.0	9	D
1949012	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	FIBRINOGEN (HUMAN)			1	ML	110	MG	HISTORIC FREEFORM TEXT: FIBRINOGEN	1949012	TISSEEL KIT VH 2.0	9	D
1949012	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 2.0	CALCIUM CHLORIDE			1	ML	0.04	MMOL	HISTORIC FREEFORM TEXT: CALCIUM CHLORIDE	1949012	TISSEEL KIT VH 2.0	9	D
1949012	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 2.0	APROTININ (BOVINE)			1	ML	3000	UNIT	HISTORIC FREEFORM TEXT: APROTININ ((BOVINE SOL))	1949012	TISSEEL KIT VH 2.0	9	D
1949012	9847	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	ANTIHEMOPHILIC FACTOR (HUMAN)			1	ML	50	UNIT	Historic Freeform Text: ANTIHAEMOPHILIC ((FACTOR))	1949012	TISSEEL KIT VH 2.0	9	D
2126249	2373	MICONAZOLE NITRATE OVULE 400MG [MONISTAT] MONISTAT 3 DUAL-PAK	MICONAZOLE NITRATE	400	MG					HISTORIC FREEFORM TEXT: MICONAZOLE NITRATE ((3 OVULES 400MG EACH))	2126249	MONISTAT 3 DUAL-PAK	2	
2126249	2373	MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 3 DUAL-PAK	MICONAZOLE NITRATE					2	%	Historic Freeform Text: MICONAZOLE NITRATE	2126249	MONISTAT 3 DUAL-PAK	2	
2126257	2373	MICONAZOLE NITRATE OVULE 100MG [MONISTAT] MONISTAT 7 DUAL-PAK	MICONAZOLE NITRATE	100	MG					HISTORIC FREEFORM TEXT: MICONAZOLE NITRATE ((7 SUP 100MG EACH/KIT))	2126257	MONISTAT 7 DUAL-PAK	2	
2126257	2373	MICONAZOLE NITRATE CREAM[MONISTAT] MONISTAT 7 DUAL-PAK	MICONAZOLE NITRATE					2	%	HISTORIC FREEFORM TEXT: MICONAZOLE NITRATE	2126257	MONISTAT 7 DUAL-PAK	2	
2130238	2375	CLOTRIMAZOLE SUPPOSITORY[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	CLOTRIMAZOLE	500	MG					Historic Freeform Text: CLOTRIMAZOLE ((500MG VAGINAL INSERT))	2130238	CANESTEN COMBI-PAK 1 DAY THERAPY	2	D
2130238	2375	CLOTRIMAZOLE CREAM[CANESTEN COMBI-PAK] CANESTEN COMBI-PAK 1 DAY THERAPY	CLOTRIMAZOLE					1	%	Historic Freeform Text: CLOTRIMAZOLE ((1% CREAM))	2130238	CANESTEN COMBI-PAK 1 DAY THERAPY	2	D
2130874	1197	TERCONAZOLE OVULE[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	TERCONAZOLE	80	MG					HISTORIC FREEFORM TEXT: TERCONAZOLE ((3 VAGINAL OVULES 80MG EACH))	2130874	TERAZOL 3 DUAL PAK	2	D
2130874	1197	TERCONAZOLE CREAM[TERAZOL 3 DUAL PAK] TERAZOL 3 DUAL PAK	TERCONAZOLE					0.8	%	HISTORIC FREEFORM TEXT: TERCONAZOLE ((TERAZOL 3 VAGINAL CRM))	2130874	TERAZOL 3 DUAL PAK	2	D
2108186	7498	ESTRADIOL/NORETHINDRONE ACETATE [ESTRAGEST] ESTRACOMB	NORETHINDRONE ACETATE	30	MG					HISTORIC FREEFORM TEXT: NORETHINDRONE ACETATE ((ESTRAGEST 250/50))	2108186	ESTRACOMB	3	D
2108186	7419	ESTRADIOL [ESTRADERM] ESTRACOMB	ESTRADIOL	4	MG					HISTORIC FREEFORM TEXT: ESTRADIOL ((ESTRADERM 50 PATCH))	2108186	ESTRACOMB	3	D
2108186	7419	ESTRADIOL/NORETHINDRONE ACETATE [ESTRAGEST] ESTRACOMB	ESTRADIOL	10	MG					HISTORIC FREEFORM TEXT: ESTRADIOL ((ESTRAGEST 250/50 PATCH))	2108186	ESTRACOMB	3	D
2131943	10259	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT	EPINEPHRINE HYDROCHLORIDE	2	MG					Historic Freeform Text: CHLORPHENIRAMINE MALEATE ((2MG/TAB))	2131943	ANA-KIT	2	D
2131943	8921	EPINEPHRINE HYDROCHLORIDE SOLUTION[ANA-KIT] ANA-KIT	CHLORPHENIRAMINE MALEATE	1	MG					Historic Freeform Text: EPINEPHRINE HCL ((1:1000-1MG/ML SC IM))	2131943	ANA-KIT	2	D
2043726	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21	ETHINYL ESTRADIOL	30	MCG					Historic Freeform Text: ETHINYL ESTRADIOL ((YELLOW))	2043726	TRIPHASIL 21	6	D
2043726	7490	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21	LEVONORGESTREL	75	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((WHITE))	2043726	TRIPHASIL 21	6	D
2043726	7426	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 21	ETHINYL ESTRADIOL	40	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE))	2043726	TRIPHASIL 21	6	D
2043726	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21	LEVONORGESTREL	50	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((PALE BROWN))	2043726	TRIPHASIL 21	6	D
2043726	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 21	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((PALE BROWN))	2043726	TRIPHASIL 21	6	D
2043726	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 21	LEVONORGESTREL	125	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((YELLOW))	2043726	TRIPHASIL 21	6	D
2043734	7490	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28	LEVONORGESTREL	75	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((WHITE))	2043734	TRIPHASIL 28	6	D
2043734	7426	ETHINYL ESTRADIOL 40MCG / LEVONORGESTREL 75MCG ORAL TABLET TRIPHASIL 28	ETHINYL ESTRADIOL	40	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((WHITE))	2043734	TRIPHASIL 28	6	D
2043734	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28	LEVONORGESTREL	50	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((PALE BROWN))	2043734	TRIPHASIL 28	6	D
2043734	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 50MCG ORAL TABLET TRIPHASIL 28	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((PALE BROWN))	2043734	TRIPHASIL 28	6	D
2043734	7490	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28	LEVONORGESTREL	125	MCG					HISTORIC FREEFORM TEXT: LEVONORGESTREL ((YELLOW))	2043734	TRIPHASIL 28	6	D
2043734	7426	ETHINYL ESTRADIOL 30MCG / LEVONORGESTREL 125MCG ORAL TABLET TRIPHASIL 28	ETHINYL ESTRADIOL	30	MCG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL ((YELLOW))	2043734	TRIPHASIL 28	6	D
2150948	2375	CLOTRIMAZOLE SUPPOSITORY[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE	500	MG					HISTORIC FREEFORM TEXT: CLOTRIMAZOLE ((KIT WITH 1-500MG SUP))	2150948	CANESTEN 1 VAGINAL TABLET COMBI-PAK	2	D
2150948	2375	CLOTRIMAZOLE CREAM[CANESTEN 1 COMBI-PAK] CANESTEN 1 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE					1	%	HISTORIC FREEFORM TEXT: CLOTRIMAZOLE ((1% CREAM))	2150948	CANESTEN 1 VAGINAL TABLET COMBI-PAK	2	D
2150921	2375	CLOTRIMAZOLE SUPPOSITORY[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE	200	MG						2150921	CANESTEN 3 VAGINAL TABLET COMBI-PAK	2	D
2150921	2375	CLOTRIMAZOLE CREAM[CANESTEN 3 COMBI-PAK] CANESTEN 3 VAGINAL TABLET COMBI-PAK	CLOTRIMAZOLE					1	%	HISTORIC FREEFORM TEXT: CLOTRIMAZOLE (1% CREAM, 1X10G TUBE PER KIT)	2150921	CANESTEN 3 VAGINAL TABLET COMBI-PAK	2	D
2171902	1808	TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	TIOCONAZOLE					6.5	%	HISTORIC FREEFORM TEXT: TIOCONAZOLE ((VAG ONT))	2171902	GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	2	D
2171902	1808	TIOCONAZOLE 1% VAGINAL CREAM GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	TIOCONAZOLE					1	%	HISTORIC FREEFORM TEXT: TIOCONAZOLE ((VULVAR CREAM))	2171902	GYNECURE COM.PK.VAG ONT6.5%VULVAR CRM1% W/W	2	D
2171910	1808	TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	TIOCONAZOLE	300	MG					HISTORIC FREEFORM TEXT: TIOCONAZOLE ((VAG OVULE- 300MG SUP))	2171910	GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	2	D
2171910	1808	TIOCONAZOLE CREAM[GYNECURE] GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	TIOCONAZOLE					1	%	Historic Freeform Text: TIOCONAZOLE ((VULVAR CRM 1%))	2171910	GYNECURE COM.PK.VAG OVULE300MG VULV.CRM1%W/W	2	D
2187876	11368	TERAZOSIN HYDROCHLORIDE 5MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE	5	MG					HISTORIC FREEFORM TEXT: TERAZOSIN ((AS TERAZ.HCL DIHYD.-TAN TABS))	2187876	HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	3	D
2187876	11368	TERAZOSIN HYDROCHLORIDE 1MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE	1	MG					HISTORIC FREEFORM TEXT: TERAZOSIN ((AS TERAZ.HCL DIHYD-WHITE TAB))	2187876	HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	3	D
2187876	11368	TERAZOSIN HYDROCHLORIDE 2MG ORAL TABLET HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	TERAZOSIN HYDROCHLORIDE	2	MG					HISTORIC FREEFORM TEXT: TERAZOSIN ((AS TERAZ.HCL DIHYD.ORANGE TAB))	2187876	HYTRIN-7 TABS 1MG-7 TABS 2MG-14 TABS 5MG	3	D
2154285	9733	PSEUDOEPHEDRINE SULFATE 60MG/DEXBROMPHENIRAMINE MALEATE 2MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	DEXBROMPHENIRAMINE MALEATE	2	MG					HISTORIC FREEFORM TEXT: DEXBROMPHENIRAMINE MALEATE ((WH.NIGHT TAB))	2154285	DRIXORAL DAY/NIGHT - SRT/TABS	3	D
2154285	773	PSEUDOEPHEDRINE SULFATE 60MG/DEXBROMPHENIRAMINE MALEATE 2MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	PSEUDOEPHEDRINE SULFATE	60	MG					HISTORIC FREEFORM TEXT: PSEUDOEPHEDRINE SULPHATE ((WH. NIGHT TAB))	2154285	DRIXORAL DAY/NIGHT - SRT/TABS	3	D
2154285	773	PSEUDOEPHEDRINE SULFATE 120MG ORAL TABLET (EXTENDED-RELEASE) DRIXORAL DAY/NIGHT - SRT/TABS	PSEUDOEPHEDRINE SULFATE	120	MG					HISTORIC FREEFORM TEXT: PSEUDOEPHEDRINE SULPHATE ((YELLOW DAY SRT))	2154285	DRIXORAL DAY/NIGHT - SRT/TABS	3	D
2163950	8926	EPINEPHRINE SOLUTION[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	EPINEPHRINE	1	MG					HISTORIC FREEFORM TEXT: EPINEPHRINE 1MG/ML AS THE HCL, PROVIDED AS ONE 1ML SYRINGE PER KIT TO GIVE	2163950	ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	2	D
2163950	10259	CHLORPHENIRAMINE MALEATE TABLET[ANA-KIT] ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	CHLORPHENIRAMINE MALEATE	2	MG					HISTORIC FREEFORM TEXT: CHLORPHENIRAMINE MAL. 2MG/TAB; 4TABS/KIT	2163950	ANA-KIT (2MG/TAB ORL, 1MG/ML LIQ SC IM)	2	D
2210614	331	ZINC HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	ZINC HVP CHELATE	5	MG					HISTORIC FREEFORM TEXT: ZINC ((HVP CHELATE, TABLET E))	2210614	MEGA PLEX III - PCK	48	D
2210614	331	ZINC HVP CHELATE 25MG ORAL TABLET MEGA PLEX III - PCK	ZINC HVP CHELATE	25	MG					HISTORIC FREEFORM TEXT: ZINC ((HVP CHELATE))	2210614	MEGA PLEX III - PCK	48	D
2210614	331	ZINC HVP CHELATE 10MG ORAL TABLET MEGA PLEX III - PCK	ZINC HVP CHELATE	10	MG					HISTORIC FREEFORM TEXT: ZINC ((HVP CHELATE, TABLET B))	2210614	MEGA PLEX III - PCK	48	D
2210614	309	IRON HVP CHELATE 5MG ORAL TABLET MEGA PLEX III - PCK	IRON HVP CHELATE	5	MG					HISTORIC FREEFORM TEXT: IRON ((HVP CHELATE, TABLET E))	2210614	MEGA PLEX III - PCK	48	D
2210614	309	IRON HVP CHELATE 12.5MG ORAL TABLET MEGA PLEX III - PCK	IRON HVP CHELATE	12.5	MG					HISTORIC FREEFORM TEXT: IRON ((HVP CHELATE))	2210614	MEGA PLEX III - PCK	48	D
2187108	7500	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 21 TABLETS	NORETHINDRONE	1	MG					HISTORIC FREEFORM TEXT: NORETHINDRONE (WHITE TABLET)	2187108	SYNPHASIC 21 TABLETS	4	
2187108	7500	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 21 TABLETS	NORETHINDRONE	0.5	MG					HISTORIC FREEFORM TEXT: NORETHINDRONE (BLUE TABLET)	2187108	SYNPHASIC 21 TABLETS	4	
2187108	7426	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL (WHITE TABLET)	2187108	SYNPHASIC 21 TABLETS	4	
2187108	7426	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 21 TABLETS	ETHINYL ESTRADIOL	0.035	MG					HISTORIC FREEFORM TEXT: ETHINYL ESTRADIOL (BLUE TABLET)	2187108	SYNPHASIC 21 TABLETS	4	
2187116	7500	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 28 TABLETS	NORETHINDRONE	1	MG					HISTORICAL FREEFORM TEXT: NORETHINDRONE (WHITE TABLET)	2187116	SYNPHASIC 28 TABLETS	4	
2187116	7500	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 28 TABLETS	NORETHINDRONE	0.5	MG					HISTORICAL FREEFORM TEXT: NORETHINDRONE (BLUE TABLET)	2187116	SYNPHASIC 28 TABLETS	4	
2187116	7426	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 1MG ORAL TABLET SYNPHASIC 28 TABLETS	ETHINYL ESTRADIOL	0.035	MG					HISTORICAL FREEFORM TEXT: ETHINYL ESTRADIOL (WHITE TABLET).	2187116	SYNPHASIC 28 TABLETS	4	
2187116	7426	ETHINYL ESTRADIOL 0.035MG /NORETHINDRONE 0.5MG ORAL TABLET SYNPHASIC 28 TABLETS	ETHINYL ESTRADIOL	0.035	MG					HISTORICAL FREEFORM TEXT: ETHINYL ESTRADIOL (BLUE TABLET).	2187116	SYNPHASIC 28 TABLETS	4	
2218283	1808	TIOCONAZOLE SUPPOSITORY[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	TIOCONAZOLE	300	MG					HISTORIC FREEFORM TEXT: TIOCONAZOLE ((300MG/OVULE))	2218283	GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	2	D
2218283	1808	TIOCONAZOLE CREAM[GYNECURE] GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	TIOCONAZOLE					1	%	HISTORIC FREEFORM TEXT: TIOCONAZOLE ((CRM 1% W/W))	2218283	GYNECURE TANDEMPK.VAG OV.300MG/VULV.CRM1%W/W	2	D
2218291	1808	TIOCONAZOLE 6.5% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	TIOCONAZOLE					6.5	%	HISTORIC FREEFORM TEXT: TIOCONAZOLE ((ONT 6.5%W/W))	2218291	GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	2	D
2218291	1808	TIOCONAZOLE 1% VAGINAL CREAM GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	TIOCONAZOLE					1	%	Historic Freeform Text: TIOCONAZOLE ((CRM 1% W/W))	2218291	GYNECURE TANDEMPK.VAG ONT6.5%/VULV.CRM1%-W/W	2	D
2230509	2375	CLOTRIMAZOLE 1% VAGINAL CREAM CANESTEN COMBI-PAK CREAM 1	CLOTRIMAZOLE					10	%	10% VAGINAL CREAM - 1 5G APPLICATOR PER KIT	2230509	CANESTEN COMBI-PAK CREAM 1	2	
2230509	2375	CLOTRIMAZOLE 1% TOPICAL CREAM CANESTEN COMBI-PAK CREAM 1	CLOTRIMAZOLE					1	%	1% TOPICAL CREAM - 1 10G TUBE PER KIT	2230509	CANESTEN COMBI-PAK CREAM 1	2	
2233272	11565	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	TOTAL PROTEIN			1	ML	65	MG	TOTAL PROTEIN 50 - 65 MG PER KIT	2233272	TISSEEL KIT VH 0.5	9	D
2233272	11564	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	THROMBIN (HUMAN)			1	ML	252	UNIT		2233272	TISSEEL KIT VH 0.5	9	D
2233272	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	PLASMINOGEN			1	ML	60	MCG	PLASMINOGEN 20 - 60 MCG PER KIT	2233272	TISSEEL KIT VH 0.5	9	D
2233272	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	PLASMAFIBRONECTIN			1	ML	4.5	MCG	PLASMAFIBRONECTIN (CIG) 1-4.5 MG PER KIT	2233272	TISSEEL KIT VH 0.5	9	D
2233272	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	FIBRINOGEN (HUMAN)			1	ML	55	MG	FIBRINOGEN 35 - 55MG PER KIT	2233272	TISSEEL KIT VH 0.5	9	D
2233272	11246	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 0.5	FACTOR XIII			1	ML	25	UNIT	FACTOR X111 5 - 25 U PER KIT FACTOR XIII FROM HUMAN PLACENTAL.	2233272	TISSEEL KIT VH 0.5	9	D
2233272	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 0.5	CALCIUM CHLORIDE			1	ML	0.5	ML	CALCIUM CHLORIDE SOLUTION (DILUENT)	2233272	TISSEEL KIT VH 0.5	9	D
2233272	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 0.5	APROTININ (BOVINE)			1	ML	0.5	ML	DILUENT	2233272	TISSEEL KIT VH 0.5	9	D
2233273	11565	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	TOTAL PROTEIN			1	ML	130	MG	TOTAL PROTEIN 100 - 130 MG PER KIT	2233273	TISSEEL KIT VH 1.0	9	D
2233273	11564	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	THROMBIN (HUMAN)			1	ML	504	UNIT		2233273	TISSEEL KIT VH 1.0	9	D
2233273	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	PLASMINOGEN			1	ML	120	MCG	PLASMINOGEN 40 - 120 MCG PER KIT	2233273	TISSEEL KIT VH 1.0	9	D
2233273	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	PLASMAFIBRONECTIN			1	ML	9	MG	PLASMAFIBRONECTIN (CIG) 2 - 9 MG PER KIT	2233273	TISSEEL KIT VH 1.0	9	D
2233273	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	FIBRINOGEN (HUMAN)			1	ML	110	MG	FIBRINOGEN 70 - 110MG PER KIT	2233273	TISSEEL KIT VH 1.0	9	D
2233273	11246	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 1.0	FACTOR XIII			1	ML	50	UNIT	FACTOR X111 10 - 50 U PER KIT	2233273	TISSEEL KIT VH 1.0	9	D
2233273	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 1.0	CALCIUM CHLORIDE			1	ML	40	MCMOL	CALCIUM CHLORIDE SOLUTION (DILUENT)	2233273	TISSEEL KIT VH 1.0	9	D
2233273	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 1.0	APROTININ (BOVINE)			1	ML	3000	KIU	DILUENT KIU IS KALLIDINOGENASE INACTIVATOR UNIT	2233273	TISSEEL KIT VH 1.0	9	D
2233274	11565	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	TOTAL PROTEIN			2	ML	260	MG	TOTAL PROTEIN 200 - 260 MG PER 2ML	2233274	TISSEEL KIT VH 2.0	9	D
2233274	11564	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	THROMBIN (HUMAN)			2	ML	1008	UNIT	THROMBIN,FREEZE-DRIED, (HUMAN)	2233274	TISSEEL KIT VH 2.0	9	D
2233274	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	PLASMINOGEN			2	ML	240	MCG	PLASMINOGEN 80 - 240 MCG PER KIT	2233274	TISSEEL KIT VH 2.0	9	D
2233274	11566	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	PLASMAFIBRONECTIN			2	ML	18	MG	PLASMAFIBRONECTIN (CIG) 4 - 18 MG PER KIT	2233274	TISSEEL KIT VH 2.0	9	D
2233274	17119	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	FIBRINOGEN (HUMAN)			2	ML	220	MG	FIBRINOGEN 140 - 220MG PER KIT	2233274	TISSEEL KIT VH 2.0	9	D
2233274	11246	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 2.0	FACTOR XIII			2	ML	100	UNIT	FACTOR X111 20 - 100 U PER RECONSTITUTED VIAL(2ML)	2233274	TISSEEL KIT VH 2.0	9	D
2233274	51	THROMBIN POWDER [TISSEEL] TISSEEL KIT VH 2.0	CALCIUM CHLORIDE			2	ML	80	MCMOL	CALCIUM CHLORIDE SOLUTION (DILUENT)	2233274	TISSEEL KIT VH 2.0	9	D
2233274	11567	TISSEEL POWDER [TISSEEL] TISSEEL KIT VH 2.0	APROTININ (BOVINE)			2	ML	6000	KIU	DILUENT	2233274	TISSEEL KIT VH 2.0	9	D
2233275	11565	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	TOTAL PROTEIN			5	ML	650	MG	TOTAL PROTEIN 500- 650 MG PER KIT	2233275	TISSEEL KIT VH 5.0	9	D
2233275	11564	THROMBIN SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	THROMBIN (HUMAN)			5	ML	2520	UNIT		2233275	TISSEEL KIT VH 5.0	9	D
2233275	6603	TISSEEL SOLUTION [TISSEEL] TISSEEL KIT VH 5.0	PLASMINOGEN			5	ML	600	MCG	PLASMINOGEN 200 - 600 MCG PER KIT	2233275	TISSEEL KIT VH 5.0	9	D
