concept_code	concept_name
G90.49	Autonomic dysreflexia, unspecified
G90.50	Complex regional pain syndrome of the upper extremity, type I.
G90.51	Complex regional lower extremity pain syndrome, type I.
G90.59	Complex regional pain syndrome, type I, location unspecified
G90.60	Complex regional pain syndrome of the upper extremity, type II
G90.61	Complex regional lower extremity pain syndrome, type II
G90.69	Complex regional pain syndrome, type II, location unspecified
G90.70	Complex regional pain syndrome of the upper extremity, other and unspecified type
G90.71	Complex regional pain syndrome of the lower extremity, other and unspecified type
G90.79	Complex regional pain syndrome, other and unspecified type, location unspecified
G90.80	Autonomous dysreflexia as hypertonic crises
G90.81	Autonomic dysreflexia as sweating attacks
G90.82	Other autonomic dysreflexia
G90.88	Other diseases of the autonomic nervous system
G91.20	Idiopathic normal pressure hydrocephalus
G91.21	Secondary normal pressure hydrocephalus
G91.29	Normal pressure hydrocephalus, unspecified
G93.80	apallic syndrome
G93.88	Other specified diseases of the brain
G95.10	Non-traumatic spinal hemorrhage
G95.18	Other vascular myelopathies
G95.80	Urinary bladder paralysis due to damage to the upper motor neuron [UMNL]
G95.81	Urinary bladder paralysis with damage to the lower motor neuron [LMNL]
G95.82	Urinary bladder dysfunction from spinal shock
G95.83	Spinal spasticity of the striated muscles
G95.84	Detrusor-sphincter dyssynergy with damage to the spinal cord
G95.85	Deafferentation pain with damage to the spinal cord
G95.88	Other specified diseases of the spinal cord
G97.80	Postoperative liquor fistula
G97.81	Post-operative (cerebellar) mutism
G97.82	Postoperative epidural spinal hemorrhage
G97.83	Postoperative subdural spinal hemorrhage
G97.84	Postoperative subarachnoid spinal hemorrhage
G97.88	Other diseases of the nervous system after medical measures
H35.30	Age-related wet macular degeneration
H35.31	Age-related dry macular degeneration
H35.38	Other degeneration of the macula and posterior pole
H58.2	Involvement of the eye and its appendages in chronic graft-versus-host disease
H58.21	Stage 1 of chronic eye graft-versus-host disease
H58.22	Stage 2 of chronic eye graft versus host disease
H58.23	Stage 3 of chronic eye graft-versus-host disease
I10.0	Benign essential hypertension
I10.00	Benign essential hypertension: No indication of a hypertensive crisis
I10.01	Benign essential hypertension: With indication of a hypertensive crisis
I10.1	Malignant essential hypertension
I10.10	Malignant essential hypertension: No indication of a hypertensive crisis
I10.11	Malignant essential hypertension: with indication of a hypertensive crisis
I10.9	Essential hypertension, unspecified
I10.90	Essential hypertension, unspecified: No indication of a hypertensive crisis
I10.91	Essential hypertension, unspecified: with indication of a hypertensive crisis
I11.00	Hypertensive heart disease with (congestive) heart failure: No indication of a hypertensive crisis
I11.01	Hypertensive heart disease with (congestive) heart failure: With details of a hypertensive crisis
I11.90	Hypertensive heart disease without (congestive) heart failure: Without indication of a hypertensive crisis
I11.91	Hypertensive heart disease without (congestive) heart failure: with details of a hypertensive crisis
I12.00	Hypertensive kidney disease with renal insufficiency: No indication of a hypertensive crisis
I12.01	Hypertensive kidney disease with renal insufficiency: With indication of a hypertensive crisis
I12.90	Hypertensive kidney disease without renal insufficiency: No indication of a hypertensive crisis
I12.91	Hypertensive kidney disease without renal insufficiency: With indication of a hypertensive crisis
I13.00	Hypertensive heart and kidney disease with (congestive) heart failure: No indication of a hypertensive crisis
I13.01	Hypertensive heart and kidney disease with (congestive) heart failure: with details of a hypertensive crisis
I13.10	Hypertensive heart and kidney disease with renal insufficiency: No indication of a hypertensive crisis
I13.11	Hypertensive heart and kidney disease with renal insufficiency: With indication of a hypertensive crisis
I13.20	Hypertensive heart and kidney disease with (congestive) heart failure and kidney failure: No indication of a hypertensive crisis
I13.21	Hypertensive heart and kidney disease with (congestive) heart failure and kidney failure: with details of a hypertensive crisis
I13.90	Hypertensive heart and kidney disease, unspecified: No details of a hypertensive crisis
I13.91	Hypertensive heart and kidney disease, unspecified: with details of a hypertensive crisis
I15.00	Renovascular hypertension: No indication of a hypertensive crisis
I15.01	Renovascular hypertension: with indication of a hypertensive crisis
I15.10	Hypertension as a consequence of other kidney diseases: No indication of a hypertensive crisis
I15.11	Hypertension as a consequence of other kidney diseases: with indication of a hypertensive crisis
I15.20	Hypertension as a result of endocrine diseases: Without indication of a hypertensive crisis
I15.21	Hypertension as a result of endocrine diseases: with indication of a hypertensive crisis
I15.80	Other secondary hypertension: No indication of a hypertensive crisis
I15.81	Other secondary hypertension: with indication of a hypertensive crisis
I15.90	Secondary hypertension, unspecified: No indication of a hypertensive crisis
I15.91	Secondary hypertension, unspecified: with indication of a hypertensive crisis
I25.10	Atherosclerotic heart disease: Without hemodynamically effective stenoses
I25.11	Atherosclerotic heart disease: one-vessel disease
I25.12	Atherosclerotic heart disease: two-vessel disease
I25.13	Atherosclerotic heart disease: three-vessel disease
I25.14	Atherosclerotic heart disease: stenosis of the left main trunk
I25.15	Atherosclerotic Heart Disease: With stenosed bypass vessels
I25.16	Atherosclerotic Heart Disease: With stenosed stents
I25.19	Atherosclerotic heart disease: unspecified
I25.20	Old myocardial infarction: 29 days to less than 4 months ago
I25.21	Old myocardial infarction: 4 months to less than 1 year ago
I25.22	Old myocardial infarction: 1 year or more ago
I25.29	Old myocardial infarction: unspecified
I26.8	Iatrogenic pulmonary embolism
I27.20	Pulmonary hypertension in chronic thromboembolism
I27.28	Other specified secondary pulmonary hypertension
I34.80	Non-rheumatic mitral valve stenosis with mitral valve regurgitation
I34.88	Other non-rheumatic mitral valve diseases
I42.80	Arrhythmogenic right ventricular cardiomyopathy [ARVCM]
I42.88	Other cardiomyopathies
I48.00	Atrial flutter: paroxysmal
I48.01	Atrial flutter: Chronic
I48.09	Atrial flutter: unspecified
I48.10	Atrial fibrillation: paroxysmal
I48.11	Atrial fibrillation: Chronic
I48.19	Atrial fibrillation: unspecified
I50.00	Primary right heart failure
I50.01	Secondary right heart failure
I50.02	Right heart failure without complaints
I50.03	Right heart failure with complaints under heavy stress
I50.04	Right heart failure with complaints with less stress
I50.05	Right heart failure with discomfort at rest
I50.11	Left ventricular failure: Without complaints
I50.12	Left ventricular failure: With discomfort under heavy exertion
I50.13	Left ventricular failure: With complaints with lighter stress
I50.14	Left Heart Failure: With discomfort at rest
I50.19	Left ventricular failure: unspecified
I62.00	Non-traumatic subdural bleeding: Acute
I62.01	Non-traumatic subdural bleeding: Subacute
I62.02	Non-traumatic subdural bleeding: Chronic
I62.09	Non-traumatic subdural bleeding: unspecified
I67.10	Cerebral aneurysm (acquired)
I67.11	Cerebral arteriovenous fistula (acquired)
I67.80	Vasospasm in subarachnoid hemorrhage
I67.88	Other specified cerebrovascular diseases
I70.20	Atherosclerosis of the extremity arteries: pelvic leg type, without discomfort
I70.21	Atherosclerosis of the extremity arteries: pelvic-leg type, with exercise-induced ischemic pain, walking distance 200 m and more
I70.22	Atherosclerosis of the extremity arteries: pelvic leg type, with exercise-induced ischemic pain, walking distance less than 200 m
I70.23	Atherosclerosis of the extremity arteries: pelvic leg type, with pain at rest
I70.24	Atherosclerosis of the extremity arteries: pelvic leg type, with ulceration
I70.25	Atherosclerosis of the extremity arteries: pelvic leg type, with gangrene
I70.26	Atherosclerosis of the extremity arteries: shoulder-arm type, all stages
I70.29	Atherosclerosis of the extremity arteries: Other and unspecified
I71.00	Dissection of the aorta of unspecified location, without indication of a rupture
I71.01	Dissection of the thoracic aorta with no indication of a rupture
I71.02	Dissection of the abdominal aorta with no indication of rupture
I71.03	Dissection of the aorta, thoracoabdominal, without indication of a rupture
I71.04	Dissection of the aorta of unspecified location, ruptured
I71.05	Thoracic aortic dissection, ruptured
I71.06	Abdominal aorta dissection, ruptured
I71.07	Dissection of the aorta, thoracoabdominal, ruptured
I80.20	Pelvic vein thrombosis, phlebitis and thrombophlebitis
I80.28	Thrombosis, phlebitis and thrombophlebitis of other deep vessels of the lower extremities
I80.80	Thrombosis, phlebitis and thrombophlebitis of superficial vessels of the upper extremities
I80.81	Thrombosis, phlebitis and thrombophlebitis of deep vessels of the upper extremities
I80.88	Thrombosis, phlebitis and thrombophlebitis in other locations
I82.80	Splenic vein embolism and thrombosis
I82.81	Jugular vein embolism and thrombosis
I82.88	Embolism and thrombosis of other specified veins
I86.80	Small bowel varices
I86.81	Colon varices
I86.82	Rectal varices
I86.88	Varices of other specified locations
I87.00	Post-thrombotic syndrome without ulceration
I87.01	Post-thrombotic syndrome with ulceration
I87.20	Venous insufficiency (chronic) (peripheral) without ulceration
I87.21	Venous insufficiency (chronic) (peripheral) with ulceration
I89.00	Lymphedema of the upper and lower extremity (s), stage I. 
I89.01	Lymphedema of the upper and lower extremity (s), stage II 
I89.02	Lymphedema of the upper and lower extremity (s), stage III 
I89.03	Lymphedema, other localization, stage I. 
I89.04	Lymphedema, other location, stage II 
I89.05	Lymphedema, other localization, stage III 
I89.08	Other lymphedema, not elsewhere classified
I89.09	Lymphedema, unspecified
I97.20	Lymphedema after (partial) mastectomy (with lymphadenectomy), stage I.
I97.21	Lymphedema after (partial) mastectomy (with lymphadenectomy), stage II
I97.22	Lymphedema after (partial) mastectomy (with lymphadenectomy), stage III
I97.29	Lymphedema after (partial) mastectomy, unspecified
I97.80	Lymphedema after medical measures in the cervical lymphatic drainage area, all stages 
I97.81	Lymphedema after medical measures in the axillary lymphatic drainage area, stage I. 
I97.82	Lymphedema after medical measures in the axillary lymphatic drainage area, stage II 
I97.83	Lymphedema after medical measures in the axillary lymphatic drainage area, stage III 
I97.84	Lymphedema after medical measures in the inguinal lymphatic drainage area, stage I. 
I97.85	Lymphedema after medical measures in the inguinal lymphatic drainage area, stage II 
I97.86	Lymphedema after medical measures in the inguinal lymphatic drainage area, stage III 
I97.87	Lymphedema after medical measures on the genitourinary system, all stages 
I97.88	Lymphedema after medical measures, other locations, all stages 
I97.89	Other circulatory complications following medical procedures, not elsewhere classified
I98.20	Esophageal and gastric varices in diseases classified elsewhere: No bleeding reported
I98.21	Esophageal and gastric varices in diseases classified elsewhere: with bleeding
J38.00	Paralysis of the vocal folds and the larynx: unspecified
J38.01	Paralysis of the vocal folds and the larynx: one-sided, partial
J38.02	Paralysis of the vocal folds and the larynx: one-sided, complete
J38.03	Paralysis of the vocal folds and the larynx: bilateral, partial
J39.80	Acquired stenosis of the trachea
J39.88	Other specified diseases of the upper respiratory tract
J44.00	Chronic obstructive pulmonary disease with acute lower respiratory infection: FEV1
J44.01	Chronic obstructive pulmonary disease with acute lower respiratory infection: FEV1> = 35 % and 
J44.02	Chronic obstructive pulmonary disease with acute lower respiratory tract infection: FEV1> = 50 % and 
J44.03	Chronic obstructive pulmonary disease with acute lower respiratory tract infection: FEV1> = 70 % of the predicted value 
J44.09	Chronic obstructive pulmonary disease with acute lower respiratory infection: FEV1 unspecified
J44.10	Chronic obstructive pulmonary disease with acute exacerbation, unspecified: FEV1
J44.11	Chronic obstructive pulmonary disease with acute exacerbation, unspecified: FEV1> = 35 % and 
J44.12	Chronic obstructive pulmonary disease with acute exacerbation, unspecified: FEV1> = 50 % and 
J44.13	Chronic obstructive pulmonary disease with acute exacerbation, unspecified: FEV1> = 70 % of the target value 
J44.19	Chronic obstructive pulmonary disease with acute exacerbation, unspecified: FEV1 unspecified
J44.80	Other specified chronic obstructive pulmonary disease: FEV1
J44.81	Other specified chronic obstructive pulmonary disease: FEV1> = 35 % and 
J44.82	Other specified chronic obstructive pulmonary disease: FEV1> = 50 % and 
J44.83	Other specified chronic obstructive pulmonary disease: FEV1> = 70 % of the target value 
J44.89	Other specified chronic obstructive pulmonary disease: FEV1 unspecified
J44.90	Chronic obstructive pulmonary disease, unspecified: FEV1
J44.91	Chronic obstructive pulmonary disease, unspecified: FEV1> = 35 % and 
J44.92	Chronic obstructive pulmonary disease, unspecified: FEV1> = 50 % and 
J44.93	Chronic obstructive pulmonary disease, unspecified: FEV1> = 70 % of the target value 
J44.99	Chronic obstructive pulmonary disease, unspecified: FEV1 unspecified
J80.0	Respiratory distress syndrome in adults [ARDS]
J80.01	Respiratory distress syndrome in adults [ARDS]: Mild respiratory distress syndrome in adults [ARDS]
J80.02	Respiratory distress syndrome in adults [ARDS]: Moderate respiratory distress syndrome in adults [ARDS]
J80.03	Respiratory distress syndrome in adults [ARDS]: Severe respiratory distress syndrome in adults [ARDS]
J80.09	Respiratory distress syndrome in adults [ARDS]: Respiratory distress syndrome in adults [ARDS], severity unspecified
J93.2	Iatrogenic pneumothorax
J95.80	Iatrogenic pneumothorax
J95.81	Stenosis of the trachea after medical measures
J95.82	Insufficiency of anastomoses and sutures after operations on the trachea, bronchi and lungs
J95.88	Other respiratory diseases following medical measures
J96.00	Acute respiratory failure, not elsewhere classified: Type I [hypoxic]
J96.01	Acute respiratory failure, not elsewhere classified: Type II [hypercapnic]
J96.09	Acute respiratory failure, not elsewhere classified: type unspecified
J96.10	Chronic respiratory failure, not elsewhere classified: Type I [hypoxic]
J96.11	Chronic respiratory failure, not elsewhere classified: Type II [hypercapnic]
J96.19	Chronic respiratory failure, not elsewhere classified: type unspecified
J96.90	Respiratory failure, unspecified: Type I [hypoxic]
J96.91	Respiratory failure, unspecified: Type II [hypercapnic]
J96.99	Respiratory failure, unspecified: type unspecified
J98.50	Mediastinitis
J98.58	Other mediastinal diseases, not elsewhere classified
J99.2	Lung involvement in chronic graft-versus-host disease
J99.21	Stage 1 of chronic lung graft versus host disease
J99.22	Stage 2 of chronic lung graft versus host disease
J99.23	Stage 3 of chronic lung graft versus host disease
K08.81	Pathological tooth fracture
K08.88	Other specified diseases of the teeth and the tooth supporting system
K10.20	Maxillary abscess with no indication of retromaxillary expansion or into the canine fossa
K10.21	Maxillary abscess indicating that it has spread to the retromaxillary or into the canine fossa
K10.28	Other specified inflammatory conditions of the jaws
K10.29	Inflammatory condition of the jaws, unspecified
K12.20	Mouth (floor) phlegmon
K12.21	Submandibular abscess with no indication of mediastinal, parapharyngeal or cervical spread
K12.22	Submandibular abscess with mediastinal, parapharyngeal or cervical spread
K12.23	Cheek abscess
K12.28	Other phlegmon and abscess of the mouth
K12.29	Phlegmon and abscess of the mouth, unspecified
K22.80	Esophageal fistula
K22.81	Esophageal bleeding
K22.88	Other specified diseases of the esophagus
K31.81	Angiodysplasia of the stomach and duodenum with no indication of bleeding
K31.82	Angiodysplasia of the stomach and duodenum with bleeding
K31.88	Other specified diseases of the stomach and duodenum
K35.30	Acute appendicitis with localized peritonitis without perforation or rupture
K35.31	Acute appendicitis with localized peritonitis with perforation or rupture
K35.32	Acute appendicitis with peritoneal abscess
K40.00	Double-sided inguinal hernia with entrapment, without gangrene: Not referred to as a recurrent hernia
K40.01	Double-sided inguinal hernia with obstruction, without gangrene: recurrent hernia
K40.10	Double-sided inguinal hernia with gangrene: Not referred to as a recurrent hernia
K40.11	Bilateral inguinal hernia with gangrene: recurrent hernia
K40.20	Double-sided inguinal hernia, without entrapment and without gangrene: Not referred to as a recurrent hernia
K40.21	Double-sided inguinal hernia, without entrapment and without gangrene: recurrent hernia
K40.30	Inguinal hernia, unilateral or without a side indication, with entrapment, without gangrene: Not referred to as recurrent hernia
K40.31	Inguinal hernia, unilateral or without a side indication, with entrapment, without gangrene: recurrent hernia
K40.40	Inguinal hernia, unilateral or without a side, with gangrene: Not referred to as a recurrent hernia
K40.41	Inguinal hernia, unilateral or without a side, with gangrene: recurrent hernia
K40.90	Inguinal hernia, unilateral or without a side indication, without entrapment and without gangrene: Not referred to as a recurrent hernia
K40.91	Inguinal hernia, unilateral or without a side indication, without entrapment and without gangrene: recurrent hernia
K41.00	Double-sided femoral hernia with entrapment, without gangrene: Not referred to as a recurrent hernia
K41.01	Double-sided femoral hernia with entrapment, without gangrene: recurrent hernia
K41.10	Bilateral femoral hernia with gangrene: Not referred to as a recurrent hernia
K41.11	Double-sided femoral hernia with gangrene: recurrent hernia
K41.20	Double-sided femoral hernia without entrapment and without gangrene: Not referred to as a recurrent hernia
K41.21	Double-sided femoral hernia without entrapment and without gangrene: recurrent hernia
K41.30	Femoral hernia, unilateral or without indication of the side, with entrapment, without gangrene: Not referred to as recurrent hernia
K41.31	Femoral hernia, unilateral or without a side indication, with entrapment, without gangrene: recurrent hernia
K41.40	Femoral hernia, unilateral or without a side indication, with gangrene: Not referred to as a recurrent hernia
K41.41	Hernia femoralis, unilateral or without a side indication, with gangrene: recurrent hernia
K41.90	Femoral hernia, unilateral or without a side indication, without entrapment and without gangrene: Not referred to as a recurrent hernia
K41.91	Hernia femoralis, unilateral or without a side indication, without entrapment and without gangrene: recurrent hernia
K43.60	Entrapment epigastric hernia without gangrene
K43.68	Other ventral hernia with obstruction, without gangrene
K43.69	Unspecified ventral hernia with obstruction, without gangrene
K43.70	Epigastric hernia with gangrene
K43.78	Other ventral hernia with gangrene
K43.79	Unspecified ventral hernia with gangrene
K43.90	Epigastric hernia without entrapment and without gangrene
K43.98	Other ventral hernia without obstruction and without gangrene
K43.99	Unspecified ventral hernia without entrapment and without gangrene
K50.80	Crohn's disease of the stomach
K50.81	Crohn's disease of the esophagus
K50.82	Crohn's disease of the esophagus and gastrointestinal tract, affecting several areas
K50.88	Other Crohn's disease
K52.30	Indeterminate pancolitis
K52.31	Left-sided indeterminate colitis
K52.32	Indeterminate colitis of the rectosigmoid
K52.38	Other indeterminate colitis
K55.21	Angiodysplasia of the colon: No evidence of bleeding
K55.22	Angiodysplasia of the Colon: With bleeding
K55.31	Angiodysplasia of the small intestine with no indication of bleeding
K55.32	Angiodysplasia of the small intestine with bleeding
K55.81	Angiodysplasia of the small intestine with no indication of bleeding
K55.82	Angiodysplasia of the small intestine with bleeding
K55.88	Other intestinal vascular diseases
K57.00	Diverticulosis of the small intestine with perforation and abscess, without any indication of bleeding
K57.01	Diverticulosis of the small intestine with perforation, abscess and bleeding
K57.02	Diverticulitis of the small intestine with perforation and abscess, without any indication of bleeding
K57.03	Diverticulitis of the small intestine with perforation, abscess and bleeding
K57.10	Diverticulosis of the small intestine without perforation, abscess or indication of bleeding
K57.11	Diverticulosis of the small intestine without perforation and abscess, with bleeding
K57.12	Diverticulitis of the small intestine without perforation, abscess or indication of bleeding
K57.13	Diverticulitis of the small intestine without perforation and abscess, with bleeding
K57.20	Diverticulosis of the large intestine with perforation and abscess, without any indication of bleeding
K57.21	Colon diverticulosis with perforation, abscess and bleeding
K57.22	Diverticulitis of the large intestine with perforation and abscess, without any indication of bleeding
K57.23	Colon diverticulitis with perforation, abscess and bleeding
K57.30	Colon diverticulosis without perforation, abscess or indication of bleeding
K57.31	Colon diverticulosis without perforation or abscess, with bleeding
K57.32	Colon diverticulitis without perforation, abscess or indication of bleeding
K57.33	Colon diverticulitis without perforation or abscess, with bleeding
K57.40	Diverticulosis of both the small intestine and the large intestine with perforation and abscess, without any indication of bleeding
K57.41	Diverticulosis of both the small intestine and the large intestine with perforation, abscess and bleeding
K57.42	Diverticulitis of both the small intestine and the large intestine with perforation and abscess, without any indication of bleeding
K57.43	Diverticulitis of both the small intestine and the large intestine with perforation, abscess and bleeding
K57.50	Diverticulosis of both the small intestine and the large intestine without perforation, abscess or indication of bleeding
K57.51	Diverticulosis of both the small intestine and the large intestine without perforation or abscess, with bleeding
K57.52	Diverticulitis of both the small intestine and the large intestine without perforation, abscess or indication of bleeding
K57.53	Diverticulitis of both the small intestine and the large intestine without perforation or abscess, with bleeding
K57.80	Diverticulosis of the intestine, part unspecified, with perforation and abscess, no bleeding indicated
K57.81	Diverticulosis of the intestine, part unspecified, with perforation, abscess and bleeding
K57.82	Diverticulitis of the intestine, part unspecified, with perforation and abscess, no bleeding indicated
K57.83	Diverticulitis of the intestine, part unspecified, with perforation, abscess and bleeding
K57.90	Diverticulosis of the intestine, part unspecified, without perforation, abscess or indication of bleeding
K57.91	Diverticulosis of the intestine, part unspecified, without perforation or abscess, with bleeding
K57.92	Diverticulitis of the intestine, part unspecified, without perforation, abscess or indication of bleeding
K57.93	Diverticulitis of the intestine, part unspecified, without perforation or abscess, with bleeding
K59.00	Constipation in colonic transit disorder
K59.01	Constipation in defecation disorders
K59.02	Drug-induced constipation
K59.09	Other and unspecified constipation
K71.80	Toxic veno-occlusive liver disease
K71.88	Toxic liver disease with other liver disorders
K72.7	Hepatic encephalopathy and coma hepaticum
K72.71	Grade 1 hepatic encephalopathy
K72.72	Grade 2 hepatic encephalopathy
K72.73	Grade 3 hepatic encephalopathy
K72.74	Grade 4 hepatic encephalopathy
K72.79	Hepatic encephalopathy, grade unspecified
K74.7	Clinical stages of liver cirrhosis
K74.70	Liver cirrhosis, Child-Pugh A stage
K74.71	Cirrhosis of the liver, Child-Pugh B stage
K74.72	Cirrhosis of the liver, Child-Pugh C stage
K77.1	Liver involvement in acute graft-versus-host disease
K77.11	Stage 1 of acute liver graft versus host disease
K77.12	Stage 2 of acute liver graft versus host disease
K77.13	Stage 3 of acute liver graft versus host disease
K77.14	Stage 4 of acute liver graft versus host disease
K77.2	Liver involvement in chronic graft-versus-host disease
K77.21	Stage 1 of chronic liver graft versus host disease
K77.22	Stage 2 of chronic liver graft versus host disease
K77.23	Stage 3 of chronic liver graft versus host disease
K80.00	Gallbladder stone with acute cholecystitis: No indication of biliary obstruction
K80.01	Gallbladder stone with acute cholecystitis: With biliary obstruction
K80.10	Gallbladder stone with other cholecystitis: No indication of biliary obstruction
K80.11	Gallbladder stone with other cholecystitis: With biliary obstruction
K80.20	Gallbladder stone without cholecystitis: No indication of biliary obstruction
K80.21	Gallbladder stone without cholecystitis: With biliary obstruction
K80.30	Bile duct stone with cholangitis: No indication of biliary obstruction
K80.31	Biliary stone with cholangitis: With biliary obstruction
K80.40	Bile duct stone with cholecystitis: No indication of biliary obstruction
K80.41	Biliary stone with cholecystitis: With biliary obstruction
K80.50	Bile duct stone without cholangitis or cholecystitis: No indication of biliary obstruction
K80.51	Bile duct stone without cholangitis or cholecystitis: With biliary obstruction
K80.80	Other cholelithiasis: No indication of biliary obstruction
K80.81	Other cholelithiasis: with biliary obstruction
K85.00	Idiopathic acute pancreatitis: No organ complication stated
K85.01	Idiopathic acute pancreatitis: with organ complication
K85.10	Acute biliary pancreatitis: No organ complication stated
K85.11	Acute biliary pancreatitis: with organ complication
K85.20	Alcohol-induced acute pancreatitis: No organ complication stated
K85.21	Alcohol-induced acute pancreatitis: with organ complication
K85.30	Drug-induced acute pancreatitis: No organ complication stated
K85.31	Drug-induced acute pancreatitis: with organ complication
K85.80	Other acute pancreatitis: No organ complication stated
K85.81	Other acute pancreatitis: with organ complication
K85.90	Acute pancreatitis, unspecified: No organ complication stated
K85.91	Acute pancreatitis, unspecified: with organ complication
K91.80	Generalized mucositis in immune compromise
K91.81	Insufficiency of anastomoses and sutures after operations on the gallbladder and biliary tract
K91.82	Insufficiency of anastomoses and sutures after operations on the pancreas
K91.83	Insufficiency of anastomoses and sutures after operations on the rest of the digestive tract
K91.88	Other diseases of the digestive system following medical procedures, not elsewhere classified
K93.2	Involvement of the digestive tract in acute graft-versus-host disease
K93.21	Stage 1 of acute digestive tract graft versus host disease
K93.22	Stage 2 of acute digestive tract graft-versus-host disease
K93.23	Stage 3 of acute digestive tract graft-versus-host disease
K93.24	Stage 4 of acute digestive tract graft versus host disease
K93.3	Involvement of the digestive tract in chronic graft-versus-host disease
K93.31	Stage 1 of chronic digestive tract graft-versus-host disease
K93.32	Stage 2 of chronic digestive tract graft-versus-host disease
K93.33	Stage 3 of chronic digestive tract graft-versus-host disease
K93.4	Oral mucosal involvement in chronic graft-versus-host disease
K93.41	Stage 1 of chronic oral graft-versus-host disease
K93.42	Stage 2 of chronic oral graft-versus-host disease
K93.43	Stage 3 of chronic oral graft-versus-host disease
L00.0	Staphylococcal scalded skin syndrome [SSS syndrome]: Involvement of less than 30 % of the body surface 
L00.1	Staphylococcal scalded skin syndrome [SSS syndrome]: Involvement of 30 % of the body surface and more 
L03.01	Phlegmon on fingers
L03.02	Phlegmon on toes
L03.10	Phlegmon on the upper limb
L03.11	Phlegmon on the lower extremity
L40.7	Psoriasis severity
L40.70	Moderate to severe psoriasis
L51.20	Toxic epidermal necrolysis [Lyell's syndrome]: Invasion of less than 30 % of the body surface 
L51.21	Toxic epidermal necrolysis [Lyell's syndrome]: Invasion of 30 % of the body surface and more 
L89.00	1st degree bedsores: head
L89.01	1st degree pressure ulcer: Upper extremity
L89.02	Decubitus 1st degree: spinous processes
L89.03	Decubitus 1st degree: iliac crest
L89.04	1st degree bedsores: sacrum
L89.05	1st degree bedsore: ischium
L89.06	1st degree pressure ulcer: trochanter
L89.07	1st degree pressure ulcer: heel
L89.08	1st degree pressure ulcer: Other locations of the lower extremity
L89.09	1st degree pressure ulcer: Other and unspecified locations
L89.10	2nd degree pressure ulcer: head
L89.11	2nd degree pressure ulcer: Upper extremity
L89.12	Decubitus 2nd degree: spinous processes
L89.13	2nd degree bedsores: iliac crest
L89.14	2nd degree pressure ulcer: sacrum
L89.15	2nd degree pressure ulcer: ischium
L89.16	2nd degree decubitus ulcer: trochanter
L89.17	2nd degree pressure ulcer: heel
L89.18	2nd degree pressure ulcer: Other locations of the lower extremity
L89.19	2nd degree decubitus: Other and unspecified locations
L89.20	3rd degree pressure ulcer: head
L89.21	3rd degree pressure ulcer: Upper extremity
L89.22	3rd degree decubitus ulcer: spinous processes
L89.23	3rd degree bedsores: iliac crest
L89.24	3rd degree pressure ulcer: sacrum
L89.25	3rd degree pressure ulcer: ischium
L89.26	3rd degree pressure ulcer: trochanter
L89.27	3rd degree pressure ulcer: heel
L89.28	3rd degree pressure ulcer: Other locations of the lower extremity
L89.29	3rd degree decubitus ulcer: Other and unspecified locations
L89.30	4th degree pressure ulcer: head
L89.31	Grade 4 bedsores: Upper extremity
L89.32	4th degree bedsores: spinous processes
L89.33	4th degree bedsores: iliac crest
L89.34	4th degree pressure ulcer: sacrum
L89.35	4th degree bedsore: ischium
L89.36	4th degree pressure ulcer: trochanter
L89.37	4th degree pressure ulcer: heel
L89.38	4th degree pressure ulcer: Other locations of the lower extremity
L89.39	4th degree pressure ulcer: Other and unspecified locations
L89.4	4th degree pressure ulcer
L89.40	4th degree pressure ulcer: head
L89.41	Grade 4 bedsores: Upper extremity
L89.42	4th degree bedsores: spinous processes
L89.43	4th degree bedsores: iliac crest
L89.44	4th degree pressure ulcer: sacrum
L89.45	4th degree bedsore: ischium
L89.46	4th degree pressure ulcer: trochanter
L89.47	4th degree pressure ulcer: heel
L89.48	4th degree pressure ulcer: Other locations of the lower extremity
L89.49	4th degree pressure ulcer: Other and unspecified locations
L89.90	Pressure ulcer, grade unspecified: head
L89.91	Pressure ulcer, grade unspecified: upper extremity
L89.92	Decubitus, grade unspecified: spinous processes
L89.93	Decubitus, grade unspecified: iliac crest
L89.94	Decubitus, grade unspecified: sacrum
L89.95	Decubitus, grade unspecified: ischium
L89.96	Pressure ulcer, grade unspecified: trochanter
L89.97	Pressure ulcer, grade unspecified: heel
L89.98	Pressure ulcer, grade unspecified: Other locations of the lower extremity
L89.99	Decubitus, grade unspecified: Other and unspecified locations
L99.1	Skin involvement in acute graft-versus-host disease
L99.11	Stage 1 of acute skin graft versus host disease
L99.12	Stage 2 of acute skin graft versus host disease
L99.13	Stage 3 of acute skin graft versus host disease
L99.14	Stage 4 of acute skin graft versus host disease
L99.2	Skin involvement in chronic graft-versus-host disease
L99.21	Stage 1 of chronic skin graft versus host disease
L99.22	Stage 2 of chronic skin graft versus host disease
L99.23	Stage 3 of chronic skin graft versus host disease
M08.7	Juvenile arthritis vasculitis
M08.70	Juvenile Arthritis Vasculitis: Multiple Locations
M08.71	Vasculitis in juvenile arthritis: shoulder region [clavicle, scapula, acromioclavicular, shoulder, sternoclavicular joint]
M08.72	Juvenile arthritis vasculitis: upper arm [humerus, elbow joint]
M08.73	Juvenile arthritis vasculitis: forearm [radius, ulna, wrist]
M08.74	Juvenile arthritis vasculitis: hand [fingers, wrist, metacarpal, joints between these bones]
