"ICDO3.2"	"Level"	"Term"	"Code reference"	"obs"	"See also"	"See note"	"Includes"	"Excludes"	"Other text"
"8380/2"	"Synonym"	"Atypical hyperplasia of endometrium"	"(C54.1)"						
"8380/3"	"Preferred"	"Endometrioid adenocarcinoma, NOS"							
"8380/3"	"Synonym"	"Endometrioid carcinoma, NOS"							
"8380/3"	"Related"	"Endometrioid cystadenocarcinoma"							
"8381/0"	"Preferred"	"Endometrioid adenofibroma, NOS"							
"8381/0"	"Synonym"	"Endometrioid cystadenofibroma, NOS"							
"8381/1"	"Preferred"	"Endometrioid adenofibroma, borderline malignancy"							
"8381/1"	"Synonym"	"Endometrioid cystadenofibroma, borderline malignancy"							
"8381/3"	"Preferred"	"Endometrioid adenofibroma, malignant"							
"8381/3"	"Synonym"	"Endometrioid cystadenofibroma, malignant"							
"8382/3"	"Preferred"	"Endometrioid adenocarcinoma, secretory variant"							
"8383/3"	"Preferred"	"Endometrioid adenocarcinoma, ciliated cell variant"							
"8384/3"	"Preferred"	"Adenocarcinoma, endocervical type, NOS"							
"839-842"	2	"Adnexal and skin appendage neoplasms"							
"8390/0"	"Preferred"	"Skin appendage adenoma"	"(C44._)"						
"8390/0"	"Synonym"	"Adnexal tumor, benign"	"(C44._)"						
"8390/0"	"Synonym"	"Skin appendage tumor, benign"	"(C44._)"						
"8390/3"	"Preferred"	"Adnexal adenocarcinoma, NOS"	"(C44._)"						
"8390/3"	"Synonym"	"Skin appendage carcinoma"	"(C44._)"						
"8390/3"	"Synonym"	"Adnexal carcinoma"	"(C44._)"						
"8391/0"	"Preferred"	"Follicular fibroma"	"(C44._)"						
"8391/0"	"Synonym"	"Fibrofolliculoma"	"(C44._)"						
"8391/0"	"Synonym"	"Perifollicular fibroma"	"(C44._)"						
"8391/0"	"Synonym"	"Trichodiscoma"	"(C44._)"						
"8391/0"	"Related"	"Spindle cell predominant trichodiscoma"	"(C44._)"						
"8392/0"	"Preferred"	"Syringofibroadenoma"	"(C44._)"						
"8400/0"	"Preferred"	"Sweat gland adenoma"	"(C44._)"						
"8400/0"	"Synonym"	"Syringadenoma, NOS"	"(C44._)"						
"8400/0"	"Synonym"	"Sweat gland tumor, benign"	"(C44._)"						
"8400/1"	"Preferred"	"Sweat gland tumor, NOS"	"(C44._)"						
"8400/3"	"Preferred"	"Sweat gland adenocarcinoma"	"(C44._)"						
"8400/3"	"Synonym"	"Sweat gland carcinoma"	"(C44._)"						
"8400/3"	"Synonym"	"Sweat gland tumor, malignant"	"(C44._)"						
"8401/0"	"Preferred"	"Apocrine adenoma"							
"8401/0"	"Synonym"	"Apocrine cystadenoma"							
"8401/3"	"Preferred"	"Apocrine adenocarcinoma"							
"8401/3"	"Synonym"	"Apocrine carcinoma"							
"8402/0"	"Preferred"	"Hidradenoma, NOS"	"(C44._)"						
"8402/0"	"Synonym"	"Nodular hidradenoma"	"(C44._)"						
"8402/0"	"Related"	"Clear cell hidradenoma"	"(C44._)"						
"8402/0"	"Related"	"Eccrine acrospiroma"	"(C44._)"						
"8402/3"	"Preferred"	"Hidradenocarcinoma"	"(C44._)"						
"8402/3"	"Synonym"	"Nodular hidradenoma, malignant"	"(C44._)"						
"8403/0"	"Preferred"	"Spiradenoma, NOS"	"(C44._)"						
"8403/0"	"Synonym"	"Eccrine spiradenoma"	"(C44._)"						
"8403/3"	"Preferred"	"Malignant eccrine spiradenoma"	"(C44._)"						
"8403/3"	"Related"	"Malignant neoplasm arising from pre-existing spiradenoma"	"(C44._)"						
"8403/3"	"Related"	"Malignant neoplasm arising from pre-existing cylindroma"	"(C44._)"						
"8403/3"	"Related"	"Malignant neoplasm arising from pre-existing spiradenocylindroma"	"(C44._)"						
"8404/0"	"Preferred"	"Hidrocystoma"	"(C44._)"						
"8404/0"	"Synonym"	"Hidrocystadenoma"	"(C44._)"						
"8404/0"	"Synonym"	"Eccrine cystadenoma"	"(C44._)"						
"8405/0"	"Preferred"	"Papillary hidradenoma"							
"8405/0"	"Synonym"	"Hidradenoma papilliferum"							
"8406/0"	"Preferred"	"Syringocystadenoma papilliferum"	"(C44._)"						
"8406/0"	"Synonym"	"Papillary syringadenoma"	"(C44._)"						
"8406/0"	"Synonym"	"Papillary syringocystadenoma"	"(C44._)"						
"8406/0"	"Related"	"Sialadenoma papilliferum"							
"8406/3"	"Preferred"	"Syringocystadenocarcinoma papilliferum"							
"8407/0"	"Preferred"	"Syringoma, NOS"	"(C44._)"						
"8407/0"	"Related"	"Syringomatous tumor of nipple"	"(C50.0)"						
"8407/0"	"Synonym"	"Syringomatous adenoma of nipple"	"(C50.0)"						
"8407/0"	"Synonym"	"Infiltrating syringomatous adenoma of nipple"	"(C50.0)"						
"8407/3"	"Preferred"	"Microcystic adnexal carcinoma"	"(C44._)"						
"8407/3"	"Synonym"	"Sclerosing sweat duct carcinoma"	"(C44._)"						
"8407/3"	"Synonym"	"Syringomatous carcinoma"	"(C44._)"						
"8408/0"	"Preferred"	"Eccrine papillary adenoma"	"(C44._)"						
"8408/3"	"Preferred"	"Digital papillary adenocarcinoma"	"(C44._)"						
"8408/3"	"Synonym"	"Aggressive digital papillary adenoma"	"(C44._)"	"[obs]"					
"8408/3"	"Synonym"	"Eccrine papillary adenocarcinoma"	"(C44._)"						
"8409/0"	"Preferred"	"Poroma, NOS"	"(C44._)"						
"8409/0"	"Related"	"Eccrine poroma, NOS"							
"8409/0"	"Related"	"Apocrine poroma"							
"8409/2"	"Preferred"	"Porocarcinoma in situ"							
"8409/3"	"Preferred"	"Porocarcinoma, NOS"	"(C44._)"						
"8409/3"	"Synonym"	"Eccrine poroma, malignant"	"(C44._)"						
"8410/0"	"Preferred"	"Sebaceoma"	"(C44._)"						
"8410/0"	"Related"	"Sebaceous adenoma"	"(C44._)"						
"8410/0"	"Related"	"Sebaceous epithelioma"	"(C44._)"						
"8410/3"	"Preferred"	"Sebaceous carcinoma"	"(C44._)"						
"8410/3"	"Synonym"	"Sebaceous adenocarcinoma"	"(C44._)"						
"8413/3"	"Preferred"	"Eccrine adenocarcinoma"	"(C44._)"						
"8420/0"	"Preferred"	"Ceruminous adenoma"	"(C44.2)"						
"8420/3"	"Preferred"	"Ceruminous adenocarcinoma"	"(C44.2)"						
"8420/3"	"Synonym"	"Ceruminous carcinoma"	"(C44.2)"						
"843"	2	"Mucoepidermoid neoplasms"							
"8430/1"	"Preferred"	"Mucoepidermoid tumor"		"[obs]"					
"8430/3"	"Preferred"	"Mucoepidermoid carcinoma"							
"844-849"	2	"Cystic, mucinous and serous neoplasms"							
"8440/0"	"Preferred"	"Cystadenoma, NOS"							
"8440/0"	"Synonym"	"Cystoma, NOS"							
"8440/3"	"Preferred"	"Cystadenocarcinoma, NOS"		"[obs]"					
"8441/0"	"Preferred"	"Serous cystadenoma, NOS"							
"8441/0"	"Synonym"	"Serous cystoma"							
"8441/0"	"Related"	"Serous microcystic adenoma"							
"8441/0"	"Synonym"	"Papillary serous cystadenoma, NOS"	"(C56.9)"						
"8441/2"	"Preferred"	"Serous intraepithelial carcinoma"							
"8441/2"	"Related"	"Serous tubal intraepithelial carcinoma (STIC)"	"(C57.0)"						
"8441/2"	"Related"	"Serous endometrial intraepithelial carcinoma"	"(C54.1)"						
"8441/3"	"Preferred"	"Serous carcinoma, NOS"							
"8441/3"	"Synonym"	"Serous cystadenocarcinoma, NOS"							
"8441/3"	"Synonym"	"Serous adenocarcinoma, NOS"	"(C56.9)"						
"8441/3"	"Synonym"	"Serous papillary adenocarcinoma, NOS"	"(C56.9)"						
"8441/3"	"Synonym"	"Papillary serous cystadenocarcinoma"	"(C56.9)"						
"8441/3"	"Synonym"	"Papillary serous adenocarcinoma"	"(C56.9)"						
"8441/3"	"Synonym"	"Serous surface papillary carcinoma"	"(C56.9)"						
"8442/1"	"Preferred"	"Serous borderline tumor, NOS"	"(C56.9)"						
"8442/1"	"Synonym"	"Serous tumor, atypical proliferative"	"(C56.9)"						
"8442/1"	"Synonym"	"Serous cystadenoma, borderline malignancy"	"(C56.9)"						
"8442/1"	"Synonym"	"Serous tumor, NOS, of low malignant potential"	"(C56.9)"						
"8442/1"	"Synonym"	"Serous papillary cystic tumor of borderline malignancy"	"(C56.9)"						
"8442/1"	"Synonym"	"Atypical proliferative papillary serous tumor"	"(C56.9)"						
"8442/1"	"Synonym"	"Papillary serous cystadenoma, borderline malignancy"	"(C56.9)"						
"8442/1"	"Synonym"	"Papillary serous tumor of low malignant potential"	"(C56.9)"						
"8442/1"	"Synonym"	"Serous surface papillary tumor of borderline malignancy"	"(C56.9)"						
"8443/0"	"Preferred"	"Clear cell cystadenoma"	"(C56.9)"						
"8450/0"	"Preferred"	"Papillary cystadenoma, NOS"	"(C56.9)"						
"8450/0"	"Related"	"Papillary cystadenofibroma"							
"8450/3"	"Preferred"	"Papillary cystadenocarcinoma, NOS"	"(C56.9)"	"[obs]"					
"8450/3"	"Synonym"	"Papillocystic adenocarcinoma"		"[obs]"					
"8451/1"	"Preferred"	"Papillary cystadenoma, borderline malignancy"	"(C56.9)"	"[obs]"					
"8452/1"	"Preferred"	"Solid pseudopapillary tumor of ovary"	"(C56.9)"						
"8452/1"	"Synonym"	"Papillary cystic tumor"	"(C25._)"						
"8452/1"	"Synonym"	"Solid and cystic tumor"	"(C25._)"						
"8452/1"	"Synonym"	"Solid and papillary epithelial neoplasm"	"(C25._)"						
"8452/3"	"Preferred"	"Solid pseudopapillary neoplasm of pancreas"	"(C25._)"						
"8452/3"	"Related"	"Solid pseudopapillary carcinoma"							
"8453/0"	"Preferred"	"Intraductal papillary mucinous adenoma"	"(C25._)"						
"8453/0"	"Related"	"Intraductal papillary mucinous tumor with intermediate dysplasia"	"(C25._)"						
"8453/0"	"Related"	"Intraductal papillary mucinous tumor with low grade dysplasia"	"(C25._)"						
"8453/0"	"Synonym"	"Intraductal papillary mucinous neoplasm with low grade dysplasia"	"(C25._)"						
"8453/0"	"Related"	"Intraductal papillary mucinous tumor with moderate dysplasia"	"(C25._)"						
"8453/0"	"Synonym"	"Intraductal papillary mucinous neoplasm with moderate dysplasia"	"(C25._)"						
"8453/2"	"Preferred"	"Intraductal papillary mucinous neoplasm with high grade dysplasia"	"(C25._)"						
"8453/2"	"Related"	"Intraductal papillary mucinous carcinoma, non-invasive"	"(C25._)"						
"8453/3"	"Preferred"	"Intraductal papillary mucinous neoplasm with an associated invasive carcinoma"	"(C25._)"						
"8453/3"	"Related"	"Intraductal papillary mucinous carcinoma, invasive"	"(C25._)"						
"8454/0"	"Preferred"	"Cystic tumor of atrio-ventricular node"	"(C38.0)"						
"8460/2"	"Preferred"	"Serous borderline tumor, micropapillary variant"	"(C56.9)"						
"8460/2"	"Synonym"	"Serous carcinoma, non-invasive, low grade"	"(C56.9)"						
"8460/3"	"Preferred"	"Low grade serous carcinoma"	"(C56.9)"						
"8460/3"	"Related"	"Micropapillary serous carcinoma"	"(C56.9)"						
"8461/0"	"Preferred"	"Serous surface papilloma"	"(C56.9)"						
"8461/3"	"Preferred"	"High grade serous carcinoma"	"(C56.9)"						
"8470/0"	"Preferred"	"Mucinous cystadenoma, NOS"	"(C56.9)"						
"8470/0"	"Synonym"	"Papillary mucinous cystadenoma, NOS"	"(C56.9)"						
"8470/0"	"Synonym"	"Papillary pseudomucinous cystadenoma, NOS"	"(C56.9)"						
"8470/0"	"Synonym"	"Pseudomucinous cystadenoma, NOS"	"(C56.9)"						
"8470/0"	"Synonym"	"Mucinous cystoma"	"(C56.9)"						
"8470/0"	"Related"	"Mucinous cystic neoplasm with intermediate grade dysplasia"	"(C25._)"						
"8470/0"	"Related"	"Mucinous cystic neoplasm with intermediate grade intraepithelial neoplasia"	"(C22._)"						
"8470/0"	"Related"	"Mucinous cystic neoplasm with low grade dysplasia"	"(C25._)"						
"8470/0"	"Related"	"Mucinous cystic neoplasm with low grade intraepithelial neoplasia"	"(C25._)"						
"8470/0"	"Related"	"Mucinous cystic tumor with intermediate dysplasia"	"(C25._)"						
"8470/0"	"Related"	"Mucinous cystic tumor with low grade dysplasia"	"(C25._)"						
"8470/0"	"Related"	"Mucinous cystic tumor with moderate dysplasia"	"(C25._)"						
"8470/2"	"Preferred"	"Mucinous cystic neoplasm with high grade dysplasia"	"(C25._)"						
"8470/2"	"Related"	"Mucinous cystadenocarcinoma, non-invasive"	"(C25._)"						
"8470/2"	"Related"	"Mucinous cystic tumor with high grade dysplasia"	"(C25._)"						
"8470/2"	"Synonym"	"Mucinous cystic neoplasm with high grade intraepithelial neoplasia"	"(C22._)"						
"8470/3"	"Preferred"	"Mucinous cystadenocarcinoma, NOS"	"(C56.9)"						
"8470/3"	"Synonym"	"Pseudomucinous cystadenocarcinoma, NOS"	"(C56.9)"						
"8470/3"	"Synonym"	"Pseudomucinous adenocarcinoma"	"(C56.9)"						
"8470/3"	"Related"	"Mucinous cystic tumor with an associated invasive carcinoma"	"(C25._)"						
"8470/3"	"Synonym"	"Mucinous cystic neoplasm with an associated invasive carcinoma"	"(C25._)"						
"8470/3"	"Synonym"	"Papillary mucinous cystadenocarcinoma"	"(C56.9)"						
"8470/3"	"Synonym"	"Papillary pseudomucinous cystadenocarcinoma"	"(C56.9)"						
"8472/1"	"Preferred"	"Mucinous cystic tumor of borderline malignancy"	"(C56.9)"						
"8472/1"	"Synonym"	"Mucinous borderline tumor"	"(C56.9)"						
"8472/1"	"Synonym"	"Mucinous tumor, NOS, of low malignant potential"	"(C56.9)"						
"8472/1"	"Synonym"	"Atypical proliferative mucinous tumor"	"(C56.9)"						
"8472/1"	"Synonym"	"Mucinous cystadenoma, borderline malignancy"	"(C56.9)"						
"8472/1"	"Synonym"	"Pseudomucinous cystadenoma, borderline malignancy"	"(C56.9)"						
"8472/1"	"Synonym"	"Papillary mucinous cystadenoma, borderline malignancy"	"(C56.9)"						
"8472/1"	"Synonym"	"Papillary pseudomucinous cystadenoma, borderline malignancy"	"(C56.9)"						
"8472/1"	"Synonym"	"Papillary mucinous tumor of low malignant potential"	"(C56.9)"						
"8474/0"	"Preferred"	"Seromucinous cystadenoma"							
"8474/1"	"Preferred"	"Seromucinous borderline tumor"							
"8474/1"	"Synonym"	"Seromucinous tumor, atypical proliferative"							
"8474/3"	"Preferred"	"Seromucinous carcinoma"	"(C56.9)"						
"8480/0"	"Preferred"	"Mucinous adenoma"							
"8480/0"	"Related"	"Mucous gland adenoma"							
"8480/1"	"Preferred"	"Low grade appendiceal mucinous neoplasm"	"(C18.1)"						
"8480/3"	"Preferred"	"Mucinous adenocarcinoma"						"(except of lung M-8253/3)"	
"8480/3"	"Synonym"	"Acinar adenocarcinoma, mucinous variant"							
"8480/3"	"Synonym"	"Colloid adenocarcinoma"							
"8480/3"	"Synonym"	"Colloid carcinoma"							
"8480/3"	"Synonym"	"Gelatinous adenocarcinoma"		"[obs]"					
"8480/3"	"Synonym"	"Gelatinous carcinoma"		"[obs]"					
"8480/3"	"Synonym"	"Mucinous carcinoma"							
"8480/3"	"Synonym"	"Mucoid adenocarcinoma"							
"8480/3"	"Synonym"	"Mucoid carcinoma"							
"8480/3"	"Synonym"	"Mucous adenocarcinoma"		"[obs]"					
"8480/3"	"Synonym"	"Mucous carcinoma"		"[obs]"					
"8480/3"	"Related"	"Pseudomyxoma peritonei with unknown primary site"	"(C80.9)"						
"8480/3"	"Related"	"Mucinous tubular and spindle cell carcinoma"	"(C64.9)"						
"8480/6"	"Preferred"	"Pseudomyxoma peritonei"							
"8481/3"	"Preferred"	"Mucin-producing adenocarcinoma"							
"8481/3"	"Synonym"	"Mucin-producing carcinoma"							
"8481/3"	"Synonym"	"Mucin-secreting adenocarcinoma"							
"8481/3"	"Synonym"	"Mucin-secreting carcinoma"							
"8482/3"	"Preferred"	"Mucinous carcinoma, gastric type"							
"8482/3"	"Synonym"	"Mucinous adenocarcinoma, endocervical type"	"(C53._)"	"[obs]"					
"8490/3"	"Preferred"	"Signet ring cell carcinoma"							
"8490/3"	"Synonym"	"Signet ring cell adenocarcinoma"							
"8490/3"	"Synonym"	"Acinar adenocarcinoma, signet ring-like variant"							
"8490/3"	"Synonym"	"Mucinous carcinoma, signet ring cell type"							
"8490/3"	"Related"	"Poorly cohesive carcinoma"							
"8490/3"	"Related"	"Signet ring cell/histiocytoid carcinoma"							
"8490/6"	"Preferred"	"Metastatic signet ring cell carcinoma"							
"8490/6"	"Related"	"Krukenberg tumor"							
"850-854"	2	"Ductal and lobular neoplasms"							
"8500/2"	"Preferred"	"Intraductal carcinoma, noninfiltrating, NOS"							
"8500/2"	"Synonym"	"Intraductal adenocarcinoma, noninfiltrating, NOS"							
"8500/2"	"Synonym"	"Intraductal carcinoma, NOS"							
"8500/2"	"Related"	"Ductal carcinoma in situ, NOS"	"(C50._)"						
"8500/2"	"Synonym"	"DCIS, NOS"	"(C50._)"						
"8500/2"	"Synonym"	"DIN 3"	"(C50._)"						
"8500/2"	"Synonym"	"Ductal intraepithelial neoplasia 3"	"(C50._)"						
"8500/2"	"Related"	"Cystic hypersecretory carcinoma, intraductal"	"(C50._)"						
"8500/3"	"Preferred"	"Infiltrating duct carcinoma, NOS"	"(C50._)"						
"8500/3"	"Synonym"	"Invasive breast carcinoma of no special type"	"(C50._)"						
"8500/3"	"Synonym"	"Duct adenocarcinoma, NOS"							
"8500/3"	"Synonym"	"Duct carcinoma, NOS"							
"8500/3"	"Synonym"	"Ductal carcinoma, NOS"							
"8500/3"	"Synonym"	"Duct cell carcinoma"							
"8500/3"	"Synonym"	"Infiltrating duct adenocarcinoma"	"(C50._)"						
"8500/3"	"Related"	"Basal-like carcinoma of breast"	"(C50._)"						
"8500/3"	"Related"	"Adenocarcinoma of mammary gland type"							
"8500/3"	"Related"	"Adenocarcinoma of anogenital mammary-like glands"							
"8500/3"	"Related"	"Carcinoma of male breast"	"(C50._)"						
"8501/2"	"Preferred"	"Comedocarcinoma, noninfiltrating"	"(C50._)"						
"8501/2"	"Synonym"	"Ductal carcinoma in situ, comedo type"	"(C50._)"						
"8501/2"	"Synonym"	"DCIS, comedo type"	"(C50._)"						
"8501/3"	"Preferred"	"Comedocarcinoma, NOS"							
"8502/3"	"Preferred"	"Secretory carcinoma"							
"8502/3"	"Related"	"Juvenile carcinoma of breast"	"(C50._)"						
"8503/0"	"Preferred"	"Intraductal papilloma"							
"8503/0"	"Synonym"	"Duct adenoma, NOS"							
"8503/0"	"Synonym"	"Ductal papilloma"							
"8503/0"	"Related"	"Intraductal papillary neoplasm, NOS"							
"8503/0"	"Related"	"Intracystic papillary neoplasm with low grade intraepithelial neoplasia"	"(C23.9)"						
"8503/0"	"Synonym"	"Intracystic papillary neoplasm with intermediate grade intraepithelial neoplasia"	"(C23.9)"						
"8503/0"	"Synonym"	"Intraglandular papillary neoplasm with low grade intraepithelial neoplasia"	"(C22.1, C24.0)"						
"8503/0"	"Synonym"	"Intraductal papillary neoplasm with intermediate grade neoplasia"	"(C22._, C24.0)"						
"8503/0"	"Related"	"Intraductal papillary neoplasm with low grade intraepithelial neoplasia"	"(C22._, C24.0)"						
"8503/0"	"Related"	"Intraductal tubular-papillary neoplasm, low grade"							
"8503/0"	"Related"	"Intraductal papilloma with atypical ductal hyperplasia"	"(C50._)"						
"8503/2"	"Preferred"	"Noninfiltrating intraductal papillary adenocarcinoma"	"(C50._)"						
"8503/2"	"Synonym"	"Intraductal papillary adenocarcinoma, NOS"	"(C50._)"						
"8503/2"	"Synonym"	"Intraductal papillary carcinoma, NOS"	"(C50._)"						
"8503/2"	"Synonym"	"DCIS, papillary"	"(C50._)"						
"8503/2"	"Synonym"	"Ductal carcinoma in situ, papillary"	"(C50._)"						
"8503/2"	"Synonym"	"Noninfiltrating intraductal papillary carcinoma"	"(C50._)"						
"8503/2"	"Related"	"Intraductal papilloma with DCIS"	"(C50._)"						
"8503/2"	"Related"	"Intraductal papillary neoplasm with high grade intraepithelial neoplasia"							
"8503/2"	"Synonym"	"Intracystic papillary neoplasm with high grade intraepithelial neoplasia"	"(C23.9)"						
"8503/2"	"Synonym"	"Intracystic papillary tumor with high grade dysplasia"	"(C23.9)"						
"8503/2"	"Synonym"	"Intracystic papillary tumor with high grade intraepithelial neoplasia"	"(C23.9)"						
"8503/2"	"Synonym"	"Intraductal papillary neoplasm with high grade dysplasia"							
"8503/2"	"Synonym"	"Intraductal papillary tumor with high grade dysplasia"							
"8503/2"	"Synonym"	"Intraductal papillary tumor with high grade intraepithelial neoplasia"							
"8503/2"	"Related"	"Intraductal tubular-papillary neoplasm, high grade"							
"8503/2"	"Related"	"Intraductal tubulopapillary neoplasm"							
"8503/3"	"Preferred"	"Intraductal papillary adenocarcinoma with invasion"	"(C50._)"						
"8503/3"	"Synonym"	"Infiltrating papillary adenocarcinoma"							
"8503/3"	"Synonym"	"Infiltrating and papillary adenocarcinoma"							
"8503/3"	"Related"	"Papillary carcinoma of breast"	"(C50._)"						
"8503/3"	"Related"	"Intraductal papillary neoplasm with associated invasive carcinoma"							
"8503/3"	"Synonym"	"Intracystic papillary neoplasm with associated invasive carcinoma"	"(C23.9)"						
"8504/0"	"Preferred"	"Intracystic papillary adenoma"							
"8504/0"	"Synonym"	"Intracystic papilloma"							
"8504/2"	"Preferred"	"Encapsulated papillary carcinoma"						"(except of thyroid M-8343/3)"	
"8504/2"	"Synonym"	"Noninfiltrating intracystic carcinoma"							
"8504/2"	"Synonym"	"Encysted papillary carcinoma"							
"8504/2"	"Synonym"	"Intracystic papillary carcinoma"							
"8504/2"	"Synonym"	"Intracystic carcinoma, NOS"							
"8504/2"	"Synonym"	"Intracystic papillary adenocarcinoma"							
"8504/3"	"Preferred"	"Encapsulated papillary carcinoma with invasion"							
"8504/3"	"Synonym"	"Encysted papillary carcinoma with invasion"							
"8504/3"	"Synonym"	"Intracystic papillary carcinoma with invasion"							
"8505/0"	"Preferred"	"Intraductal papillomatosis, NOS"							
"8505/0"	"Synonym"	"Diffuse intraductal papillomatosis"							
"8506/0"	"Preferred"	"Adenoma of nipple"	"(C50.0)"						
"8506/0"	"Synonym"	"Subareolar duct papillomatosis"	"(C50.0)"						
"8507/2"	"Preferred"	"Intraductal micropapillary carcinoma"	"(C50._)"						
"8507/2"	"Synonym"	"Ductal carcinoma in situ, micropapillary"	"(C50._)"						
"8507/2"	"Related"	"Intraductal carcinoma, clinging, high grade"	"(C50._)"						
"8507/3"	"Preferred"	"Invasive micropapillary carcinoma of breast"	"(C50._)"						
"8507/3"	"Synonym"	"Micropapillary carcinoma of breast"	"(C50._)"						
"8508/3"	"Preferred"	"Cystic hypersecretory carcinoma"	"(C50._)"	"[obs]"					
"8509/2"	"Preferred"	"Solid papillary carcinoma in situ"	"(C50._)"						
"8509/2"	"Related"	"Endocrine mucin-producing sweat gland carcinoma in situ"	"(C44._)"						
"8509/3"	"Preferred"	"Solid papillary carcinoma with invasion"	"(C50._)"						
"8509/3"	"Related"	"Endocrine mucin-producing sweat gland carcinoma"	"(C44._)"						
"8510/3"	"Preferred"	"Medullary carcinoma, NOS"							
"8510/3"	"Related"	"Medullary adenocarcinoma"							
"8510/3"	"Related"	"Medullary-like carcinoma"							
"8512/3"	"Preferred"	"Medullary carcinoma with lymphoid stroma"		"[obs]"					
"8513/3"	"Preferred"	"Atypical medullary carcinoma"	"(C50._)"						
"8514/3"	"Preferred"	"Duct carcinoma, desmoplastic type"							
"8519/2"	"Preferred"	"Lobular carcinoma in situ, pleomorphic"	"(C50._)"						
"8519/2"	"Synonym"	"LCIS, pleomorphic"	"(C50._)"						
"8520/2"	"Preferred"	"Lobular carcinoma in situ, NOS"	"(C50._)"						
"8520/2"	"Synonym"	"LCIS, NOS"	"(C50._)"						
"8520/2"	"Synonym"	"Lobular carcinoma, noninfiltrating"	"(C50._)"						
"8520/2"	"Synonym"	"Lobular carcinoma in situ, classic"	"(C50._)"						
"8520/2"	"Related"	"Intraductal papilloma with lobular carcinoma in situ"	"(C50._)"						
"8520/3"	"Preferred"	"Lobular carcinoma, NOS"	"(C50._)"						
"8520/3"	"Synonym"	"Infiltrating lobular carcinoma, NOS"	"(C50._)"						
"8520/3"	"Synonym"	"Lobular adenocarcinoma"	"(C50._)"						
"8520/3"	"Related"	"Tubulolobular carcinoma"							
"8520/3"	"Related"	"Lobular carcinoma, pleomorphic"	"(C50._)"						
"8521/3"	"Preferred"	"Infiltrating ductular carcinoma"							
"8522/2"	"Preferred"	"Intraductal carcinoma and lobular carcinoma in situ"	"(C50._)"						
"8522/3"	"Preferred"	"Infiltrating duct and lobular carcinoma"	"(C50._)"						
"8522/3"	"Synonym"	"Lobular and ductal carcinoma"	"(C50._)"						
"8522/3"	"Related"	"Intraductal and lobular carcinoma"	"(C50._)"						
"8522/3"	"Related"	"Infiltrating duct and lobular carcinoma in situ"	"(C50._)"						
"8522/3"	"Related"	"Infiltrating lobular carcinoma and ductal carcinoma in situ"	"(C50._)"						
"8523/3"	"Preferred"	"Infiltrating duct mixed with other types of carcinoma"	"(C50._)"						
"8523/3"	"Related"	"Infiltrating duct and colloid carcinoma"	"(C50._)"						
"8523/3"	"Related"	"Infiltrating duct and cribriform carcinoma"	"(C50._)"						
"8523/3"	"Related"	"Infiltrating duct and mucinous carcinoma"	"(C50._)"						
"8523/3"	"Related"	"Infiltrating duct and tubular carcinoma"	"(C50._)"						
"8524/3"	"Preferred"	"Infiltrating lobular mixed with other types of carcinoma"	"(C50._)"						
"8525/3"	"Preferred"	"Polymorphous adenocarcinoma"							
"8525/3"	"Synonym"	"Polymorphous carcinoma"							
"8525/3"	"Synonym"	"Terminal duct adenocarcinoma"							
"8530/3"	"Preferred"	"Inflammatory carcinoma"	"(C50._)"						
"8530/3"	"Synonym"	"Inflammatory adenocarcinoma"	"(C50._)"						
"8540/3"	"Preferred"	"Paget disease, mammary"	"(C50._)"						
"8540/3"	"Synonym"	"Paget disease of breast"	"(C50._)"						
"8540/3"	"Synonym"	"Paget disease of nipple"	"(C50.0)"						
"8541/3"	"Preferred"	"Paget disease and infiltrating duct carcinoma of breast"	"(C50._)"						
"8542/3"	"Preferred"	"Paget disease, extramammary"						"(except of bone: not neoplastic)"	
"8543/3"	"Preferred"	"Paget disease and intraductal carcinoma of breast"	"(C50._)"						
"855"	2	"Acinar cell neoplasms"							
"8550/0"	"Preferred"	"Acinar cell adenoma"							
"8550/0"	"Synonym"	"Acinar adenoma"							
"8550/0"	"Synonym"	"Acinic cell adenoma"							
"8550/1"	"Preferred"	"Acinar cell tumor"		"[obs]"					
"8550/1"	"Synonym"	"Acinic cell tumor"		"[obs]"					
"8550/3"	"Preferred"	"Acinar cell carcinoma"							
"8550/3"	"Synonym"	"Acinar adenocarcinoma, NOS"						"(except of lung M-8551/3 or prostate M-8140/3)"	
"8550/3"	"Synonym"	"Acinar carcinoma"							
"8550/3"	"Synonym"	"Acinic cell adenocarcinoma"							
"8551/3"	"Preferred"	"Acinar cell cystadenocarcinoma"		"[obs]"					
"8551/3"	"Related"	"Acinar adenocarcinoma of lung"	"(C34._)"						
"8552/3"	"Preferred"	"Mixed acinar-ductal carcinoma"							
"856-857"	2	"Complex epithelial neoplasms"							
"8560/0"	"Preferred"	"Mixed squamous cell and glandular papilloma"							
"8560/0"	"Synonym"	"Tubulosquamous polyp"							
"8560/3"	"Preferred"	"Adenosquamous carcinoma"							
"8560/3"	"Synonym"	"Mixed adenocarcinoma and epidermoid carcinoma"							
"8560/3"	"Synonym"	"Mixed adenocarcinoma and squamous cell carcinoma"							
"8560/3"	"Related"	"Squamoid eccrine ductal carcinoma"	"(C44._)"						
"8561/0"	"Preferred"	"Adenolymphoma"	"(C07._, C08._)"						
"8561/0"	"Synonym"	"Papillary cystadenoma lymphomatosum"	"(C07._, C08._)"						
"8561/0"	"Synonym"	"Warthin tumor"	"(C07._, C08._)"						
