DOSAGE	VOLUME	THIN_NAME	GEMSCRIPT_NAME	INGREDIENT_ID	THIN_CODE	GEMSCRIPT_CODE	INGREDIENT_CONCEPT_CODE	DOMAIN_ID
		Calendula baby soap gm	CALENDULA BABY SOAP GM		96043992	3956007		Device
		Saltair lotion	SALTAIR LOT		96035992	3964007		Drug
		Odour control liq liquid	ODOUR CONTROL liq LIQ		96034992	3965007		Device
		Vitamins a/d/c drops liquid	VITAMINS A/D/C DROPS LIQ		96022992	3977007	Vitamin Stuff	Drug
		Vit b1/b2/b6/b12/c/e/h/k/pp/calc d-pan / tablet	VIT B1/B2/B6/B12/C/E/H/K/PP/CALC D-PAN / TAB		96021992	3978007		Drug
		Vitamin b-50 complex tablet	VITAMIN B-50 COMPLEX TAB		96017992	3982007		Drug
		Vita plus + iron tablet	VITA PLUS + IRON TAB		96016992	3983007		Drug
		Vit.a /vit.b1 /vit.b2 /vit.c /vit.d2 /ni powder	VIT.A /VIT.B1 /VIT.B2 /VIT.C /VIT.D2 /NI POW		96015992	3984007		Drug
3%		Vioform-hydrocortisone drops ear	VIOFORM-HYDROCORTISONE DROPS EAR	980867	96013992	3986007	Clioquinol	Drug
		Vioform-hydrocortisone drops ear	VIOFORM-HYDROCORTISONE DROPS EAR	975125	96013992	3986007	Hydrocortisone	Drug
		Dermacare lotion	DERMACARE LOT		96012992	3987007		Device
		Tyrocane paed lozenges	TYROCANE PAED LOZ		96010992	3989007		Drug
		Kabi compounded special ii tpn soln injection	KABI COMPOUNDED SPECIAL II TPN soln INJ		96008992	3991007		Device
		Thyroid/pituitary (anterior lobe) dry ex tablet	THYROID/PITUITARY (ANTERIOR LOBE) DRY EX TAB		96004992	3995007	Anterior Pituitary Hormones	Drug
		Thyroid/pituitary (anterior lobe) dry ex tablet	THYROID/PITUITARY (ANTERIOR LOBE) DRY EX TAB	1501309	96004992	3995007	thyroid (USP)	Drug
		Streptokinase/streptodornase powder	STREPTOKINASE/STREPTODORNASE POW	19136184	96002992	3997007	Streptodornase	Drug
		Streptokinase/streptodornase powder	STREPTOKINASE/STREPTODORNASE POW	19136187	96002992	3997007	Streptokinase	Drug
		Soda mint 300 tablet	SODA MINT 300 TAB		95995992	4004007		Drug
30 mg/ml	80ml	Salonpas spray	SALONPAS SPR	938205	95990992	4009007	Camphor	Drug
32 mg/ml	80ml	Salonpas spray	SALONPAS SPR	901656	95990992	4009007	Menthol	Drug
17.5mg/ml	80ml	Salonpas spray	SALONPAS SPR	909440	95990992	4009007	methyl salicylate	Drug
		Ruthmol dietetic salt powder	RUTHMOL DIETETIC SALT POW		95989992	4010007		Device
		Riddobron inhalant liquid	RIDDOBRON INHALANT LIQ	914335	95988992	4011007	Atropine	Drug
		Riddobron inhalant liquid	RIDDOBRON INHALANT LIQ	1343916	95988992	4011007	Epinephrine	Drug
		Riddobron inhalant liquid	RIDDOBRON INHALANT LIQ	1326901	95988992	4011007	Papaverine	Drug
		Rhus tox. 6 tablet	RHUS TOX. 6 TAB		95986992	4013007		Drug
500 mg		Potter's slippery elm stomach tablet	POTTER'S SLIPPERY ELM STOMACH TAB	19098722	95980992	4019007	SLIPPERY ELM BARK	Drug
		Polycrol forte gel liquid	POLYCROL FORTE GEL LIQ		95976992	4023007		Drug
		Pine sylvestris inhalation liquid	PINE SYLVESTRIS INHALATION LIQ		95975992	4024007		Drug
		Phiso-ac cream	PHISO-AC CRE		95973992	4026007		Device
		Phisoderm liquid	PHISODERM LIQ		95972992	4027007		Device
		Phenoxetol solution	PHENOXETOL SOL	19058343	95971992	4028007	Phenoxyethanol	Drug
		Nux vom. 6 tablet	NUX VOM. 6 TAB		95964992	4035007		Drug
		Noratex cream	NORATEX CRE		95962992	4037007		Device
		Nepenthe solution	NEPENTHE SOL	1110410	95961992	4038007	Morphine	Drug
		Morsep cream	MORSEP CRE	19007748	95960992	4039007	Cetrimide	Drug
		Morsep cream	MORSEP CRE	19008339	95960992	4039007	Vitamin A	Drug
			MIRA-SOAK SOL	1036252		4041007	Sulfacetamide	Device
		Migraclear tablet	MIGRACLEAR TAB		95956992	4043007		Drug
		Milton n0. 2 sterilising fluid liquid	MILTON N0. 2 STERILISING FLUID LIQ		95955992	4044007		Device
		Measles edmonston strain vac	MEASLES EDMONSTON STRAIN VAC		95951992	4048007		Drug
8%		Li succinate 8% / zn sulphate 0.05% ointment	LI SUCCINATE 8% / ZN SULPHATE 0.05% OIN	19071904	95947992	4052007	lithium succinate	Drug
0.05%		Li succinate 8% / zn sulphate 0.05% ointment	LI SUCCINATE 8% / ZN SULPHATE 0.05% OIN	19044522	95947992	4052007	Zinc Sulfate	Drug
		Linolex suppositories	LINOLEX SUP		95946992	4053007		Device
		Lensept solution	LENSEPT SOL		95945992	4054007		Device
		Lactic acid/sodium pyrrolidonecarboxylat lotion	LACTIC ACID/SODIUM PYRROLIDONECARBOXYLAT LOT		95942992	4057007		Drug
			KAO-C TAB	951511		4059007	Mupirocin	Drug
		Kali.bich. 6 tablet	KALI.BICH. 6 TAB		95939992	4060007		Drug
			HYDROSOAK SOL	740275		4063007	Carbamazepine	Device
		Hepatic aid ii sachets powder	HEPATIC AID II SACHETS POW		95934992	4065007		Device
		Haemorrhoid suppositories	HAEMORRHOID SUP		95932992	4067007		Drug
		Generic Metatone oral solution	GLYCEROPHOSPHATES comp SYR		95926992	4073007		Drug
		Artificial saliva spray	GLANDOSANE AEROSOL SPRAY (LEMON) SOL		95924992	4075007		Device
		Gerovital h3 tablet	GEROVITAL H3 TAB		95922992	4077007		Drug
		Forceval protein powder	FORCEVAL PROTEIN POW		95920992	4079007		Device
		Flexical powder	FLEXICAL POW		95918992	4081007		Device
		Ferrous gluconate/thiamine hcl oral tablet	FERROUS GLUCONATE/THIAMINE HCl ELI	1396012	95917992	4082007	ferrous gluconate	Drug
		Ferrous gluconate/thiamine hcl oral tablet	FERROUS GLUCONATE/THIAMINE HCl ELI	19137312	95917992	4082007	Thiamine	Drug
1000 u	1 ml	Tuberculin ppd 1 000 u/ml (1ml) vac	TUBERCULIN PPD 1 000 U/ML (1ML) VAC	19058274	95914992	4085007	Purified Protein Derivative of Tuberculin	Drug
		Generic Duocal Super Soluble powder sugar free	DUOCAL SUPER SOLUBLE POW		95913992	4086007		Device
			DIMETHYL PHTHALATE/DIETHYLTOLUAMIDE CRE	35603921		4089007	dimethyl 4-phthalate	Drug
		Diethyltoluamide/citronella oil spray	DIETHYLTOLUAMIDE/CITRONELLA OIL SPR	42898909	95908992	4091007	Citronella oil	Drug
		Diethyltoluamide/citronella oil spray	DIETHYLTOLUAMIDE/CITRONELLA OIL SPR	19079469	95908992	4091007	diethyltoluamide	Drug
		Diabetic cough linc linctus	DIABETIC COUGH linc LIN		95907992	4092007		Device
42 mg/5ml		Dentinox gel	DENTINOX GEL	966991	95906992	4093007	Simethicone	Drug
		Minafen powder	MINAFEN POW	1125315	95905992	4094007	Acetaminophen	Drug
		Carobel powder	CAROBEL POW		95904992	4095007		Device
			CONCHAE 5% TAB	950637		4097007	Tacrolimus	Drug
		Contactaclean solution	CONTACTACLEAN SOL		95901992	4098007		Device
		Codural tablet	CODURAL TAB		95898992	4101007		Drug
300 mcg			Travel Calm 300microgram tablets (The Boots Company Plc)	40234201		4106020	butylscopolamine	Drug
		Clinijel gel	CLINIJEL GEL		95889992	4110007		Device
			CIRCULINOL CAP	19042345		4111007	Lecithin	Drug
		Calmurid powder	CALMURID POW		95882992	4117007		Device
		Generic Calogen emulsion	CALOGEN (L.C.T.) EMULSION LIQ		95881992	4118007		Device
		Butamide capsule	BUTAMIDE CAP	1502855	95870992	4129007	Tolbutamide	Drug
		Brewers yeast + vitamins tablet	BREWERS YEAST + VITAMINS TAB		95866992	4133007		Device
10%		Betnovate 10% in emulsifying oint ointment	BETNOVATE 10% IN EMULSIFYING oint OIN	920458	95864992	4135007	Betamethasone	Drug
		Generic Benylin Dry Coughs Night syrup	BENYLIN EXPECTORANT SYR		95863992	4136007		Drug
		Banasone co lozenges	BANASONE CO LOZ		95862992	4137007		Drug
		Artificial saliva formula 2 liquid	ARTIFICIAL SALIVA FORMULA 2 LIQ		95860992	4139007		Drug
		Aluminuim hyd/magnesium hyd tablet	ALUMINUIM HYD/MAGNESIUM HYD TAB	985247	95857992	4142007	Aluminum Hydroxide	Drug
		Aluminuim hyd/magnesium hyd tablet	ALUMINUIM HYD/MAGNESIUM HYD TAB	992956	95857992	4142007	Magnesium Hydroxide	Drug
0.0073g	50ml	Artificial saliva spray	LUBORANT SPR	19036781	95855992	4144007	Calcium Chloride	Drug
0.5g	50ml	Artificial saliva spray	LUBORANT SPR	949279	95855992	4144007	Carboxymethylcellulose	Drug
0.0026g	50ml	Artificial saliva spray	LUBORANT SPR	19092849	95855992	4144007	Magnesium Chloride	Drug
0.06g	50ml	Artificial saliva spray	LUBORANT SPR	19049105	95855992	4144007	Potassium Chloride	Drug
0.0422g	50ml	Artificial saliva spray	LUBORANT SPR	967823	95855992	4144007	Sodium Chloride	Drug
1.5g	50ml	Artificial saliva spray	LUBORANT SPR	970011	95855992	4144007	Sorbitol	Drug
20mg		Codeine phos/ibuprofen sr (20mg/300mg) tablet	CODEINE PHOS/IBUPROFEN SR (20MG/300MG) TAB	1201620	95852992	4147007	Codeine	Drug
300mg		Codeine phos/ibuprofen sr (20mg/300mg) tablet	CODEINE PHOS/IBUPROFEN SR (20MG/300MG) TAB	1177480	95852992	4147007	Ibuprofen	Drug
		Dry skin cream	DRY SKIN CRE		95851992	4148007		Device
		Japanese encephalitis (je) vaccine vac	JAPANESE ENCEPHALITIS (JE) VACCINE VAC	19047598	95848992	4151007	"Japanese encephalitis virus vaccine, inactivated"	Drug
		Argentum nitricum tablet	ARGENTUM NITRICUM TAB		95845992	4154007		Drug
		Piz buin lotion (spf 12) lotion	PIZ BUIN LOTION (SPF 12) LOT		95843992	4156007		Device
		Salicylic acid/coal tar soln/alcohol solution	SALICYLIC ACID/COAL TAR SOLN/ALCOHOL SOL		95842992	4157007		Drug
		Sulphabenzamide/sulphacetamide/sulphathi cream	SULPHABENZAMIDE/SULPHACETAMIDE/SULPHATHI CRE		95841992	4158007		Device
		R.b.c. cream	R.B.C. CRE		95840992	4159007		Device
137.5 mg		Polycrol tablet	POLYCROL TAB	985247	95839992	4160007	Aluminum Hydroxide	Drug
137.5 mg		Polycrol tablet	POLYCROL TAB	908464	95839992	4160007	magnesium carbonate	Drug
100 mg		Polycrol tablet	POLYCROL TAB	992956	95839992	4160007	Magnesium Hydroxide	Drug
25 mg		Polycrol tablet	POLYCROL TAB	966991	95839992	4160007	Simethicone	Drug
		Paracetamol/orphenadrine citrate tablet	PARACETAMOL/ORPHENADRINE CITRATE TAB	1125315	95837992	4162007	Acetaminophen	Drug
		Paracetamol/orphenadrine citrate tablet	PARACETAMOL/ORPHENADRINE CITRATE TAB	724394	95837992	4162007	Orphenadrine	Drug
			NUX VOMICA ALKALINE MIX	19094153		4163007	Strychnine	Drug
		Keromask finishing powder	KEROMASK FINISHING POW		95834992	4165007		Device
100 iu	1 ml	Tuberculin ppd 100 u/ml (1ml) vac	TUBERCULIN PPD 100 U/ML (1ML) VAC	19058274	95831992	4168007	Purified Protein Derivative of Tuberculin	Drug
		Amolet cream	AMOLET CRE		95824992	4175007		Device
		Alum. hydroxide-magnesium carbonate-sorb tablet	ALUM. HYDROXIDE-MAGNESIUM CARBONATE-SORB TAB		95823992	4176007		Drug
		Filter activated carbon	FILTER ACTIVATED CARBON		95822992	4177007		Device
		Washer salger salts	WASHER SALGER SALTS		95820992	4179007		Device
		Topiclens sach (100ml)	TOPICLENS sach (100ML)		95818992	4181007		Device
		Ozium 500 air sanitizer	OZIUM 500 AIR SANITIZER		95806992	4193007		Device
		Pk aid iii	PK AID III		95805992	4194007		Device
		Saliva orthana spray	SALIVA ORTHANA SPRAY		95804992	4195007		Device
		Mentholatum	MENTHOLATUM		95803992	4196007		Device
		Betasec	BETASEC		95799992	4200007		Drug
		Suture ethilon 2/45cm 26mm curved revers	SUTURE ETHILON 2/45CM 26MM CURVED REVERS		95794992	4205007		Device
		Gravigard iucd	GRAVIGARD IUCD		95793992	4206007		Device
		Suture ethilon 1.5/45cm 19mm curved rev	SUTURE ETHILON 1.5/45CM 19MM CURVED REV		95792992	4207007		Device
		Suture mersilk 1.5/7.5cm 16mm curved	SUTURE MERSILK 1.5/7.5CM 16MM CURVED		95791992	4208007		Device
		Suture mersilk 3/45cm 26mm curved revers	SUTURE MERSILK 3/45CM 26MM CURVED REVERS		95790992	4209007		Device
		Syringe	SYRINGE		95781992	4218007		Device
5 mg		Veracolate tablet	VERACOLATE TAB	924939	95775992	4224007	Bisacodyl	Drug
		Uvitan cream	UVITAN CRE		95771992	4228007		Device
		Visine drops eye	VISINE DROPS EYE		95770992	4229007		Device
25 mg/ml	30ml	Xylocaine cream	XYLOCAINE CRE	989878	95768992	4231007	Lidocaine	Drug
25 mg/ml		Xylocaine cream	XYLOCAINE CRE	951279	95768992	4231007	Prilocaine	Drug
		Sol	SOL		95767992	4232007		Drug
		Coil lippes loop	COIL LIPPES LOOP		95766992	4233007		Device
0.25 mg			ZYMAFLUOR .25 MG TAB	19069022		4234007	Sodium Fluoride	Drug
0.12%		Zincfrin drops .25 % eye	ZINCFRIN DROPS .25 % EYE	1135766	95760992	4239007	Phenylephrine	Drug
0.25%		Zincfrin drops .25 % eye	ZINCFRIN DROPS .25 % EYE	19044522	95760992	4239007	Zinc Sulfate	Drug
300 mg		Zarontin 300 mg capsule	ZARONTIN 300 MG CAP	750119	95750992	4249007	Ethosuximide	Drug
		Zactirin tablet	ZACTIRIN TAB	1112807	95746992	4253007	Aspirin	Drug
		Xerumenex drops ear	XERUMENEX DROPS EAR		95745992	4254007	Oleyl Polypeptide	Drug
4%			XYLOCAINE DROPS 4 % EYE	19009365		4255007	methoxyphenamine	Drug
		Xylocaine suppositories	XYLOCAINE SUP	989878	95742992	4257007	Lidocaine	Drug
			WARTEX	42898716		4259007	Centella asiatica extract	Drug
500 mg		Vitocee tablet	VITOCEE TAB	19011773	95738992	4261007	Ascorbic Acid	Drug
120 mg / 5 ml			Lloydspharmacy Paracetamol Infant 120mg/5ml oral suspension sugar free (Lloyds Pharmacy Ltd)	19072082		4264020	cyclobarbital	Drug
		Vioform ointment	VIOFORM OIN		95732992	4267007		Drug
			VIOFORM POW	980867		4268007	Clioquinol	Drug
		Vibrocil nasal drops liquid	VIBROCIL NASAL DROPS LIQ		95725992	4274007		Drug
		Vegetable laxative tablet	VEGETABLE LAXATIVE TAB		95724992	4275007		Drug
125 mg / 5 ml		Velosef 125 mg syringe	VELOSEF 125 MG SYR	1786842	95723992	4276007	Cephradine	Drug
50 000 iu	45 g	Varidase gel	VARIDASE GEL	19136184	95720992	4279007	Streptodornase	Drug
50000 iu	45 g	Varidase gel	VARIDASE GEL	19136184	95720992	4279007	Streptodornase	Drug
100000 iu	45 g	Varidase gel	VARIDASE GEL	19136187	95720992	4279007	Streptokinase	Drug
500 mg		V-cil-k 500 mg pul	V-CIL-K 500 MG PUL	1729720	95719992	4280007	Penicillin V	Drug
100 mg		Urolucosil 100 mg tablet	UROLUCOSIL 100 MG TAB	1036487	95716992	4283007	sulfathiazole	Drug
200 mg			UNIPROFEN 200 MG TAB	1177480		4284007	Ibuprofen	Drug
400 mg		Uniprofen 400 mg tablet	UNIPROFEN 400 MG TAB	1177480	95714992	4285007	Ibuprofen	Drug
		Ulcaid gel	ULCAID GEL	989301	95711992	4288007	Cetylpyridinium	Drug
		Ulcaid gel	ULCAID GEL	955372	95711992	4288007	Ethanol	Drug
		Ulcaid gel	ULCAID GEL	989878	95711992	4288007	Lidocaine	Drug
150 mg			ULCAID TAB	961047		4289007	Ranitidine	Drug
			UNIFLOR 1 GM TAB			4291007		Drug
		Tymasil spray spray	TYMASIL SPRAY SPR		95703992	4296007		Drug
5 mg		Tyrosolven lozenges	TYROSOLVEN LOZ	917006	95702992	4297007	Benzocaine	Drug
1 mg		Tyrosolven lozenges	TYROSOLVEN LOZ	989301	95702992	4297007	Cetylpyridinium	Drug
1 mg		Tyrosolven lozenges	TYROSOLVEN LOZ	19006842	95702992	4297007	Tyrothricin	Drug
2.5 mg/ml		Triotussic suspension	TRIOTUSSIC SUS	19015812	95695992	4304007	cathine	Drug
		Tri-adcortyl spray	TRI-ADCORTYL SPR		95682992	4317007		Drug
			TOPISOLONE CRE	19056189		4329007	Pancreas extract	Drug
500mg				1125315		4332020	Acetaminophen	Drug
30mg				1201620		4332020	Codeine	Drug
250 mg		Tiglyssin 250 mg tablet	TIGLYSSIN 250 MG TAB		95666992	4333007	Tropigline	Drug
		Tilloderm ointment	TILLODERM OIN		95665992	4334007		Drug
		Tin/tin oxide tablet	TIN/TIN OXIDE TAB	19008281	95664992	4335007	Tin	Drug
1%		Tinaderm 1 % solution	TINADERM 1 % SOL	902950	95663992	4336007	Tolnaftate	Drug
150 mg		Tetralysal 150 mg capsule	TETRALYSAL 150 MG CAP	19092353	95660992	4339007	Lymecycline	Drug
25 mg		Terolin 25 mg tablet	TEROLIN 25 MG TAB	19100440	95656992	4343007	terodiline	Drug
			TERRA-BRON TAB			4345007		Drug
48 mg		Tedral sa tablet	TEDRAL SA TAB	1143374	95651992	4348007	Ephedrine	Drug
		Teepol shampoo 500 mg solution	TEEPOL SHAMPOO 500 MG SOL		95650992	4349007		Device
100 mg		Tanderil 100 mg tablet	TANDERIL 100 MG TAB	920458	95645992	4354007	Betamethasone	Drug
			SYLOPAL SUS			4359007		Drug
0.02%		Synalar .02 % lotion	SYNALAR .02 % LOT	996541	95637992	4362007	fluocinolone	Drug
0.03%		Synalar-n lotion	SYNALAR-N LOT	996541	95636992	4363007	fluocinolone	Drug
0.50%		Synalar-n lotion	SYNALAR-N LOT	915981	95636992	4363007	Neomycin	Drug
		Sulphonated lorol shampoo 40 % liquid	SULPHONATED LOROL SHAMPOO 40 % LIQ		95631992	4368007		Device
		Sulphur/salicylic acid application liquid	SULPHUR/SALICYLIC ACID APPLICATION LIQ		95628992	4371007		Drug
6%		Sulphacetamide sodium drops 6 % eye	SULPHACETAMIDE SODIUM DROPS 6 % EYE	1036252	95627992	4372007	Sulfacetamide	Drug
10%		Sulphacalyre drops 10 % eye	SULPHACALYRE DROPS 10 % EYE	1036252	95623992	4376007	Sulfacetamide	Drug
10%		Sulphacetamide sodium oint 10 % eye	SULPHACETAMIDE SODIUM OINT 10 % EYE	1036252	95620992	4379007	Sulfacetamide	Drug
6%		Sulphacetamide sodium oint 6 % eye	SULPHACETAMIDE SODIUM oint 6 % EYE	1036252	95619992	4380007	Sulfacetamide	Drug
		Streptotriad tablet	STREPTOTRIAD TAB		95618992	4381007		Drug
0.5 mg		Stilboestrol .5 mg pessaries	STILBOESTROL .5 MG PES	1525866	95614992	4385007	Diethylstilbestrol	Drug
			SPIRONOLACTONE/PROPRANOLOL 50 MG TAB	970250		4394007	Spironolactone	Drug
3.20%		Spectraban 4 lotion	SPECTRABAN 4 LOT	19082898	95604992	4395007	padimate-O	Drug
20 mg			SORBID 20 MG TAB	1383925		4396007	Isosorbide Dinitrate	Drug
0.01		Soframycin nebuliser	SOFRAMYCIN NEBULISER	19056694	95601992	4398007	Framycetin	Drug
500 mg		Solpadeine forte tablet	SOLPADEINE FORTE TAB	1125315	95599992	4400007	Acetaminophen	Drug
30 mg		Solpadeine forte tablet	SOLPADEINE FORTE TAB	1134439	95599992	4400007	Caffeine	Drug
8 mg		Solpadeine forte tablet	SOLPADEINE FORTE TAB	1201620	95599992	4400007	Codeine	Drug
6.00%		Sulphacetamide sodium in greasy base 6 % eye	SULPHACETAMIDE SODIUM IN GREASY BASE 6 % EYE	1036252	95582992	4417007	Sulfacetamide	Drug
		Simple shampoo liquid	SIMPLE SHAMPOO LIQ		95580992	4419007		Device
		Selora powder	SELORA POW	19049105	95574992	4425007	Potassium Chloride	Drug
		Sclerosant 2 gm injection	SCLEROSANT 2 GM INJ		95570992	4429007		Drug
		Sancos syringe	SANCOS SYR		95565992	4434007		Device
10 mg		Saventrine 10 mg tablet	SAVENTRINE 10 MG TAB	1183554	95562992	4437007	Isoproterenol	Drug
10 mg		Rythmodan 10 mg tablet	RYTHMODAN 10 MG TAB	1335606	95556992	4443007	Disopyramide	Drug
20 mg		Ronyl 20 mg tablet	RONYL 20 MG TAB	727835	95555992	4444007	Pemoline	Drug
		Rybarvin inhalant soln inhalation	RYBARVIN INHALANT soln INH		95553992	4446007		Drug
25 mg			RITALIN 25 MG TAB	1586226		4450007	Cerivastatin sodium	Drug
300 mg		Rheumox 100 mg capsule	RHEUMOX 100 MG CAP		95546992	4453007	Azapropazone	Drug
		Rhinamid nasal drops liquid	RHINAMID NASAL DROPS LIQ	711452	95545992	4454007	Benzoate	Drug
		Rhinamid nasal drops liquid	RHINAMID NASAL DROPS LIQ	1143374	95545992	4454007	Ephedrine	Drug
		Remiderm forte ointment	REMIDERM FORTE OIN		95544992	4455007		Device
			REMIDERM CRE	42899326		4458007	Magnesium silicate	Drug
50 mg		Rautrax 50 mg tablet	RAUTRAX 50 MG TAB	1316354	95540992	4459007	Bendroflumethiazide	Drug
10.00%		Quinoderm lotio-gel 10 % lotion	QUINODERM LOTIO-GEL 10 % LOT	918172	95535992	4464007	Benzoyl Peroxide	Drug
10 mg	1 ml		Nubain 10mg/1ml solution for injection ampoules (Bristol-Myers Squibb Pharmaceuticals Ltd)	1114122		4468020	Nalbuphine	Drug
		Psorin forte ointment	PSORIN FORTE OIN		95524992	4475007		Device
		Prosparol emulsion emulsion	PROSPAROL EMULSION EMU		95521992	4478007		Device
0.50%		Propaderm forte .5 % cream	PROPADERM FORTE .5 % CRE	1115572	95512992	4487007	Beclomethasone	Drug
		Propaderm-c cream	PROPADERM-C CRE	1115572	95511992	4488007	Beclomethasone	Drug
		Propaderm-c cream	PROPADERM-C CRE	980867	95511992	4488007	Clioquinol	Drug
		Prodexin tablet	PRODEXIN TAB	1115008	95506992	4493007	Naproxen	Drug
1%		Predsol drops 1 % eye	PREDSOL DROPS 1 % EYE	1550557	95500992	4499007	prednisolone	Drug
5 mg		Pregfol capsule	PREGFOL CAP	19111620	95499992	4500007	Folic Acid	Drug
0%		Predsol drops .25 % eye	PREDSOL DROPS .25 % EYE	1550557	95486992	4513007	prednisolone	Drug
		Preceptin gel	PRECEPTIN GEL		95485992	4514007		Device
			POLYHYDROXYALUMINIUM SODIUM CARBONATE/MA TAB	1125315		4524007	Acetaminophen	Drug
		Pollinex vac	POLLINEX VAC		95472992	4527007		Drug
400 iu		Polybactrin g.u. powder	POLYBACTRIN G.U. POW	915175	95471992	4528007	Bacitracin	Drug
3.5 mg		Polybactrin g.u. powder	POLYBACTRIN G.U. POW	915981	95471992	4528007	Neomycin	Drug
5000 iu		Polybactrin g.u. powder	POLYBACTRIN G.U. POW	948582	95471992	4528007	Polymyxin B	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163661	95469992	4530007	pneumococcal capsular polysaccharide type 1 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163668	95469992	4530007	pneumococcal capsular polysaccharide type 10A vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163670	95469992	4530007	pneumococcal capsular polysaccharide type 11A vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163672	95469992	4530007	pneumococcal capsular polysaccharide type 12F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163674	95469992	4530007	pneumococcal capsular polysaccharide type 14 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163676	95469992	4530007	pneumococcal capsular polysaccharide type 15B vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163678	95469992	4530007	pneumococcal capsular polysaccharide type 17F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163680	95469992	4530007	pneumococcal capsular polysaccharide type 18C vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163682	95469992	4530007	pneumococcal capsular polysaccharide type 19A vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163684	95469992	4530007	pneumococcal capsular polysaccharide type 19F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163686	95469992	4530007	pneumococcal capsular polysaccharide type 2 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163688	95469992	4530007	pneumococcal capsular polysaccharide type 20 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163690	95469992	4530007	pneumococcal capsular polysaccharide type 22F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163692	95469992	4530007	pneumococcal capsular polysaccharide type 23F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163694	95469992	4530007	pneumococcal capsular polysaccharide type 3 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163696	95469992	4530007	pneumococcal capsular polysaccharide type 33F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163698	95469992	4530007	pneumococcal capsular polysaccharide type 4 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163700	95469992	4530007	pneumococcal capsular polysaccharide type 5 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163702	95469992	4530007	pneumococcal capsular polysaccharide type 6B vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163704	95469992	4530007	pneumococcal capsular polysaccharide type 7F vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163706	95469992	4530007	pneumococcal capsular polysaccharide type 8 vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163708	95469992	4530007	pneumococcal capsular polysaccharide type 9N vaccine	Drug
		Pneumovax vac	PNEUMOVAX VAC	40163710	95469992	4530007	pneumococcal capsular polysaccharide type 9V vaccine	Drug
		Piz buin no.12 cream	PIZ BUIN NO.12 CRE		95468992	4531007		Device
5 mg		Piptalin tablet	PIPTALIN TAB	19025284	95465992	4534007	pipenzolate	Drug
8 mg		Piriton duolets 8 mg tablet	PIRITON DUOLETS 8 MG TAB	1192710	95464992	4535007	Chlorpheniramine	Drug
10mg/ml	2 ml	Piritramide 10 mg injection	PIRITRAMIDE 10 MG INJ	19134009	95463992	4536007	Pirinitramide	Drug
6%		Pilocarpine/hydromellose drops 6 % drops	PILOCARPINE/HYDROMELLOSE DROPS 6 % DRO	945286	95459992	4540007	Pilocarpine	Drug
0.07%		Ecothiopate iodide 0.065% eye drops	PHOSPHOLINE IODIDE OPHTHALMIC 6.25 MG SOL	958368	95443992	4556007	Echothiophate	Drug
0.12%		Ecothiopate iodide 0.12% eye drops	PHOSPHOLINE IODIDE .12 % EYE	958368	95442992	4557007	Echothiophate	Drug
		Phyllocontin suppositories	PHYLLOCONTIN SUP	1105775	95441992	4558007	Aminophylline	Drug
2 mg		Physeptone 2 mg linctus	PHYSEPTONE 2 MG LIN	1103640	95440992	4559007	Methadone	Drug
		Pholcomed linctus	PHOLCOMED LIN	1326901	95433992	4566007	Papaverine	Drug
		Pholcomed linctus	PHOLCOMED LIN	19024213	95433992	4566007	pholcodine	Drug
			PHENAZONE/BENZOCAINE DROPS 5 % EAR	1036059		4593007	Antipyrine	Drug
			PHENAZONE/BENZOCAINE DROPS 5 % EAR	19022417		4593007	Heroin	Drug
2%		Phenergan 2 % cream	PHENERGAN 2 % CRE	1153013	95404992	4595007	Promethazine	Drug
80 mg		Peritrate sa 80 mg tablet	PERITRATE SA 80 MG TAB		95403992	4596007	Pentaerithrityl Tetranitrate	Drug
		Pernomol paint liquid	PERNOMOL PAINT LIQ		95402992	4597007		Device
10 mg		Persantin 10 mg suspension	PERSANTIN 10 MG SUS	1331270	95401992	4598007	Dipyridamole	Drug
