DOSAGE	VOLUME	INGREDIENT_CONCEPT_CODE	CONCEPT_NAME	CONCEPT_CODE	GEMSCRIPT_NAME
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	99659989	Co-trimoxazole 240mg/5ml Oral suspension (Hillcross Pharmaceuticals Ltd)
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98519997	Bactrim paediatric sugar free oral solution
40mg/5ml		Trimethoprim	Co-trimoxazole 40mg/200mg/5ml oral suspension sugar free	98611997	Septrin paediatric Oral suspension sugar free (Wellcome Medical Division)
400mg		Sulfamethoxazole	Co-trimoxazole 80mg/400mg tablets	97561992	GX CO-TRIMOXAZOLE 480 MG TAB
400mg		Sulfamethoxazole	Co-trimoxazole 80mg/400mg tablets	94851992	C0-TRIMOXAZOLE TAB
400mg		Sulfamethoxazole	Co-trimoxazole 80mg/400mg tablets	99143998	Septrin Tablet (Wellcome Medical Division)
400mg		Sulfamethoxazole	Co-trimoxazole 80mg/400mg tablets	97168992	CO-TRIMOXAZOLE F/C 480 MG TAB
80mg		Trimethoprim	Co-trimoxazole 80mg/400mg tablets	97561992	GX CO-TRIMOXAZOLE 480 MG TAB
80mg		Trimethoprim	Co-trimoxazole 80mg/400mg tablets	94851992	C0-TRIMOXAZOLE TAB
80mg		Trimethoprim	Co-trimoxazole 80mg/400mg tablets	99143998	Septrin Tablet (Wellcome Medical Division)
80mg		Trimethoprim	Co-trimoxazole 80mg/400mg tablets	97168992	CO-TRIMOXAZOLE F/C 480 MG TAB
400mg		Sulfamethoxazole	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87693998	Trimethoprim / sulfamethoxazole 80mg + 400mg/5ml Oral suspension
400mg/5ml		Sulfamethoxazole	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87036998	Trimethoprim / sulfamethoxazole 80mg + 400mg/5ml Concentrate for solution for infusion
400mg/5ml		Sulfamethoxazole	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	97123989	Co-trimoxazole 480mg/5ml Adult Mixture (Lagap)
400mg/5ml		Sulfamethoxazole	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	95351998	Co-trimoxazole 16mg with 80mg/ml concentrate solution for infusion
400mg/5ml		Sulfamethoxazole	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87689998	Sulfamethoxazole 400mg / trimethoprim 80mg/5ml oral suspension
80mg		Trimethoprim	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87693998	Trimethoprim / sulfamethoxazole 80mg + 400mg/5ml Oral suspension
80mg/5ml		Trimethoprim	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87036998	Trimethoprim / sulfamethoxazole 80mg + 400mg/5ml Concentrate for solution for infusion
80mg/5ml		Trimethoprim	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	97123989	Co-trimoxazole 480mg/5ml Adult Mixture (Lagap)
80mg/5ml		Trimethoprim	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	95351998	Co-trimoxazole 16mg with 80mg/ml concentrate solution for infusion
80mg/5ml		Trimethoprim	Co-trimoxazole 80mg/400mg/5ml solution for infusion ampoules	87689998	Sulfamethoxazole 400mg / trimethoprim 80mg/5ml oral suspension
25mg		Captopril	Co-zidocapt 12.5mg/25mg tablets	94868997	Capozide LS Tablet (E R Squibb / Sons Ltd)
12.5mg		Hydrochlorothiazide	Co-zidocapt 12.5mg/25mg tablets	94868997	Capozide LS Tablet (E R Squibb / Sons Ltd)
20mg		Codeine	Codeine phos/ibuprofen sr (20mg/300mg) tablet	95852992	CODEINE PHOS/IBUPROFEN SR (20MG/300MG) TAB
