"CONCEPT_CODE"	"concept_name_fr"	"concept_name_nl "	"MAPPED_ID"	"MAPPED_NAME"	"PRECEDENCE"
"gal00050"	"sol. perf. à diluer i.v. [amp.]"	"inf. oploss. (conc.) i.v. [amp.]"	"19082103"	"Injectable Solution"	
"gal00025"	"sol. perf. à diluer i.v. [flac.]"	"inf. oploss. (conc.) i.v. [flac.]"	"19082103"	"Injectable Solution"	
"gal00548"	"sol. perf. à diluer i.v. [ser. préremplie]"	"inf. oploss. (conc.) i.v. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00548"	"sol. perf. à diluer i.v. [ser. préremplie]"	"inf. oploss. (conc.) i.v. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00548"	"sol. perf. à diluer i.v. [ser. préremplie]"	"inf. oploss. (conc.) i.v. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00415"	"sol. perf. à diluer i.v. CytoVial [flac.]"	"inf. oploss. (conc.) i.v. CytoVial [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00415"	"sol. perf. à diluer i.v. CytoVial [flac.]"	"inf. oploss. (conc.) i.v. CytoVial [flac.]"	"46234469"	"Injection"	"2"
"gal00105"	"sol. perf. (pdr + solv.) i.v. [2x amp.]"	"inf. oploss. (pdr. + solv.) i.v. [2x amp.]"	"19082103"	"Injectable Solution"	
"gal00224"	"sol. perf. (pdr + solv.) i.v. [2x flac., formule thermostable]"	"inf. oploss. (pdr. + solv.) i.v. [2x flac., thermostabiele formule]"	"19082103"	"Injectable Solution"	
"gal00195"	"sol. perf. (pdr + solv.) i.v. [2x flac.]"	"inf. oploss. (pdr. + solv.) i.v. [2x flac.]"	"19082103"	"Injectable Solution"	
"gal00535"	"sol. perf. (pdr + solv.) i.v. [flac. + amp.]"	"inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"19082103"	"Injectable Solution"	
"gal00272"	"sol. perf. (pdr + solv.) i.v. [flac. + ser. préremplie]"	"inf. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	
"gal00683"	"sol. perf. (pdr) i.artér. [flac.]"	"inf. oploss. (pdr.) i.arter. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00683"	"sol. perf. (pdr) i.artér. [flac.]"	"inf. oploss. (pdr.) i.arter. [flac.]"	"46234469"	"Injection"	"2"
"gal00110"	"sol. perf. (pdr) i.v. [flac.]"	"inf. oploss. (pdr.) i.v. [flac.]"	"19082103"	"Injectable Solution"	
"gal00618"	"sol. perf. à diluer (pdr + solv.) i.v. [2x flac.]"	"inf. oploss. conc. (pdr. + solv.) i.v. [2x flac.]"	"19082103"	"Injectable Solution"	
"gal00575"	"sol. perf. à diluer (pdr + solv.) i.v. [flac. + amp.]"	"inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.]"	"19082103"	"Injectable Solution"	
"gal00541"	"sol. perf. à diluer (pdr + solv.) i.v. [flac.]"	"inf. oploss. conc. (pdr. + solv.) i.v. [flac.]"	"19082103"	"Injectable Solution"	
"gal00780"	"sol. perf. à diluer (pdr + solv.) i.v./i.artér. [2x flac.]"	"inf. oploss. conc. (pdr. + solv.) i.v./i.arter. [2x flac.]"	"19082103"	"Injectable Solution"	
"gal00055"	"sol. perf. à diluer (pdr) i.v. [flac.]"	"inf. oploss. conc. (pdr.) i.v. [flac.]"	"19082103"	"Injectable Solution"	
"gal00123"	"sol. perf. p.dural [sac]"	"inf. oploss. epidur. [zak]"	"19082104"	"Injectable Suspension"	
"gal00345"	"sol. perf. p.dural/p.neur. [sac, infiltr. locorégionale]"	"inf. oploss. epidur./p.neur. [zak, locoregionale infiltr.]"	"19082104"	"Injectable Suspension"	
"gal00154"	"sol. perf. i.v. [amp.]"	"inf. oploss. i.v. [amp.]"	"19082103"	"Injectable Solution"	
"gal00077"	"sol. perf. i.v. [flac.]"	"inf. oploss. i.v. [flac.]"	"19082103"	"Injectable Solution"	
"gal00069"	"sol. perf. i.v. [sac]"	"inf. oploss. i.v. [zak]"	"19082103"	"Injectable Solution"	
"gal00495"	"sol. perf. s.c. PumpCart [cart.]"	"inf. oploss. s.c. PumpCart [patr.]"	"19082103"	"Injectable Solution"	
"gal00253"	"susp. perf. à diluer i.v. [flac.]"	"inf. susp. (conc.) i.v. [flac.]"	"19095915"	"Injectable Suspension"	
"gal00514"	"susp. perf. (pdr) i.v. [flac.]"	"inf. susp. (pdr.) i.v. [flac.]"	"19095915"	"Injectable Suspension"	
"gal00455"	"sol. perf./instill. à diluer i.v./i.vésic. [flac.]"	"inf./instill. oploss. (conc.) i.v./i.vesic. [flac.]"	"19082103"	"Injectable Solution"	
"gal00814"	"sol. perf./instill. i.v./i.cistern. [flac.]"	"inf./instill. oploss. i.v./i.cistern. [flac.]"	"19082103"	"Injectable Solution"	
"gal00140"	"sol. perf./instill. i.v./i.vésic. [flac.]"	"inf./instill. oploss. i.v./i.vesic. [flac.]"	"19082103"	"Injectable Solution"	
"gal00148"	"sol. perf./instill. i.v./i.vésic. CytoVial [flac.]"	"inf./instill. oploss. i.v./i.vesic. CytoVial [flac.]"	"19082103"	"Injectable Solution"	
"gal00521"	"sol. inhal. nébul. (pdr + solv.) inhal. [flac. + amp.]"	"inhal. verneveloploss. (pdr. + solv.) [flac. + amp.]"	"19082259"	"Inhalant Powder"	
"gal00608"	"vapeur inhal. Inhaler [cart.]"	"inhalatiedamp Inhaler [patr.]"	"19082162"	"Nasal Inhalant"	
"gal00238"	"sol. inhal. (cart.) Respimat"	"inhalatieoploss. (patr.) Respimat"	"19095898"	"Inhalant Solution"	
"gal00820"	"poudre inhal. (gél.) [Aerolizer]"	"inhalatiepdr. (harde caps.) [Aerolizer]"	"19082259"	"Inhalant Powder"	
"gal00651"	"poudre inhal. (gél.) [Breezhaler]"	"inhalatiepdr. (harde caps.) [Breezhaler]"	"19082259"	"Inhalant Powder"	
"gal00208"	"poudre inhal. (gél.) [Handihaler]"	"inhalatiepdr. (harde caps.) [Handihaler]"	"19082259"	"Inhalant Powder"	
"gal00118"	"poudre inhal. (gél.) [inhalateur]"	"inhalatiepdr. (harde caps.) [inhalator]"	"19082259"	"Inhalant Powder"	
"gal00380"	"poudre inhal. (gél.) Breezhaler"	"inhalatiepdr. (harde caps.) Breezhaler"	"19082259"	"Inhalant Powder"	
"gal00585"	"poudre inhal. (gél.) Podhaler"	"inhalatiepdr. (harde caps.) Podhaler"	"19082259"	"Inhalant Powder"	
"gal00597"	"poudre inhal. (gél.) Turbospin"	"inhalatiepdr. (harde caps.) Turbospin"	"19082259"	"Inhalant Powder"	
"gal00620"	"poudre inhal. (cart.)"	"inhalatiepdr. (patr.)"	"19082259"	"Inhalant Powder"	
"gal00623"	"poudre inhal. (cart.) [Novolizer]"	"inhalatiepdr. (patr.) [Novolizer]"	"19082259"	"Inhalant Powder"	
"gal00714"	"poudre inhal. (unidose) [Ellipta]"	"inhalatiepdr. (voorverdeeld) [Ellipta]"	"19082259"	"Inhalant Powder"	
"gal00728"	"poudre inhal. (unidose) [Elpenhaler]"	"inhalatiepdr. (voorverdeeld) [Elpenhaler]"	"19082259"	"Inhalant Powder"	
"gal00138"	"poudre inhal. (unidose) Diskus"	"inhalatiepdr. (voorverdeeld) Diskus"	"19082259"	"Inhalant Powder"	
"gal00645"	"poudre inhal. (unidose) Easyhaler"	"inhalatiepdr. (voorverdeeld) Easyhaler"	"19082259"	"Inhalant Powder"	
"gal00692"	"poudre inhal. (unidose) Ellipta"	"inhalatiepdr. (voorverdeeld) Ellipta"	"19082259"	"Inhalant Powder"	
"gal00661"	"poudre inhal. (unidose) Forte Turbohaler"	"inhalatiepdr. (voorverdeeld) Forte Turbohaler"	"19082259"	"Inhalant Powder"	
"gal00065"	"poudre inhal. (unidose) Genuair"	"inhalatiepdr. (voorverdeeld) Genuair"	"19082259"	"Inhalant Powder"	
"gal00627"	"poudre inhal. (unidose) Turbohaler"	"inhalatiepdr. (voorverdeeld) Turbohaler"	"19082259"	"Inhalant Powder"	
"gal00626"	"poudre inhal. Diskus"	"inhalatiepdr. Diskus"	"19082259"	"Inhalant Powder"	
"gal00130"	"poudre inhal. Nexthaler"	"inhalatiepdr. Nexthaler"	"19082259"	"Inhalant Powder"	
"gal00686"	"émuls. inj. i.v. [amp.]"	"inj. emuls. i.v. [amp.]"	"19082104"	"Injectable Suspension"	"1"
"gal00686"	"émuls. inj. i.v. [amp.]"	"inj. emuls. i.v. [amp.]"	"46234469"	"Injection"	"2"
"gal00017"	"sol. inj. (pdr + solv.) i.cavern. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.cavern. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00017"	"sol. inj. (pdr + solv.) i.cavern. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.cavern. [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00520"	"sol. inj. (pdr + solv.) i.lés. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.laes. [2x flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00520"	"sol. inj. (pdr + solv.) i.lés. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.laes. [2x flac.]"	"46234469"	"Injection"	"2"
"gal00416"	"sol. inj. (pdr + solv.) i.m. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.m. [2x flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00416"	"sol. inj. (pdr + solv.) i.m. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.m. [2x flac.]"	"46234469"	"Injection"	"2"
"gal00104"	"sol. inj. (pdr + solv.) i.m. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m. [flac. + amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00104"	"sol. inj. (pdr + solv.) i.m. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m. [flac. + amp.]"	"46234469"	"Injection"	"2"
"gal00372"	"sol. inj. (pdr + solv.) i.m. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00372"	"sol. inj. (pdr + solv.) i.m. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m. [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00103"	"sol. inj. (pdr + solv.) i.m./i.v. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00103"	"sol. inj. (pdr + solv.) i.m./i.v. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]"	"46234469"	"Injection"	"2"
"gal00666"	"sol. inj. (pdr + solv.) i.m./i.v./s.c. Hypokit [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m./i.v./s.c. Hypokit [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00666"	"sol. inj. (pdr + solv.) i.m./i.v./s.c. Hypokit [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m./i.v./s.c. Hypokit [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00232"	"sol. inj. (pdr + solv.) i.m./s.c. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [2x flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00232"	"sol. inj. (pdr + solv.) i.m./s.c. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [2x flac.]"	"46234469"	"Injection"	"2"
"gal00386"	"sol. inj. (pdr + solv.) i.m./s.c. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [flac. + amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00386"	"sol. inj. (pdr + solv.) i.m./s.c. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [flac. + amp.]"	"46234469"	"Injection"	"2"
"gal00259"	"sol. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00259"	"sol. inj. (pdr + solv.) i.m./s.c. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.m./s.c. [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00773"	"sol. inj. (pdr + solv.) i.v. [2x amp.]"	"inj. oploss. (pdr. + solv.) i.v. [2x amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00773"	"sol. inj. (pdr + solv.) i.v. [2x amp.]"	"inj. oploss. (pdr. + solv.) i.v. [2x amp.]"	"46234469"	"Injection"	"2"
"gal00133"	"sol. inj. (pdr + solv.) i.v. [2x flac., Baxject III]"	"inj. oploss. (pdr. + solv.) i.v. [2x flac., Baxject III]"	"19082103"	"Injectable Solution"	"1"
"gal00133"	"sol. inj. (pdr + solv.) i.v. [2x flac., Baxject III]"	"inj. oploss. (pdr. + solv.) i.v. [2x flac., Baxject III]"	"46234469"	"Injection"	"2"
"gal00151"	"sol. inj. (pdr + solv.) i.v. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.v. [2x flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00151"	"sol. inj. (pdr + solv.) i.v. [2x flac.]"	"inj. oploss. (pdr. + solv.) i.v. [2x flac.]"	"46234469"	"Injection"	"2"
"gal00482"	"sol. inj. (pdr + solv.) i.v. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00482"	"sol. inj. (pdr + solv.) i.v. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) i.v. [flac. + amp.]"	"46234469"	"Injection"	"2"
"gal00043"	"sol. inj. (pdr + solv.) i.v. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00043"	"sol. inj. (pdr + solv.) i.v. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00607"	"sol. inj. (pdr + solv.) i.v. [ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.v. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00607"	"sol. inj. (pdr + solv.) i.v. [ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.v. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00607"	"sol. inj. (pdr + solv.) i.v. [ser. préremplie]"	"inj. oploss. (pdr. + solv.) i.v. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00631"	"sol. inj. (pdr + solv.) s.c. [2x flac.]"	"inj. oploss. (pdr. + solv.) s.c. [2x flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00631"	"sol. inj. (pdr + solv.) s.c. [2x flac.]"	"inj. oploss. (pdr. + solv.) s.c. [2x flac.]"	"46234469"	"Injection"	"2"
"gal00648"	"sol. inj. (pdr + solv.) s.c. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) s.c. [flac. + amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00648"	"sol. inj. (pdr + solv.) s.c. [flac. + amp.]"	"inj. oploss. (pdr. + solv.) s.c. [flac. + amp.]"	"46234469"	"Injection"	"2"
"gal00036"	"sol. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) s.c. [flac. + voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00036"	"sol. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]"	"inj. oploss. (pdr. + solv.) s.c. [flac. + voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00463"	"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]"	"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"19082103"	"Injectable Solution"	"1"
"gal00463"	"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]"	"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"19126920"	"Prefilled Syringe"	"2"
"gal00463"	"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]"	"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"46234469"	"Injection"	"3"
"gal00537"	"sol. inj. (pdr) i.camér. [flac.]"	"inj. oploss. (pdr.) i.camer. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00537"	"sol. inj. (pdr) i.camér. [flac.]"	"inj. oploss. (pdr.) i.camer. [flac.]"	"46234469"	"Injection"	"2"
"gal00002"	"sol. inj. (pdr) i.m. [flac.]"	"inj. oploss. (pdr.) i.m. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00002"	"sol. inj. (pdr) i.m. [flac.]"	"inj. oploss. (pdr.) i.m. [flac.]"	"46234469"	"Injection"	"2"
"gal00621"	"sol. inj. (pdr) i.m./i.derm. [flac.]"	"inj. oploss. (pdr.) i.m./i.derm. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00621"	"sol. inj. (pdr) i.m./i.derm. [flac.]"	"inj. oploss. (pdr.) i.m./i.derm. [flac.]"	"46234469"	"Injection"	"2"
"gal00086"	"sol. inj. (pdr) i.m./i.v. [flac.]"	"inj. oploss. (pdr.) i.m./i.v. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00086"	"sol. inj. (pdr) i.m./i.v. [flac.]"	"inj. oploss. (pdr.) i.m./i.v. [flac.]"	"46234469"	"Injection"	"2"
"gal00443"	"sol. inj. (pdr) i.m./s.c./i.derm. [flac.]"	"inj. oploss. (pdr.) i.m./s.c./i.derm. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00443"	"sol. inj. (pdr) i.m./s.c./i.derm. [flac.]"	"inj. oploss. (pdr.) i.m./s.c./i.derm. [flac.]"	"46234469"	"Injection"	"2"
"gal00221"	"sol. inj. (pdr) i.v. [amp.]"	"inj. oploss. (pdr.) i.v. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00221"	"sol. inj. (pdr) i.v. [amp.]"	"inj. oploss. (pdr.) i.v. [amp.]"	"46234469"	"Injection"	"2"
"gal00095"	"sol. inj. (pdr) i.v. [flac.]"	"inj. oploss. (pdr.) i.v. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00095"	"sol. inj. (pdr) i.v. [flac.]"	"inj. oploss. (pdr.) i.v. [flac.]"	"46234469"	"Injection"	"2"
"gal00628"	"sol. inj. (pdr) i.v./s.c. [flac.]"	"inj. oploss. (pdr.) i.v./s.c. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00628"	"sol. inj. (pdr) i.v./s.c. [flac.]"	"inj. oploss. (pdr.) i.v./s.c. [flac.]"	"46234469"	"Injection"	"2"
"gal00493"	"sol. inj. (pdr) s.c. [flac.]"	"inj. oploss. (pdr.) s.c. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00493"	"sol. inj. (pdr) s.c. [flac.]"	"inj. oploss. (pdr.) s.c. [flac.]"	"46234469"	"Injection"	"2"
"gal00144"	"sol. inj. dent. [cart.]"	"inj. oploss. dent. [patr.]"	"19082103"	"Injectable Solution"	"1"
"gal00144"	"sol. inj. dent. [cart.]"	"inj. oploss. dent. [patr.]"	"46234469"	"Injection"	"2"
"gal00088"	"sol. inj. épilés./p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. epidur./epilaes./p.neur. [flac., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00088"	"sol. inj. épilés./p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. epidur./epilaes./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00379"	"sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"19082104"	"Injectable Suspension"	"1"
"gal00379"	"sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00617"	"sol. inj. i.artic. [ser. préremplie]"	"inj. oploss. i.artic. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00617"	"sol. inj. i.artic. [ser. préremplie]"	"inj. oploss. i.artic. [voorgev. spuit]"	"46234469"	"Injection"	"2"
"gal00695"	"sol. inj. i.camér. [amp.]"	"inj. oploss. i.camer. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00695"	"sol. inj. i.camér. [amp.]"	"inj. oploss. i.camer. [amp.]"	"46234469"	"Injection"	"2"
"gal00303"	"sol. inj. i.derm. [flac.]"	"inj. oploss. i.derm. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00303"	"sol. inj. i.derm. [flac.]"	"inj. oploss. i.derm. [flac.]"	"46234469"	"Injection"	"2"
"gal00708"	"sol. inj. i.lymph. [amp.]"	"inj. oploss. i.lymf. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00708"	"sol. inj. i.lymph. [amp.]"	"inj. oploss. i.lymf. [amp.]"	"46234469"	"Injection"	"2"
"gal00217"	"sol. inj. i.m. [amp.]"	"inj. oploss. i.m. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00217"	"sol. inj. i.m. [amp.]"	"inj. oploss. i.m. [amp.]"	"46234469"	"Injection"	"2"
"gal00293"	"sol. inj. i.m. [flac.]"	"inj. oploss. i.m. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00293"	"sol. inj. i.m. [flac.]"	"inj. oploss. i.m. [flac.]"	"46234469"	"Injection"	"2"
"gal00250"	"sol. inj. i.m. [stylo prérempli]"	"inj. oploss. i.m. [voorgev. pen]"	"19126920"	"Prefilled Syringe"	"1"
"gal00250"	"sol. inj. i.m. [stylo prérempli]"	"inj. oploss. i.m. [voorgev. pen]"	"46234467"	"Pen Injector"	"2"
"gal00250"	"sol. inj. i.m. [stylo prérempli]"	"inj. oploss. i.m. [voorgev. pen]"	"46234469"	"Injection"	"3"
"gal00402"	"sol. inj. i.m. [ser. préremplie]"	"inj. oploss. i.m. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00402"	"sol. inj. i.m. [ser. préremplie]"	"inj. oploss. i.m. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00402"	"sol. inj. i.m. [ser. préremplie]"	"inj. oploss. i.m. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00425"	"sol. inj. i.m. Acutard [amp.]"	"inj. oploss. i.m. Acutard [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00425"	"sol. inj. i.m. Acutard [amp.]"	"inj. oploss. i.m. Acutard [amp.]"	"46234469"	"Injection"	"2"
"gal00550"	"sol. inj. i.m. Junior [stylo prérempli]"	"inj. oploss. i.m. Junior [voorgev. pen]"	"19082103"	"Injectable Solution"	"1"
"gal00550"	"sol. inj. i.m. Junior [stylo prérempli]"	"inj. oploss. i.m. Junior [voorgev. pen]"	"19126920"	"Prefilled Syringe"	"2"
"gal00550"	"sol. inj. i.m. Junior [stylo prérempli]"	"inj. oploss. i.m. Junior [voorgev. pen]"	"46234469"	"Injection"	"3"
"gal00022"	"sol. inj. i.m./i.v. [amp.]"	"inj. oploss. i.m./i.v. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00022"	"sol. inj. i.m./i.v. [amp.]"	"inj. oploss. i.m./i.v. [amp.]"	"46234469"	"Injection"	"2"
"gal00558"	"sol. inj. i.m./i.v. [ser. préremplie]"	"inj. oploss. i.m./i.v. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00558"	"sol. inj. i.m./i.v. [ser. préremplie]"	"inj. oploss. i.m./i.v. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00558"	"sol. inj. i.m./i.v. [ser. préremplie]"	"inj. oploss. i.m./i.v. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00129"	"sol. inj. i.m./i.v./endotrach./i.oss. [ser. préremplie]"	"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00129"	"sol. inj. i.m./i.v./endotrach./i.oss. [ser. préremplie]"	"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00129"	"sol. inj. i.m./i.v./endotrach./i.oss. [ser. préremplie]"	"inj. oploss. i.m./i.v./endotrach./i.oss. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00191"	"sol. inj. i.m./i.v./p.dural/p.neur. [amp., infiltr. locorégionale]"	"inj. oploss. i.m./i.v./epidur./p.neur. [amp., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00191"	"sol. inj. i.m./i.v./p.dural/p.neur. [amp., infiltr. locorégionale]"	"inj. oploss. i.m./i.v./epidur./p.neur. [amp., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00214"	"sol. inj. i.m./i.v./p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. i.m./i.v./epidur./p.neur. [flac., locoregionale infiltr.]"	"19082103"	"Injectable Solution"	"1"
"gal00214"	"sol. inj. i.m./i.v./p.dural/p.neur. [flac., infiltr. locorégionale]"	"inj. oploss. i.m./i.v./epidur./p.neur. [flac., locoregionale infiltr.]"	"46234469"	"Injection"	"2"
"gal00251"	"sol. inj. i.m./i.v./s.c. [amp.]"	"inj. oploss. i.m./i.v./s.c. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00251"	"sol. inj. i.m./i.v./s.c. [amp.]"	"inj. oploss. i.m./i.v./s.c. [amp.]"	"46234469"	"Injection"	"2"
"gal00322"	"sol. inj. i.m./i.v./s.c. [flac.]"	"inj. oploss. i.m./i.v./s.c. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00322"	"sol. inj. i.m./i.v./s.c. [flac.]"	"inj. oploss. i.m./i.v./s.c. [flac.]"	"46234469"	"Injection"	"2"
"gal00367"	"sol. inj. i.m./i.v./s.c. [ser. préremplie]"	"inj. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00367"	"sol. inj. i.m./i.v./s.c. [ser. préremplie]"	"inj. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
"gal00367"	"sol. inj. i.m./i.v./s.c. [ser. préremplie]"	"inj. oploss. i.m./i.v./s.c. [voorgev. spuit]"	"46234469"	"Injection"	"3"
"gal00406"	"sol. inj. i.m./s.c. [amp.]"	"inj. oploss. i.m./s.c. [amp.]"	"19082103"	"Injectable Solution"	"1"
"gal00406"	"sol. inj. i.m./s.c. [amp.]"	"inj. oploss. i.m./s.c. [amp.]"	"46234469"	"Injection"	"2"
"gal00374"	"sol. inj. i.m./s.c. [flac.]"	"inj. oploss. i.m./s.c. [flac.]"	"19082103"	"Injectable Solution"	"1"
"gal00374"	"sol. inj. i.m./s.c. [flac.]"	"inj. oploss. i.m./s.c. [flac.]"	"46234469"	"Injection"	"2"
"gal00489"	"sol. inj. i.m./s.c. [ser. préremplie]"	"inj. oploss. i.m./s.c. [voorgev. spuit]"	"19082103"	"Injectable Solution"	"1"
"gal00489"	"sol. inj. i.m./s.c. [ser. préremplie]"	"inj. oploss. i.m./s.c. [voorgev. spuit]"	"19126920"	"Prefilled Syringe"	"2"
