product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
ORGASULINE 30/70	CART	100IU	NULL	1.5ML	5	A10C3	1015803	INSULIN HUMAN BASE+INSULIN HUMAN ISOPHANE	GRA	Parenteral Delayed	CARTOUCHES PARENT RET	CART 100IU/ML 5 1.5ML	100	IU
DEPAKOTE	CP GASTRORES	500MG	NULL	NULL	90	N06A3	2365005	VALPROATE SEMISODIUM	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 500MG 90	500	MG
DIOSMINE EGN	PDR SUSP BUV	600MG	NULL	2.4G	30	C05C0	2562905	DIOSMIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SUSP BUV 600MG 30 2.4G	600	MG
PIROXICAM ZYDUS	GELULE	20MG	NULL	NULL	15	M01A1	2696701	PIROXICAM	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 20MG 15	20	MG
ASPIRINE RATIOPH.	CPR SEC	500MG	NULL	NULL	20	N02B0	2592601	ACETYLSALICYLIC ACID	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 500MG 20	500	MG
RACECADOTRIL DCI	SACH PDR	10MG	NOUR	1G	16	A07X0	2826202	RACECADOTRIL	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 10MG NOUR 16 1G	10	MG
BUDESONIDE DCI	TURBUHAL200D	0.2MG	NULL	NULL	1	R03D1	2827304	BUDESONIDE	REP	Pulmonary	POUDRE DOSE      PULMON.	TURBUHAL200D .2MG /DOS	0.2	MG
PERINDOPRIL DCI	CPR SEC	2MG	NULL	NULL	30	C09A0	2833901	PERINDOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 2MG 30	2	MG
ACICLOVIR EG	CREME	5%	NULL	10G	1	D06D1	2870701	ACICLOVIR	MTA	External Form	CREME         A USA.EXT.	CREME 5% 10G	5	%
CAMILIA	UNIDOSE BUV	NULL	NULL	1ML	10	A01A3	3042701	MATRICARIA CHAMOMILLA+PHYTOLACCA+RHEUM OFFICINALE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	UNIDOSE BUV 10 1ML	NULL	NULL
DINITRATE ISOS DCI	CPR.	20MG	NULL	NULL	60	C01E0	4700709	ISOSORBIDE DINITRATE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 20MG 60	20	MG
METFORMINE RPG	CPR PELLIC	500MG	NULL	NULL	30	A10J1	1928305	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 30	500	MG
PHLOROG.TRIMET DCI	DRG	NULL	NULL	NULL	30	A03A0	2972201	TRIMETHOXYBENZENE+PHLOROGLUCINOL	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 30	NULL	NULL
IXENSE	CPR SUBLING	3MG	NULL	NULL	4	G04E9	2539106	APOMORPHINE	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING 3MG 4	3	MG
PREDNISOLONE DCI	CPR EFFVT	20MG	NULL	NULL	20	H02A2	6951210	PREDNISOLONE	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 20MG 20	20	MG
SOPHTAL	COLLY UNIDOS	0.1%	NULL	0.5ML	10	S01G6	8065308	SALICYLIC ACID	NGN	Ophthalmological	SOLUT.UNIDOSE  OPHTALMO.	COLLY UNIDOS .1% 10 .5ML	0.1	%
TRIATEC	CPR SEC	10MG	NULL	NULL	30	C09A0	8920703	RAMIPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 10MG 30	10	MG
IOMERON	SOL INJ	300MG	NULL	50ML	1	T01A0	1385307	IOMEPROL	FPA	Parenteral Immediate	FLACONS INJECT..ORDIN.	SOL INJ 300MG/ML 50ML	300	MG
FLUIMUCIL	SOL BUV SS	2%	NULL	200ML	1	R05C0	3525307	ACETYLCYSTEINE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV SS 2% ADLT 200ML	2	%
QUININE+VIT B1 DCI	DRG	NULL	NULL	NULL	18	M05X0	2887201	THIAMINE+QUININE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 18	NULL	NULL
ALLDRESS	PANS ADH ST	NULL	NULL	NULL	1	V99C0	1824707	STERILE DRESSING	MZA	External Form	PANSEMENT SS SUBS US EXT	PANS ADH ST	NULL	NULL
CIMETIDINE TEVA	CPR	400MG	NULL	NULL	30	A02B1	3035501	CIMETIDINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 400MG 30	400	MG
AC SALIC+BETAMETHA.	POM DERM	NULL	NULL	15G	1	D07B1	3014602	SALICYLIC ACID+BETAMETHASONE	MSA	External Form	ONGUENT       A USA.EXT.	POM DERM 15G	NULL	NULL
AZITHROMYCINE DCI	COLLY MONOD.	250MG	NULL	NULL	6	J01F0	1138503	AZITHROMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	COLLY MONOD. 250MG 6	250	MG
NIQUITIN CLEAR	PATCH 21/24H	NULL	NULL	NULL	14	N07B0	2669606	NICOTINE	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	PATCH 21/24H 14	NULL	NULL
AMOXI AC CLAV DCI	S.PDR 1G/125	NULL	ADLT	1.57G	8	J01C1	2695203	CLAVULANIC ACID+AMOXICILLIN	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	S.PDR 1G/125MG ADLT 8 1.57G	NULL	NULL
ALLOPURINOL ARROW	CPR	300MG	NULL	NULL	28	M04A0	2715405	ALLOPURINOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 300MG 28	300	MG
TELEBRIX HYSTERO	FL.	250MG	NULL	20ML	1	T01B0	8545920	IOXITALAMIC ACID	FPA	Parenteral Immediate	FLACONS INJECT..ORDIN.	FL.250MG/1ML 20ML	250	MG
CIALIS	CPR PELLIC	20MG	NULL	NULL	8	G04E1	2910405	TADALAFIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 20MG 8	20	MG
ALMOGRAN	CPR PELLIC	12.5MG	NULL	NULL	6	N02C1	2951901	ALMOTRIPTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 12.5MG 6	12.5	MG
TIELLE LITE PANS	HYDROCEL ADH	NULL	NULL	NULL	16	D03A9	2982302	WOUND PROTECTIVES	MYT	External Form	MOUSSE        A USA.EXT.	HYDROCEL ADH 7CMX9CM 16	NULL	NULL
LAXAMALT	PAILLETTES	NULL	NULL	150G	1	A06A1	4960835	PARAFFIN OIL+HORDEUM VULGARE	AEA	Oral Solid Immediate	POUDRE      OR.SOL.INST.	PAILLETTES 150G	NULL	NULL
MODILAC SOJA 1	PDR 1ER AGE	NULL	NULL	400G	1	V06C0	1247102	INFANT MILKS	DYH	Oral Liquid Immediate	ALIM NN PAE OR.LIQ.INST.	PDR 1ER AGE 400G	NULL	NULL
TRIMETAZIDINE DCI	GELULE	20MG	NULL	NULL	60	C01D0	2205903	TRIMETAZIDINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 20MG 60	20	MG
IBUPROFENE DCI	GELULE	200MG	NULL	NULL	30	N02B0	1437715	IBUPROFEN	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 30	200	MG
NICERGOLINE EGN	GELULE	10MG	NULL	NULL	30	C04A1	2426403	NICERGOLINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 10MG 30	10	MG
TICLOPIDINE MYLAN	CPR PELLIC	250MG	NULL	NULL	30	B01C2	2696601	TICLOPIDINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 250MG 30	250	MG
MEBEVERINE TEVA	GELULE	200MG	NULL	NULL	30	A03A0	2900403	MEBEVERINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 30	200	MG
ENALAPRIL G GAM	CPR SEC	20MG	NULL	NULL	28	C09A0	2618903	ENALAPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 20MG 28	20	MG
COMFEEL PLUS STER	PLAQUE	NULL	NULL	NULL	16	V99C0	1127309	WOUND PROTECTIVES	MZK	External Form	PANS COLLOID. A USA.EXT.	PLAQUE 10CMX10CM 16 R3290	NULL	NULL
NEUROPAX	DRG	NULL	NULL	NULL	40	N05B5	5862450	PHENOBARBITAL+ETHYLMORPHINE+ATROPA BELLADONNA+CRATAEGUS LAEVIGATA+PASSIFLORA INCARNATA+VALERIANA OFFICINALIS	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 40	NULL	NULL
CHLORHEXIDINE DCI	SOL EXT UNID	NULL	NULL	5ML	1	D08A0	1893001	CHLORHEXIDINE	MGN	External Form	SOLUT.UNIDOS. A USA.EXT.	SOL EXT UNID 5ML	NULL	NULL
AC VALPROIQUE DCI	CPR	500MG	NULL	NULL	30	N03A0	2691604	VALPROIC ACID	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 500MG 30	500	MG
LANTUS	OPTISET	100IU	NULL	3ML	5	A10C5	2946203	INSULIN GLARGINE	GRF	Parenteral Delayed	STYLOS PREREMPL PAR RET	OPTISET 100IU/1ML 5 3ML	100	IU
NIFEDIPINE DCI	LP CPR	30MG	NULL	NULL	30	C08A0	1361907	NIFEDIPINE	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 30MG 30	30	MG
AMLODIPINE DCI	GELULE	10MG	NULL	NULL	30	C08A0	2823402	AMLODIPINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 10MG 30	10	MG
ISRADIPINE DCI	LP GELULES	5MG	NULL	NULL	30	C08A0	2833402	ISRADIPINE	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 5MG 30	5	MG
TICLID	CPR PELLIC	250MG	NULL	NULL	20	B01C2	8771040	TICLOPIDINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 250MG 20	250	MG
FLECAINE	LP GELULES	200MG	NULL	NULL	30	C01B0	3491510	FLECAINIDE	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 200MG 30	200	MG
FLUOXETINE MYLAN	GELULE	20MG	NULL	NULL	14	N06A4	2707101	FLUOXETINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 20MG 14	20	MG
PERMANG K LAFRAN	CPR.	500MG	NULL	NULL	20	D08A0	6669025	POTASSIUM PERMANGANATE	MAK	External Form	CPR SOLUBLE   A USA.EXT.	CPR. 500MG 20	500	MG
LUDEAL GE	CPR ENROB	NULL	NULL	NULL	21	G03A1	2830601	ETHINYLESTRADIOL+LEVONORGESTREL	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	CPR ENROB 21	NULL	NULL
URIAGE 1ERE EAU	NETT S/RINC	NULL	NULL	500ML	1	V99A0	2081301	NULL	MGA	External Form	LIQUIDE       A USA.EXT.	NETT S/RINC 500ML	NULL	NULL
FENOFIBRATE EGN	GELULE	67MG	NULL	NULL	60	C10A2	2456103	FENOFIBRATE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 67MG 60	67	MG
CLOPIDOGREL DCI	CPR PELLIC	75MG	NULL	NULL	28	B01C2	2815301	CLOPIDOGREL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 75MG 28	75	MG
CELANCE	CPR SEC	0.05MG	NULL	NULL	30	N04A0	2189703	PERGOLIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC .05MG 30	0.05	MG
BBR PHASE O	CREME	NULL	NULL	NULL	1	V99A0	6689720	NULL	MTA	External Form	CREME         A USA.EXT.	CREME	NULL	NULL
INSUMAN BASAL	OPTISET	100IU	NULL	3ML	5	A10C2	2100905	INSULIN HUMAN ISOPHANE	GRF	Parenteral Delayed	STYLOS PREREMPL PAR RET	OPTISET 100IU/1ML 5 3ML	100	IU
HYDRALIN CLASSIC	SAVON	NULL	NULL	150G	1	V99A0	4400802	BORIC ACID	MYW	External Form	SAVON/PAIN    A USA.EXT.	SAVON 150G	NULL	NULL
CORSODYL	BAIN BOUCHE	0.2%	NULL	180ML	1	A01A2	1209002	CHLORHEXIDINE	KGA	Oral Topic	LIQUIDE ORAL TOPIQUE	BAIN BOUCHE .2% 180ML	0.2	%
PHYSIOTULLE	PANS	NULL	NULL	NULL	10	V99C0	2528301	BANDAGES	MZK	External Form	PANS COLLOID. A USA.EXT.	PANS 10CMX10CM 10 R3910	NULL	NULL
MORPHINE DCI	AMP.  INJ.	1%	NULL	1ML	10	N02A0	5565912	MORPHINE	FMA	Parenteral Immediate	AMP         PARENT.INST.	AMP.  INJ. 1% 10 1ML	1	%
AMBROXOL G GAM	CPR	30MG	NULL	NULL	30	R05C0	2585801	AMBROXOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 30MG 30	30	MG
SEPTISOL	COLLYRE	0.1%	NULL	10ML	1	S01G5	7839950	PHENYLEPHRINE+HESPERIDIN+HAMAMELIS VIRGINIANA+ANTHEMIS NOBILIS	NGB	Ophthalmological	COLLYRE        OPHTALMO.	COLLYRE .1% 10ML	0.1	%
ELENTOL	PDR.  EXT.	0.8%	NULL	100G	1	P03A0	3056160	LINDANE	MEC	External Form	PDR DERMATO.  A USA.EXT.	PDR.  EXT. .8% 100G	0.8	%
GOMENOL SOLUBLE	SUP ENF	75MG	NULL	NULL	6	R05F0	3941627	NIAOULI OIL	HLC	Rectal Systemic	SUPPO ENF V.RECTALE SYST.	SUP ENF 75MG 6	75	MG
OLIGOBS PMA	CPR	NULL	NULL	NULL	30	V06D0	1328602	GENERAL NUTRIENTS	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 30	NULL	NULL
PANSEMENT COMPRESS	BOITE	NULL	NULL	NULL	1	V99C0	9759850	DRESSING STRIPS	ZZZ	Unknown	PARA.COMBI.   INCONNU	BOITE	NULL	NULL
AMOXICILLINE HEXAL	CPR DISPERS	1000MG	NULL	NULL	6	J01C1	2425901	AMOXICILLIN	AAK	Oral Solid Immediate	CPR SOLUBLE OR.SOL.INST.	CPR DISPERS 1000MG 6	1000	MG
IMIGRANE	SOL PULV NAS	20MG	NULL	0.1ML	2	N02C1	1065614	SUMATRIPTAN	IGN	Rhinology Systemic	SOL.UNID. RHINOL SYSTEM.	SOL PULV NAS 20MG 2 .1ML	20	MG
EXCIPIAL LIPOLOT	EMULS PTS	NULL	NULL	200ML	1	V99A0	1704701	NULL	MGL	External Form	EMULSION      A USA.EXT.	EMULS PTS 200ML	NULL	NULL
TRIMETAZIDINE BIOG	SOL BUV	20MG	NULL	60ML	1	C01D0	2316703	TRIMETAZIDINE	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	SOL BUV 20MG/1ML 60ML	20	MG
TAREG	CPR PELLIC	40MG	NULL	NULL	28	C09C0	1574208	VALSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 40MG 28	40	MG
NUTRAMIX +	TS PARFUMS	NULL	NULL	300G	1	V06B0	1889708	SPECIAL DIET PREPARATIONS	AYG	Oral Solid Immediate	ALIMENT PRE.OR.SOL.INST.	TS PARFUMS 300G	NULL	NULL
ATENOLOL IREX	CPR SEC	50MG	NULL	NULL	28	C07A0	2556001	ATENOLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 50MG 28	50	MG
PRAVASTATINE DCI	CPR	20MG	NULL	NULL	28	C10A1	2709901	PRAVASTATIN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 20MG 28	20	MG
SAUBA SERUM PHYSIO	FL UNIDOSE	0.9%	NULL	5ML	36	R01A9	7706803	SODIUM	QGN	Rhinology Local	SOLUT.UNIDOS. RHINOL.LOC	FL UNIDOSE .9% 36 5ML	0.9	%
TOLEXINE	GELULE	100MG	NULL	NULL	5	J01A0	8804540	DOXYCYCLINE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 100MG 5	100	MG
ENALAPRIL DCI	CPR SEC	5MG	NULL	NULL	28	C09A0	2119201	ENALAPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 28	5	MG
MENOREST TTS	DISP.025/24H	2MG	NULL	NULL	8	G03C0	1230210	ESTRADIOL	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP.025/24H 2MG 8	2	MG
MEPITEL	PANS ST	NULL	NULL	NULL	1	D03A9	1615906	BANDAGES	MWY	External Form	AUTRE PANS+SU A USA.EXT.	PANS ST	NULL	NULL
GUIGOZ LAIT	LAIT	NULL	NULL	500G	1	V06C0	4896412	INFANT MILKS	DYH	Oral Liquid Immediate	ALIM NN PAE OR.LIQ.INST.	LAIT 500G	NULL	NULL
PARACETAM.COD.GNR	CPR SEC	NULL	NULL	NULL	16	N02B0	2179601	PARACETAMOL+CODEINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 16	NULL	NULL
NUTRIGIL HP	TS PARFUMS	NULL	NULL	200ML	1	V06B0	6085101	PROTEINS	DYG	Oral Liquid Immediate	ALIMENT PAE.OR.LIQ.INST.	TS PARFUMS 200ML	NULL	NULL
AMBROXOL G GAM	SOL BUV	0.6%	NULL	150ML	1	R05C0	2585802	AMBROXOL	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV .6% 150ML	0.6	%
CEFPODOXIME DCI	CPR PELLIC	100MG	NULL	NULL	10	J01D1	2827101	CEFPODOXIME PROXETIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG 10	100	MG
GUAIFEN+OXOMEMAZIN	SP	NULL	NULL	150ML	1	R05D2	2886801	GUAIFENESIN+OXOMEMAZINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 150ML	NULL	NULL
DIVARIUS	CPR PEL SEC	20MG	NULL	NULL	28	N06A4	2953203	PAROXETINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 20MG 28	20	MG
EXOMUC	GRAN SACH	200MG	NULL	NULL	20	R05C0	3347506	ACETYLCYSTEINE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	GRAN SACH 200MG 20	200	MG
CICA CARE	PLAQ ST SILI	NULL	NULL	NULL	1	D02A0	1164702	WOUND PROTECTIVES	MZY	External Form	A.PROD PARAPH  A USA.EXT.	PLAQ ST SILI 150MMX120MM R0706	NULL	NULL
PARACETAMOL DCI	SACH PDR	200MG	ENF	NULL	12	N02B0	6430420	PARACETAMOL	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SACH PDR 200MG ENF 12	200	MG
TORENTAL	DRG	100MG	NULL	NULL	40	C04A1	8837440	PENTOXIFYLLINE	ABA	Oral Solid Immediate	DRAGEE      OR.SOL.INST.	DRG 100MG 40	100	MG
TERBUTALINE DCI	TURBUHAL200D	0.5MG	NULL	NULL	1	R03A4	1076905	TERBUTALINE	REP	Pulmonary	POUDRE DOSE      PULMON.	TURBUHAL200D .5MG /DOS	0.5	MG
CARBOLEVURE UCB	GELULE	NULL	ADLT	NULL	30	A07B0	3292202	CHARCOAL+SACCHAROMYCES CEREVISIAE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE ADLT 30	NULL	NULL
OLIGOSTIM MG	CPR SUBLING	NULL	NULL	NULL	40	A12C1	6143202	MAGNESIUM	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING 40	NULL	NULL
YSOL 206	SHPG	NULL	NULL	250ML	1	P03A0	9673703	EDETIC ACID+LAURYL ETHER SULFATES+SODIUM+CITRONELLA OIL	MGW	External Form	SAV LIQ/BAIN  A USA.EXT.	SHPG 250ML	NULL	NULL
THIOCOLCHIC. QUALI	CPR	4MG	NULL	NULL	24	M03B0	2713503	THIOCOLCHICOSIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 4MG 24	4	MG
LACTULOSE RATIOPH.	SOL BUV SACH	0.66MG	NULL	15ML	20	A06A6	2757501	LACTULOSE	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	SOL BUV SACH .66MG/1ML 20 15ML	0.66	MG
ROXITHROMYCINE RPG	CPR PELLIC	150MG	ADLT	NULL	16	J01F0	3044502	ROXITHROMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 150MG ADLT 16	150	MG
PSEUDOEPHEDRIN.DCI	CPR.	60MG	NULL	NULL	15	R01B0	1349202	PSEUDOEPHEDRINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. 60MG 15	60	MG
TRANXENE	CPR SEC	50MG	ADLT	NULL	14	N05C0	8890602	CLORAZEPIC ACID	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR SEC 50MG ADLT 14	50	MG
TRINITRINE DCI	DISP 5MG/24H	NULL	NULL	NULL	30	C01E0	8971102	NITROGLYCERIN	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP 5MG/24H 30	NULL	NULL
LACTULOSE RPG	SOL BUV	66.5%	NULL	200ML	1	A06A6	1574104	LACTULOSE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV 66.5% 200ML	66.5	%
LOPERAMIDE DCI	CPR PELLIC	2MG	NULL	NULL	10	A07H0	1361108	LOPERAMIDE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 2MG 10	2	MG
PARACETAM.COD.DCI	CP300MG/10MG	NULL	NULL	NULL	20	N02B0	2799509	PARACETAMOL+CODEINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 300MG/10MG 20	NULL	NULL
VENACTIF 1	BAS	NULL	NULL	NULL	1	V99B0	2774101	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BAS	NULL	NULL
REMINYL	CPR PELLIC	4MG	NULL	NULL	14	N07D1	2561701	GALANTAMINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 4MG 14	4	MG
CETAPHIL	LOT NETTOY	NULL	NULL	200ML	1	V99A0	1809102	CREAMS (BASIS)	MGS	External Form	LOTION        A USA.EXT.	LOT NETTOY 200ML	NULL	NULL
PARACETAMOL MYLAN	CPR EFFVT	500MG	NULL	NULL	16	N02B0	1925103	PARACETAMOL	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 500MG 16	500	MG
SOTALOL ARROW	CPR SEC	80MG	NULL	NULL	30	C07A0	2908601	SOTALOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 80MG 30	80	MG
OFLOXACINE DCI	CPR PELLIC	200MG	NULL	NULL	2	J01G1	1017203	OFLOXACIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 2	200	MG
TENOXICAM DCI	CPR PEL SEC	20MG	NULL	NULL	15	M01A1	1210402	TENOXICAM	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR SEC 20MG 15	20	MG
KETOPROFENE DCI	CPR	25MG	NULL	NULL	20	N02B0	1360919	KETOPROFEN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 25MG 20	25	MG
LOPERAMIDE DCI	GELULE	1MG	NULL	NULL	20	A07H0	1361104	LOPERAMIDE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 1MG 20	1	MG
BETAMETHASONE DCI	CPR.	0.5MG	NULL	NULL	30	H02A2	1144609	BETAMETHASONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR. .5MG 30	0.5	MG
CARBOCISTEINE DCI	SP	2%	ENF	150ML	1	R05C0	1680608	CARBOCISTEINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 2% ENF 150ML	2	%
AMOXICILLINE SB	PDR SUSP BUV	125MG	NULL	60ML	1	J01C1	2149201	AMOXICILLIN	DGJ	Oral Liquid Immediate	SIROP SEC   OR.LIQ.INST.	PDR SUSP BUV 125MG/5ML 60ML	125	MG
CLOMIPRAMINE DCI	CPR	75MG	NULL	NULL	20	N06A9	1955306	CLOMIPRAMINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 75MG 20	75	MG
AMBROXOL MERCK	SOL BUV	0.6%	ADLT	150ML	1	R05C0	1846604	AMBROXOL	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV .6% ADLT 150ML	0.6	%
BETAHISTINE DCI	CPR	24MG	NULL	NULL	60	N07C0	2148403	BETAHISTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 24MG 60	24	MG
KETOTIFENE DCI	LP CPR	2MG	NULL	NULL	30	R03C2	2689602	KETOTIFEN	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR 2MG 30	2	MG
ACARBOSE DCI	CPR	100MG	NULL	NULL	90	A10L0	2823302	ACARBOSE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 100MG 90	100	MG
REMINYL	CPR PELLIC	4MG	NULL	NULL	56	N07D1	2561708	GALANTAMINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 4MG 56	4	MG
ALPHA AMYLASE DCI	SP	400IU	NULL	125ML	1	V03H0	2674103	ALPHA AMYLASE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP 400IU/1ML 125ML	400	IU
THIOCOLCHIC. RATIO	CPR	4MG	NULL	NULL	24	M03B0	2879403	THIOCOLCHICOSIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 4MG 24	4	MG
SULPIRIDE G GAM	CPR SEC	200MG	NULL	NULL	12	N05A9	2888703	SULPIRIDE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 200MG 12	200	MG
CIALIS	CPR PELLIC	10MG	NULL	NULL	4	G04E1	2910401	TADALAFIL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 10MG 4	10	MG
TIANEPTINE DCI	CPR	12.5MG	NULL	NULL	30	N06A9	2835901	TIANEPTINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 12.5MG 30	12.5	MG
MENINVACT VAC	FL PDR+ SOLV	NULL	NULL	0.5ML	1	J07D2	2819701	"VACCINE,MENINGOCOCCAL CONJUGATE"	FPB	Parenteral Immediate	FLACONS INJECT.ORD.LYOPH	FL PDR+ SOLV .5ML	NULL	NULL
PHOTOSCREEN 50+	LAIT	NULL	NULL	100ML	1	V99A0	1791502	NULL	MGL	External Form	EMULSION      A USA.EXT.	LAIT 100ML	NULL	NULL
HYDROXYZINE DCI	SP	0.2%	NULL	200ML	1	N05C0	1090605	HYDROXYZINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SP .2% 200ML	0.2	%
