DOSE_FORM_NAME	CONCEPT_ID_2	PRECEDENCE	CONCEPT_NAME
Nasal Metered Dose Powder	19082165	1	Nasal Solution
Nasal Metered Dose Powder	19095977	2	Nasal Suspension
Nasal Metered Dose Solution	19011167	1	Nasal Spray
Nasal Metered Dose Solution	19095898	2	Inhalant Solution
Nasal Metered Dose Solution	19126918	3	Metered Dose Inhaler
Nasal Metered Dose Solution	19082165	4	Nasal Solution
Nasal Metered Dose Solution	19095977	5	Nasal Suspension
Nasal Oil	40228565	1	Oil
Nasal Oil	19095977	2	Nasal Suspension
Nasal Ointment	19082164	1	Nasal Ointment
Nasal Ointment	19082161	2	Nasal Cream
Nasal Powder	19127579	1	Dry Powder Inhaler
Nasal Solution	19082165	1	Nasal Solution
Nasal Solution	19095977	2	Nasal Suspension
Nasal Solution in Drops	19095898	1	Inhalant Solution
Nasal Solution in Drops	19082165	2	Nasal Solution
Nasal Solution in Drops	19095977	3	Nasal Suspension
Nasal Solution in Drops	19126918	4	Metered Dose Inhaler
Nasal Spray	19095977	1	Nasal Suspension
Nasal Spray	19082165	2	Nasal Solution
Nasal Swab	19082259	1	Inhalant Powder
Nasal Swab	19095898	2	Inhalant Solution
Nasal Unidose Aerosol	19095898	1	Inhalant Solution
Nasal Unidose Aerosol	19126918	2	Metered Dose Inhaler
Nasal Unidose Solution	19082165	1	Nasal Solution
Nasal Unidose Solution	19095898	2	Inhalant Solution
Nasal Unidose Solution	19095977	3	Nasal Suspension
Nasal Unidose Solution	19126918	4	Metered Dose Inhaler
Ointment for Oral Administration	19082227	1	Topical Ointment
Ointment for Oral Administration	19082224	2	Topical Cream
Ophtalmic Solution or Gel	19129634	1	Ophthalmic Solution
Ophtalmic Solution or Gel	19082166	2	Ophthalmic Gel
Ophtalmic Unidose Solution or Gel	19129634	1	Ophthalmic Solution
Ophtalmic Unidose Solution or Gel	19082166	2	Ophthalmic Gel
Ophthalmic Aerosol	19059413	1	Ophthalmic Irrigation Solution
Ophthalmic Aerosol	19129634	2	Ophthalmic Solution
Ophthalmic Aerosol	19082167	3	Ophthalmic Suspension
Ophthalmic Applicator	19129139	1	Prefilled Applicator
Ophthalmic Gel In Drops	19129634	1	Ophthalmic Solution
Ophthalmic Gel In Drops	19082166	2	Ophthalmic Gel
Ophthalmic Ointment	19135925	1	Ophthalmic Ointment
Ophthalmic Ointment	19082576	2	Ophthalmic Cream
Ophthalmic Ointment or Cream	19135925	1	Ophthalmic Ointment
Ophthalmic Ointment or Cream	19082576	2	Ophthalmic Cream
Ophthalmic Solution	19129634	1	Ophthalmic Solution
Ophthalmic Solution	19082167	2	Ophthalmic Suspension
Ophthalmic Solution	19082228	3	Topical Solution
Ophthalmic Suspension	19129634	1	Ophthalmic Solution
Ophthalmic Suspension	19082167	2	Ophthalmic Suspension
Ophthalmic Suspension	19082228	3	Topical Solution
Ophthalmic Suspension in Drops	19082167	1	Ophthalmic Suspension
Ophthalmic Suspension in Drops	19129634	2	Ophthalmic Solution
Ophthalmic Swab	19129139	1	Prefilled Applicator
Ophthalmic Unidose Solution	19129634	1	Ophthalmic Solution
Ophthalmic Unidose Solution	19082167	2	Ophthalmic Suspension
Ophthalmic Unidose Solution	19059413	3	Ophthalmic Irrigation Solution
Oral Applicator	19082170	1	Oral Solution
Oral Applicator	19082191	2	Oral Suspension
Oral Applicator	19082223	3	Syrup
Oral Capsule	19082168	1	Oral Capsule
Oral Dragee	19082573	1	Oral Tablet
Oral Effervescent Powder, Liquid Form	19095976	1	Oral Powder
Oral Effervescent Powder, Liquid Form	44817840	2	Effervescent Oral Tablet
Oral Emulsion	19082191	1	Oral Suspension
Oral Emulsion	19082170	2	Oral Solution
Oral Enteric Coated Capsule	19082168	1	Oral Capsule
Oral Enteric Coated Tablet	19082573	1	Oral Tablet
Oral Enteric Coated Tablet	19001949	2	Delayed Release Oral Tablet
Oral Gel Or Solution	19082228	1	Topical Solution
Oral Gel Or Solution	19095973	2	Topical Gel
Oral Granules	19082651	1	Oral Granules
Oral Granules	19095976	2	Oral Powder
Oral Lozenge	19082573	1	Oral Tablet
Oral Metered Dose Aerosol	19095911	1	Oral Spray
Oral Metered Dose Aerosol	19095900	2	Mucosal Spray
Oral Metered Dose Powder, Liquid Form	19082170	1	Oral Solution
Oral Metered Dose Powder, Liquid Form	19082191	2	Oral Suspension
Oral Metered Dose Powder, Solid Form	19095976	1	Oral Powder
Oral Metered Dose Powder, Solid Form	19082170	2	Oral Solution
Oral Metered Dose Solution	19082170	1	Oral Solution
Oral Metered Dose Solution	19082191	2	Oral Suspension
Oral Metered Dose Solution	19082223	3	Syrup
Oral Metered Dose Topical Aerosol	19095911	1	Oral Spray
Oral Metered Dose Topical Aerosol	19095900	2	Mucosal Spray
Oral Metered Dose Topical Aerosol	19082170	3	Oral Solution
Oral Metered Dose Topical Powder	19095976	1	Oral Powder
Oral Metered Dose Topical Powder	19082170	2	Oral Solution
Oral Metered Dose Topical Powder	19082191	3	Oral Suspension
