FDA preferred term	UNII	Drugbank Name	Drugbank Id	Rxcui	RxTerm
ANILINE	SIR7XX2F1K	ANILINE	DB06728		
ANIRACETAM	5L16LKN964	ANIRACETAM	DB04599		
ANISINDIONE	S747T1ERAJ	ANISINDIONE	DB01125		
ANISOMYCIN	6C74YM2NGI	ANISOMYCIN	DB07374		
ANISOTROPINE METHYLBROMIDE	62M960DHIL	ANISOTROPINE METHYLBROMIDE	DB00517		
ANTAZOLINE	DHA8014SS1	ANTAZOLINE	DB08799		
ANTHRACENE	EH46A1TLD7	ANTHRACENE	DB07372		
ANTHRANILIC ACID	0YS975XI6W	2-AMINOBENZOIC ACID	DB04166		
ANTIPYRINE	T3CHA1B51H	ANTIPYRINE	DB01435		
ANTRAFENINE	21FS93Y6OE	ANTRAFENINE	DB01419		
APIGENIN	7V515PI7F6	5,7-DIHYDROXY-2-(4-HYDROXYPHENYL)-4H-CHROMEN-4-ONE	DB07352		
APIXABAN	3Z9Y7UWC1J	APIXABAN	DB06605		
APOMORPHINE	N21FAR7B4S	APOMORPHINE	DB00714		
APRACLONIDINE	843CEN85DI	APRACLONIDINE	DB00964		
APRAMYCIN	388K3TR36Z	APRAMYCIN	DB04626		
APREPITANT	1NF15YR6UY	APREPITANT	DB00673		
APRINDINE	5Y48085P9Q	APRINDINE	DB01429		
APROBARBITAL	Q0YKG9L6RF	APROBARBITAL	DB01352		
ARACHIDONIC ACID	27YG812J1I	ARACHIDONIC ACID	DB04557		
AR-AO-14418	87KSH90Q6D	N-(4-METHOXYBENZYL)-N'-(5-NITRO-1,3-THIAZOL-2-YL)UREA	DB01950		
ARBACLOFEN	NYU6UTW25B	ARBACLOFEN	DB08891		
ARBACLOFEN PLACARBIL	W89H91R7VX	ARBACLOFEN PLACARBIL	DB08892		
ARBEKACIN	G7V6SLI20L	ARBEKACIN	DB06696		
ARBEKACIN SULFATE	G7395HZ992	ARBEKACIN	DB06696		
ARBUTAMINE	B07L15YAEV	ARBUTAMINE	DB01102		
ARECOLINE	4ALN5933BH	ARECOLINE	DB04365		
ARFORMOTEROL	F91H02EBWT	ARFORMOTEROL	DB01274		
ARGININE	94ZLA3W45F	L-ARGININE	DB00125		
ARIMOCLOMOL	EUT3557RT5	ARIMOCLOMOL	DB05025		
ARIPIPRAZOLE	82VFR53I78	ARIPIPRAZOLE	DB01238		
AROTINOID ACID	673M8C29UR	TTNPB	DB02877		
ARSANILIC ACID	UDX9AKS7GM	4-AMINOPHENYLARSONIC ACID	DB03006		
ARSENIC TRIOXIDE	S7V92P67HO	ARSENIC TRIOXIDE	DB01169		
ARSENOUS ACID	935XD1L5K2	ARSENIC TRIOXIDE	DB01169		
ARSENOUS ACID	935XD1L5K2	TRIHYDROXYARSENITE(III)	DB04456		
ARTEMETHER	C7D6T3H22J	ARTEMETHER	DB06697		
ARUNDIC ACID	F2628ZD0FO	ONO-2506	DB05343		
ASCORBIC ACID	PQ6CK8PD0R	VITAMIN C	DB00126		
ASIMADOLINE	D0VK52NV5M	ASIMADOLINE	DB05104		
ASPARAGINE ANHYDROUS	7NG0A2TUHQ	L-ASPARAGINE	DB00174		
ASPARAGINE, D-	T6QV1010K6	D-ASPARAGINE	DB03943		
ASPARTAME	Z0H242BBR1	ASPARTAME	DB00168		
ASPARTIC ACID	30KYC7MIAI	L-ASPARTIC ACID	DB00128		
ASPARTIC ACID, D-	4SR0Q8YD1X	D-ASPARTIC ACID	DB02655		
ASPIRIN	R16CO5Y76E	ACETYLSALICYLIC ACID	DB00945		
ASTEMIZOLE	7HU6337315	ASTEMIZOLE	DB00637		
AT-7519	X1BF92PW9T	4-{[(2,6-DICHLOROPHENYL)CARBONYL]AMINO}-N-PIPERIDIN-4-YL-1H-PYRAZOLE-3-CARBOXAMIDE	DB08142		
ATALUREN	K16AME9I3V	PTC124	DB05016		
ATAZANAVIR	QZU4H47A3S	ATAZANAVIR	DB01072		
ATOMOXETINE	ASW034S0B8	ATOMOXETINE	DB00289		
ATORVASTATIN	A0JWA85V8F	ATORVASTATIN	DB01076		
ATOVAQUONE	Y883P1Z2LT	ATOVAQUONE	DB01117		
ATRAZINE	QJA9M5H4IM	2-CHLORO-4-ISOPROPYLAMINO-6-ETHYLAMINO -1,3,5-TRIAZINE	DB07392		
ATROLACTIC ACID, (+)-	22Y6G519RU	S-ATROLACTIC ACID	DB07381		
ATTAPULGITE	U6V729APAM	ATTAPULGITE	DB01574		
AURANOFIN	3H04W2810V	AURANOFIN	DB00995		
AURODOX	PGP5RZH64G	AURODOX	DB04124		
AVANAFIL	DR5S136IVO	AVANAFIL	DB06237		
AVN-944	I3NPL1V48Q	AVN-944	DB05500		
AXITINIB	C9LVQ0YUXG	AXITINIB	DB06626		
AZACITIDINE	M801H13NRU	AZACITIDINE	DB00928		
AZATADINE	94Z39NID6C	AZATADINE	DB00719		
AZATADINE MALEATE	F3Q391WTX7	AZATADINE	DB00719		
AZATHIOPRINE	MRK240IY2L	AZATHIOPRINE	DB00993		
AZD-8330	G4990BOZ66	AZD-8330	DB06061		
AZELAIC ACID	F2VW3D43YT	AZELAIC ACID	DB00548		
AZIDOCILLIN	R8XDP7L3SL	AZIDOCILLIN	DB08795		
AZILSARTAN	F9NUX55P23	AZILSARTAN MEDOXOMIL	DB08822		
AZILSARTAN KAMEDOXOMIL	WEC6I2K1FC	AZILSARTAN MEDOXOMIL	DB08822		
AZILSARTAN MEDOXOMIL	LL0G25K7I2	AZILSARTAN MEDOXOMIL	DB08822		
AZIMILIDE	74QU6P2934	AZIMILIDE	DB04957		
AZLOCILLIN	HUM6H389W0	AZLOCILLIN	DB01061		
AZOXYSTROBIN	NYH7Y08IPM	METHYL (2Z)-2-(2-{[6-(2-CYANOPHENOXY)PYRIMIDIN-4-YL]OXY}PHENYL)-3-METHOXYACRYLATE	DB07401		
AZTREONAM	G2B4VE5GH8	AZTREONAM	DB00355		
BACITRACIN A	DDA3RRX0P7	BACITRACIN	DB00626		
BALSALAZIDE	P80AL8J7ZP	BALSALAZIDE	DB01014		
BANOXANTRONE	W5H7E45YT3	BANOXANTRONE	DB04975		
BARBITAL	5WZ53ENE2P	BARBITAL	DB01483		
BATIMASTAT	BK349F52C9	BATIMASTAT	DB03880		
BCX-140	V02KF5948M	4-(ACETYLAMINO)-3-GUANIDINOBENZOIC ACID	DB03342		
BECLOMETHASONE DIPROPIONATE	5B307S63B2	BECLOMETHASONE	DB00394		
BECLOMETHASONE	KGZ1SLC28Z	BECLOMETHASONE	DB00394		
BECOCALCIDIOL	N75R59YD0F	BECOCALCIDIOL	DB04891		
BEDAQUILINE	78846I289Y	BEDAQUILINE	DB08903		
BELINOSTAT	F4H96P17NZ	PXD101	DB05015		
BENAZEPRIL	UDM7Q7QWP8	BENAZEPRIL	DB00542		
BENOXINATE	AXQ0JYM303	OXYBUPROCAINE	DB00892		
BENTIROMIDE	239IF5W61J	BENTIROMIDE	DB00522		
BENZAMIDINE	KUE3ZY3J1F	BENZAMIDINE	DB03127		
BENZENEBORONIC ACID	L12H7B02G5	PHENYL BORONIC ACID	DB01795		
BENZENESULFINIC ACID	G9560D97PI	BENZENESULFONYL	DB03848		
BENZETHIDINE	X0I74BAR02	BENZETHIDINE	DB01518		
BENZIMIDAZOLE	E24GX49LD8	BENZIMIDAZOLE	DB02962		
BENZOCAINE	U3RSY48JW5	BENZOCAINE	DB01086	1399	IN
BENZOFURAN	LK6946W774	BENZOFURAN	DB04179		
BENZOHYDROXAMIC ACID	K8YW73872D	BENZHYDROXAMIC ACID	DB01924		
BENZOIC ACID	8SKN0B0MIM	BENZOIC ACID	DB03793	18989	PIN
BENZOLAMIDE	FC5AAH89R5	5-[(PHENYLSULFONYL)AMINO]-1,3,4-THIADIAZOLE-2-SULFONAMIDE	DB07050		
BENZOPHENONE	701M4TTV9O	BENZOPHENONE	DB01878	18997	IN
BENZOTHIAZOLE	G5BW2593EP	BENZOTHIAZOLE	DB08624		
BENZOYLECGONINE	5353I8I6YS	BENZOYLECGONINE	DB01515		
BENZPHETAMINE	0M3S43XK27	BENZPHETAMINE	DB00865	1422	IN
BENZTHIAZIDE	1TD8J48L61	BENZTHIAZIDE	DB00562	19008	IN
BENZTROPINE	1NHL2J4X8K	BENZATROPINE	DB00245	1424	IN
BENZYL ALCOHOL	LKG8494WBH	BENZYL ALCOHOL	DB06770	1426	IN
BENZYLAMINE	A1O31ROR09	BENZYLAMINE	DB02464		
BENZYL BENZOATE	N863NB338G	BENZYL BENZOATE	DB00676	19044	IN
BENZYL FORMATE	79GJF97O0Y	FORMIC ACID BENZYL ESTER	DB04569		
BENZYLMORPHINE	83C78V3OL9	BENZYLMORPHINE	DB01573		
BEPOTASTINE	HYD2U48IAS	BEPOTASTINE	DB04890	863035	IN
BERBERINE	0I8Y3P32UF	BERBERINE	DB04115	1437	IN
BESIFLOXACIN	BFE2NBZ7NX	BESIFLOXACIN	DB06771	819911	IN
.BETA.-ALANINE	11P2JDE17B	BETA-ALANINE	DB03107		
BETACETYLMETHADOL	905GLN509G	BETACETYLMETHADOL	DB01522		
.BETA.-D N-ACETYLGALACTOSAMINE	KM15WK8O5T	2-(ACETYLAMINO)-2-DEOXY-A-D-GLUCOPYRANOSE	DB03740		
BETAHISTINE	X32KK4201D	BETAHISTINE	DB06698	1511	IN
.BETA.-HYDROXY-L-ASPARTIC ACID, ERYTHRO-	GDV0MSK2SG	BETA-HYDROXYASPARTIC ACID	DB03640		
BETAMETHADOL	57ANR1Z628	METHADYL ACETATE	DB01433		
BETAMETHASONE	9842X06Q6M	BETAMETHASONE	DB00443	1514	IN
.BETA.-PICOLINE	B083J4KF7F	3-METHYLPYRIDINE	DB01996		
BETAZOLE	1C065P542O	BETAZOLE	DB00272		
BETHANIDINE	W8S3YM7AUU	BETHANIDINE	DB00217	1523	IN
BEVIRIMAT	S125DW66N8	BEVIRIMAT	DB06581		
BEXAROTENE	A61RXM4375	BEXAROTENE	DB00307	233272	IN
BEZAFIBRATE	Y9449Q51XH	BEZAFIBRATE	DB01393	1525	IN
BEZITRAMIDE	3KXW0Y310I	BEZITRAMIDE	DB01459		
BIA-3-335 FREE BASE	X6H65DT067	BIA	DB03336		
BICINE	1J484QFI1O	BICINE	DB03709		
BIFENDATE	0G32E321W1	APLIDINE	DB04977		
BIFEPRUNOX	AP69E83Z79	BIFEPRUNOX	DB04888		
BIFEPRUNOX MESYLATE	8F018D8L02	BIFEPRUNOX	DB04888		
BIMATOPROST	QXS94885MZ	BIMATOPROST	DB00905	283810	IN
BINODENOSON	LJA4M1L5LG	BINODENOSON	DB04853		
BIOPTERIN	E54CTM794Y	BIOPTERIN	DB03886		
BIOTIN	6SO6U10H04	BIOTIN	DB00121	1588	IN
BIRICODAR	3KG76X4KJK	BIRICODAR DICITRATE	DB04851		
BIRICODAR DICITRATE	9WQP0L619L	BIRICODAR DICITRATE	DB04851		
BIS(6-AMINOHEXYL)AMINE	BID902UF5V	BIS(HEXAMETHYLENE)TRIAMINE	DB04684		
BISMUTH SUBSALICYLATE	62TEY51RR1	BISMUTH SUBSALICYLATE	DB01294	19478	IN
BISPHENOL A	MLT3645I99	4,4'-PROPANE-2,2-DIYLDIPHENOL	DB06973	1433347	IN
BITHIONOL	AMT77LS62O	BITHIONOL	DB04813		
BLEBBISTATIN, (-)-	8WII7624I5	(S)-BLEBBISTATIN	DB01944		
BLEOMYCIN A2	13M89UEA7W	BLEOMYCIN	DB00290		
BOLASTERONE	T7ZM08F7FU	BOLASTERONE	DB01471		
BOLDENONE	5H7I2IP58X	BOLDENONE	DB01541		
BORTEZOMIB	69G8BD63PP	N-[(1R)-1-(DIHYDROXYBORYL)-3-METHYLBUTYL]-N-(PYRAZIN-2-YLCARBONYL)-L-PHENYLALANINAMIDE	DB07475	358258	IN
BOSENTAN ANHYDROUS	XUL93R30K2	BOSENTAN	DB00559	1468845	PIN
BOSENTAN	Q326023R30	BOSENTAN	DB00559	75207	IN
BOSUTINIB	5018V4AEZ0	BOSUTINIB	DB06616	1307619	IN
BOSUTINIB MONOHYDRATE	844ZJE6I55	BOSUTINIB	DB06616	1314319	PIN
BRADANICLINE	UM3821998K	TC-5619	DB06090		
BRASOFENSINE	1YP2S94RVH	BRASOFENSINE	DB04857		
BRECANAVIR	E367I8C7FI	BRECANAVIR	DB04887		
BREQUINAR	5XL19F49H6	6-FLUORO-2-(2'-FLUORO-1,1'-BIPHENYL-4-YL)-3-METHYLQUINOLINE-4-CARBOXYLIC ACID	DB03523		
BRETYLIUM	RZR75EQ2KJ	BRETYLIUM	DB01158	19685	IN
BRIMONIDINE	E6GNX3HHTE	BRIMONIDINE	DB00484	134615	IN
BRINZOLAMIDE	9451Z89515	BRINZOLAMIDE	DB01194	194881	IN
BROMAZEPAM	X015L14V0O	BROMAZEPAM	DB01558	1749	IN
BROMFENAC	864P0921DW	BROMFENAC	DB00963	19737	IN
BROMOACETIC ACID	2B3HS32431	2-BROMOACETYL GROUP	DB02198		
BROMOCRIPTINE	3A64E3G5ZO	BROMOCRIPTINE	DB01200	1760	IN
BROMOFORM	TUT9J99IMU	TRIBROMOMETHANE	DB03054		
BROPIRIMINE	J57CTF25XJ	2-AMINO-5-BROMO-6-PHENYLPYRIMIDIN-4-OL	DB04168		
BUFORMIN	W2115E9C7B	BUFORMIN	DB04830		
BUFOTENINE	0A31347TZK	BUFOTENINE	DB01445		
BUMETANIDE	0Y2S3XUQ5H	BUMETANIDE	DB00887	1808	IN
BUNAMIODYL	IX9VVF69JR	BUNAMIODYL	DB04814		
BUPRENORPHINE	40D3SCR4GZ	BUPRENORPHINE	DB00921	1819	IN
BUSERELIN	PXW8U3YXDV	BUSERELIN	DB06719	1825	IN
BUSPIRONE	TK65WKS8HL	BUSPIRONE	DB00490	1827	IN
BUSULFAN	G1LN9045DK	BUSULFAN	DB01008	1828	IN
BUTALBITAL	KHS0AZ4JVK	BUTALBITAL	DB00241	19860	IN
BUTANAMIDE	9J6OR937VR	BUTYRAMIDE	DB02121		
BUTENAFINE	91Y494NL0X	BUTENAFINE	DB01091	47461	IN
BUTETHAL	OHZ8QAW6YC	BUTETHAL	DB01353	19874	IN
BUTORPHANOL	QV897JC36D	BUTORPHANOL	DB00611	1841	IN
BUTYL ALCOHOL	8PJ61P6TS3	BUTAN-1-OL	DB02145	1310579	IN
BUTYLAMINE	N2QV60B4WR	BUTYLAMINE	DB03659		
BUTYLBENZENE	S8XZ2901RZ	N-BUTYLBENZENE	DB01845		
BUTYRIC ACID	40UIR9Q29H	BUTANOIC ACID	DB03568	1362696	PIN
BUTYROLACTONE	OL659KIY4X	4-BUTYROLACTONE	DB04699		
CABAZITAXEL	51F690397J	CABAZITAXEL	DB06772	996051	IN
CABERGOLINE	LL60K9J05T	CABERGOLINE	DB00248	47579	IN
CABOZANTINIB	1C39JW444G	CABOZANTINIB	DB08875	1363268	IN
CABOZANTINIB S-MALATE	DR7ST46X58	CABOZANTINIB	DB08875	1363267	PIN
CABOZANTINIB S-MALATE	DR7ST46X58	XL184	DB05153	1363267	PIN
CACODYLIC ACID	AJ2HL7EU8K	HYDROXYDIMETHYLARSINE OXIDE	DB02994		
CADAVERINE	L90BEN6OLL	PENTANE-1,5-DIAMINE	DB03854		
CAFFEIC ACID	U2S3A33KVM	3,4-DIHYDROXYCINNAMIC ACID	DB01880	1311397	IN
CAFFEINE	3G6A5W338E	CAFFEINE	DB00201	1886	IN
CALANOLIDE A	S5A9TQN46W	CALANOLIDE A	DB04886		
CALCIFEDIOL ANHYDROUS	T0WXW8F54E	CALCIDIOL	DB00146		
CALCIFEDIOL	P6YZ13C99Q	CALCIDIOL	DB00146	1889	IN
CALCIPOTRIENE	143NQ3779B	CALCIPOTRIOL	DB02300	29365	IN
CALCITRIOL	FXC9231JVH	CALCITRIOL	DB00136	1894	IN
CALCIUM ACETATE	Y882YXF34X	CALCIUM ACETATE	DB00258	214342	IN
CALCIUM CARBONATE	H0G9379FGK	CALCIUM CARBONATE	DB06724	1897	IN
CALCIUM CHLORIDE ANHYDROUS	OFM21057LP	CALCIUM CHLORIDE	DB01164	1901	IN
CALCIUM CHLORIDE	M4I0D6VV5M	CALCIUM CHLORIDE	DB01164	1901	IN
CALCIUM	SY7Q814VUP	CALCIUM	DB01373	1895	IN
CALUSTERONE	0678G6Q58A	CALUSTERONE	DB01564		
CAMPHOR, (-)-	213N3S8275	CAMPHOR	DB01744		
CAMPTOTHECIN	XT3Z54Z28A	CAMPTOTHECIN	DB04690		
CAN-508	ZG0O47K626	4-[(E)-(3,5-DIAMINO-1H-PYRAZOL-4-YL)DIAZENYL]PHENOL	DB07731		
CANAGLIFLOZIN	0SAC974Z85	CANAGLIFLOZIN	DB08907	1373458	IN
CANAGLIFLOZIN ANHYDROUS	6S49DGR869	CANAGLIFLOZIN	DB08907	1546031	PIN
CANAVANINE	3HZV514J4B	L-2-AMINO-4-(GUANIDINOOXY)BUTYRIC ACID	DB01833		
CANDESARTAN	S8Q36MD2XX	CANDESARTAN	DB00796	214354	IN
CANDOXATRIL	ACP75508EE	CANDOXATRIL	DB00616		
CANERTINIB	C78W1K5ASF	CI-1033	DB05424		
CANFOSFAMIDE	1RS284BFUI	CANFOSFAMIDE	DB04972		
CAP-1	X5U1W7S3VQ	1-(3-CHLORO-4-METHYLPHENYL)-3-{2-[({5-[(DIMETHYLAMINO)METHYL]-2-FURYL}METHYL)THIO]ETHYL}UREA	DB08027		
CAPECITABINE	6804DJ8Z9U	CAPECITABINE	DB01101	194000	IN
CAPRAVIRINE	VHC779598X	5-(3,5-DICHLOROPHENYL)THIO-4-ISOPROPYL-1-(PYRIDIN-4-YL-METHYL)-1H-IMIDAZOL-2-YL-METHYL CARBAMATE	DB08502		
CAPRIC ACID	4G9EDB6V73	DECANOIC ACID	DB03600	22380	IN
CAPSAICIN	S07O44R1ZM	NGX-4010	DB05318	1992	IN
CAPTOPRIL	9G64RSX1XD	CAPTOPRIL	DB01197	1998	IN
CARBACHOL	8Y164V895Y	CARBACHOL	DB00411	1999	IN
CARBAMAZEPINE	33CM23913M	CARBAMAZEPINE	DB00564	2002	IN
CARBAMIC ACID	O0UC6XOS4H	CARBAMIC ACID	DB04261		
CARBAZOLE	0P2197HHHN	9H-CARBAZOLE	DB07301		
CARBENOXOLONE	MM6384NG73	CARBENOXOLONE	DB02329	2017	IN
CARBETOCIN	88TWF8015Y	CARBETOCIN	DB01282		
CARBIDOPA	MNX7R8C5VO	CARBIDOPA	DB00190	2019	IN
CARBIMAZOLE	8KQ660G60G	CARBIMAZOLE	DB00389	2020	IN
CARBOCYSTEINE	740J2QX53R	CARBOXYMETHYLENECYSTEINE	DB04339	2023	IN
CARBOPLATIN	BG3F62OND5	CARBOPLATIN	DB00958	40048	IN
CARBOPROST	7B5032XT6O	CARBOPROST TROMETHAMINE	DB00429	2051	IN
CARBOPROST TROMETHAMINE	U4526F86FJ	CARBOPROST TROMETHAMINE	DB00429	20259	PIN
CARBOSTYRIL	803BHY7QWU	2-OXOQUINOLINE	DB04745		
CARBOXIN	5A8K850HDE	CARBOXIN	DB04657		
CARFENTANIL	LA9DTA2L8F	CARFENTANIL	DB01535		
CARFILZOMIB	72X6E3J5AR	CARFILZOMIB	DB08889	1302966	IN
CARGLUMIC ACID	5L0HB4V1EW	CARGLUMIC ACID	DB06775	401713	IN
CARMUSTINE	U68WG3173Y	CARMUSTINE	DB00262	2105	IN
CARPHENAZINE	CLY16Y8Z7E	CARPHENAZINE	DB01038		
CARZINOPHILIN A	051R55X44C	CAMAZEPAM	DB01489		
CATHINE	E1L4ZW2F8O	CATHINE	DB01486	32022	IN
CATHINONE	540EI4406J	CATHINONE	DB01560		
CCT-018159	55H1ZOI1NL	4-[4-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YL)-3-METHYL-1H-PYRAZOL-5-YL]-6-ETHYLBENZENE-1,3-DIOL	DB07594		
CEDIRANIB	NQU9IPY4K9	AZD2171	DB04849		
CEFACLOR	69K7K19H4L	CEFACLOR	DB00833	2176	IN
CEFACLOR ANHYDROUS	3Z6FS3IK0K	CEFACLOR	DB00833	1450910	PIN
CEFADROXIL	280111G160	CEFADROXIL	DB01140	2177	IN
CEFADROXIL ANHYDROUS	Q525PA8JJB	CEFADROXIL	DB01140	1545975	PIN
CEFAMANDOLE	5CKP8C2LLI	CEFAMANDOLE	DB01326	2178	IN
CEFAMANDOLE NAFATE	8HDO7941DO	CEFAMANDOLE	DB01326	20473	PIN
CEFAZOLIN	IHS69L0Y4T	CEFAZOLIN	DB01327	2180	IN
CEFDINIR	CI0FAO63WC	CEFDINIR	DB00535	25037	IN
CEFDITOREN	81QS09V3YW	CEFDITOREN	DB01066	83682	IN
CEFDITOREN PIVOXIL	78THA212DH	CEFDITOREN	DB01066	72611	PIN
CEFEPIME	807PW4VQE3	CEFEPIME	DB01413	20481	IN
CEFIXIME	97I1C92E55	CEFIXIME	DB00671	25033	IN
CEFIXIME ANHYDROUS	XZ7BG04GJX	CEFIXIME	DB00671	1546021	PIN
CEFMENOXIME	KBZ4844CXN	CEFMENOXIME	DB00267		
CEFMETAZOLE	3J962UJT8H	CEFMETAZOLE	DB00274	2182	IN
CEFONICID	6532B86WFG	CEFONICID	DB01328	2183	IN
CEFOPERAZONE	7U75I1278D	CEFOPERAZONE	DB01329	2184	IN
CEFORANIDE	8M1YF8951V	CEFORANIDE	DB00923	20486	IN
CEFOTAXIME	N2GI8B1GK7	CEFOTAXIME	DB00493	2186	IN
CEFOTIAM	91W6Z2N718	CEFOTIAM	DB00229	2188	IN
CEFOXITIN	6OEV9DX57Y	CEFOXITIN	DB01331	2189	IN
CEFPIRAMIDE	P936YA152N	CEFPIRAMIDE	DB00430		
CEFPODOXIME	7R4F94TVGY	CEFPODOXIME	DB01416	20489	IN
CEFPROZIL ANHYDROUS, (E)-	S1SDI2FJIY	CEFPROZIL	DB01150		
CEFTAROLINE FOSAMIL	7P6FQA5D21	CEFTAROLINE FOSAMIL	DB06590	1040004	PIN
CEFTAROLINE	H36Z0FHR8K	CEFTAROLINE FOSAMIL	DB06590	1040005	IN
CEFTAZIDIME	9M416Z9QNR	CEFTAZIDIME	DB00438	2191	IN
CEFTIBUTEN	IW71N46B4Y	CEFTIBUTEN	DB01415	20492	IN
CEFTIZOXIME	C43C467DPE	CEFTIZOXIME	DB01332	2192	IN
CEFTOBIPROLE	5T97333YZK	CEFTOBIPROLE	DB04918		
CEFTRIAXONE	75J73V1629	CEFTRIAXONE	DB01212	2193	IN
CEFUROXIME	O1R9FJ93ED	CEFUROXIME	DB01112	2194	IN
CELECOXIB	JCX84Q7J1L	CELECOXIB	DB00482	140587	IN
CELLOBIOSE	BM3MOX055H	CELLOBIOSE	DB02061		
CEPHACETRILE	FDM21QQ344	CEFACETRILE	DB01414		
CEPHALEXIN ANHYDROUS	5SFF1W6677	CEPHALEXIN	DB00567	1299782	PIN
CEPHALEXIN	OBN7UDS42Y	CEPHALEXIN	DB00567	2231	IN
CEPHALOGLYCIN ANHYDROUS	HD2D469W6U	CEPHALOGLYCIN	DB00689		
CEPHALOGLYCIN	NE7R11LA95	CEPHALOGLYCIN	DB00689		
CEPHALOSPORIN C	3XIY7HJT5L	CEPHALOSPORIN C	DB03313		
CEPHALOTHIN	R72LW146E6	CEFALOTIN	DB00456	2236	IN
CEPHAPIRIN	89B59H32VN	CEFAPIRIN	DB01139	2238	IN
CEPHRADINE ANHYDROUS	9YA6SX5S4D	CEFRADINE	DB01333		
CERIVASTATIN	AM91H2KS67	CERIVASTATIN	DB00439		
CERULENIN	MF286Y830Q	CERULENIN	DB01034		
CERULETIDE	888Y08971B	CERULETIDE	DB00403		
CETRIMONIUM	Z7FF1XKL7A	CETYL-TRIMETHYL-AMMONIUM	DB01718	20614	IN
CETRORELIX	OON1HFZ4BA	CETRORELIX	DB00050	68147	IN
CETYL CAPRYLATE	418Q5V6PLJ	HEXADECYL OCTANOATE	DB02425	1306181	IN
CF-101	30679UMI0N	CF-101	DB05511		
CHENODIOL	0GEI24LG0J	CHENODEOXYCHOLIC ACID	DB06777	2323	PIN
CHIR-124	5K64W8EU3E	4-[(3S)-1-AZABICYCLO[2.2.2]OCT-3-YLAMINO]-3-(1H-BENZIMIDAZOL-2-YL)-6-CHLOROQUINOLIN-2(1H)-ONE	DB06852		
CHLORAL BETAINE	8680278NRH	CHLORAL BETAINE	DB01494	89808	IN
CHLORAL	FLI06WS32H	TRI-CHLORO-ACETALDEHYDE	DB02650	38574	IN
CHLORAL HYDRATE	418M5916WG	CHLORAL HYDRATE	DB01563	2344	PIN
CHLORAMBUCIL	18D0SL7309	CHLORAMBUCIL	DB00291	2346	IN
CHLORAMPHENICOL	66974FR9Q1	CHLORAMPHENICOL	DB00446	2348	IN
CHLORAMPHENICOL SUCCINATE	ZCX619U9A1	CHLORAMPHENICOL SUCCINATE	DB07565	20769	PIN
CHLORDIAZEPOXIDE	6RZ6XEZ3CR	CHLORDIAZEPOXIDE	DB00475	2356	IN
CHLORFENSON	LW65NJ3YWV	K101	DB05377		
CHLORHEXIDINE	R4KO0DY52L	CHLORHEXIDINE	DB00878	2358	IN
CHLOROPHYLL A	YF5Q9EJC8Y	CHLOROPHYLL A	DB02133		
CHLOROPHYLL B	5712ZB110R	CHLOROPHYLL B	DB04506		
CHLOROPROCAINE	5YVB0POT2H	CHLOROPROCAINE	DB01161	20859	IN
CHLOROPYRAMINE	2K3L8O9SOV	CHLOROPYRAMINE	DB08800	20861	IN
CHLOROTHIAZIDE	77W477J15H	CHLOROTHIAZIDE	DB00880	2396	IN
CHLOROTRIANISENE	6V5034L121	CHLOROTRIANISENE	DB00269	2397	IN
CHLOROXINE	2I8BD50I8B	CHLOROXINE	DB01243	20875	IN
CHLORPHENTERMINE	NHW07912O7	CHLORPHENTERMINE	DB01556		
CHLORPROMAZINE	U42B7VYA4P	CHLORPROMAZINE	DB00477	2403	IN
CHLORPROPAMIDE	WTM2C3IL2X	CHLORPROPAMIDE	DB00672	2404	IN
CHLORPROTHIXENE	9S7OD60EWP	CHLORPROTHIXENE	DB01239	2406	IN
CHLORZOXAZONE	H0DE420U8G	CHLORZOXAZONE	DB00356	2410	IN
CHOLECALCIFEROL	1C6V77QF41	CHOLECALCIFEROL	DB00169	2418	IN
CHOLESTEROL	97C5T2UQ7J	CHOLESTEROL	DB04540	2438	IN
CHOLIC ACID	G1JO7801AE	CHOLIC ACID	DB02659	1440856	IN
CHOLINE ALFOSCERATE	60M22SGW66	GLYCERYLPHOSPHORYLCHOLINE	DB04660	4918	PIN
CHOLINE MAGNESIUM TRISALICYLATE	DJJ95FJP1H	TRISALICYLATE-CHOLINE	DB01401	215799	IN
CHOLINE	N91BDP6H0X	CHOLINE	DB00122	2449	IN
CICLESONIDE	S59502J185	CICLESONIDE	DB01410	274964	IN
CICLOPIROX	19W019ZDRJ	CICLOPIROX	DB01188	21090	IN
CIDOFOVIR ANHYDROUS	768M1V522C	CIDOFOVIR	DB00369	1546007	PIN
CIDOFOVIR	JIL713Q00N	CIDOFOVIR	DB00369	83171	IN
CILANSETRON	2J6DQ1U5B5	CILANSETRON	DB04885		
CILASTATIN	141A6AMN38	CILASTATIN	DB01597	2540	IN
CILAZAPRIL ANHYDROUS	8Q9454114Q	CILAZAPRIL	DB01340		
CILOSTAZOL	N7Z035406B	CILOSTAZOL	DB01166	21107	IN
CILUPREVIR	75C8DU40T0	BILN 2061	DB05868		
CIMETIDINE	80061L1WGD	CIMETIDINE	DB00501	2541	IN
CIMICOXIB	W7FHJ107MC	CIMICOXIB	DB05095		
CINACALCET	UAZ6V7728S	CINACALCET	DB01012	407990	IN
CINALUKAST	5E1O433QAI	CINALUKAST	DB00587		
