Drug_code	drug_form	form_code	ingredient	dosage	volume	ingr_nature	comp_number
61751232	poudre	10655	MÉTOCLOPRAMIDE	10 mg	un sachet de 1860 mg	FT	1
61752409	solution	59394	SIROLIMUS	1 mg	1 ml	SA	13
61752640	comprimé	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	17
61752640	granules	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	19
61752640	pommade	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	1 ml	SA	25
61752640	poudre orale	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	18
61752640	solution buvable en ampoules	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	23
61752640	solution buvable en gouttes	763	CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	1 ml	SA	20
61752722	comprimé	53763	MANIDIPINE (DICHLORHYDRATE DE)	20 mg	un comprimé	SA	1
61754805	comprimé	2202	PARACÉTAMOL	1 g	un comprimé	SA	1
61756101	solution	6783	GLUCOSE-1 PHOSPHATE DISODIQUE TÉTRAHYDRATÉ	"125,4 g"	1000 ml	SA	1
61756877	solution	1758	DROPÉRIDOL	5 mg	une ampoule de 2 ml	SA	1
61757922	comprimé	52920	HYDROGÉNOSULFATE DE CLOPIDOGREL			SA	1
61757922	comprimé	54693	CLOPIDOGREL	75 mg	un comprimé	FT	1
61759243	capsule	1097	ALLOPURINOL	300 mg	une capsule	SA	1
61760765	poudre	195	CÉFADROXIL	250 mg	5 ml de suspension buvable	FT	1
61760765	poudre	73957	CÉFADROXIL MONOHYDRATÉ	262 mg	5 ml de suspension buvable	SA	1
61762531	solution	95609	LÉVÉTIRACÉTAM	100 mg	1 ml de solution	SA	1
61763117	granulés	2950	AGAR-AGAR	"0,3000 g"	un sachet-dose de 10 g de granulé	SA	3
61763117	granulés	5356	ALGINATE DE SODIUM	"1,1000 g"	un sachet-dose de 10 g de granulé	SA	1
61763117	granulés	5356	ALGINATE DE SODIUM	"1,4000 g"	un sachet-dose de 10 g de granulé	SA	2
61763366	gélule	55705	FLUVASTATINE SODIQUE	"21,06 mg"	une gélule	SA	1
61763366	gélule	80889	FLUVASTATINE	20 mg	une gélule	FT	1
61763619	comprimé	1958	FUROSÉMIDE	40 mg	un comprimé	SA	1
61765417	comprimé	25783	RANITIDINE (CHLORHYDRATE DE)			SA	1
61765417	comprimé	49632	RANITIDINE BASE	150 mg	un comprimé	FT	1
61765641	comprimé	43303	AZITHROMYCINE MONOHYDRATÉE	256 mg	un comprimé	SA	1
61765641	comprimé	96035	AZITHROMYCINE ANHYDRE	250 mg	un comprimé	FT	1
61766832	comprimé	20890	TOPIRAMATE	50 mg	un comprimé	SA	1
61767005	comprimé	2064	HYDROCHLOROTHIAZIDE	25 mg	un comprimé	SA	2
61767005	comprimé	71153	TELMISARTAN	80 mg	un comprimé	SA	1
61767507	comprimé	22203	CLOPIDOGREL (CHLORHYDRATE DE)	"83,5 mg"	un comprimé	SA	1
61767507	comprimé	54693	CLOPIDOGREL BASE	75 mg	un comprimé	FT	1
61767806	capsule	3602	ACÉTATE D'ALPHA-TOCOPHÉROL	500 mg	une capsule	SA	1
61768203	comprimé	2754	OFLOXACINE	200 mg	un comprimé	SA	1
61768776	comprimé	33803	CHLORHYDRATE DE DONÉPÉZIL	5 mg	un comprimé	SA	1
61768776	comprimé	70320	DONÉPÉZIL BASE	"4,56 mg"	un comprimé	FT	1
61768865	gel	52310	CARBOMÈRE 974P	"1,50 mg"	une dose	SA	1
61770204	comprimé	10109	MANGANÈSE (GLUCONATE DE) DIHYDRATÉ	"0,240 mg"	un comprimé	SA	1
61770204	comprimé	64114	MANGANÈSE	"0,027 mg"	un comprimé	FT	1
61771085	comprimé	55485	RÉPAGLINIDE	"0,5 mg"	un comprimé	SA	1
61771313	poudre	5248	AMOXICILLINE ANHYDRE	125 mg	une cuillère-mesure de 5 ml de suspension reconstituée	FT	1
61771313	poudre	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
61773264	solution	1261	BÉTAMÉTHASONE	"0,05 %"	un flacon de 30 ml	SA	1
61773474	solution	6254	FLUMAZÉNIL	1 mg	une ampoule	SA	1
61774149	dispositif	1786	ESTRADIOL	"7,5 mg"	un dispositif	FT	1
61774149	dispositif	71064	ESTRADIOL HÉMIHYDRATÉ	"7,74 mg"	un dispositif	SA	1
61774284	gélule	3902	FÉNOFIBRATE	200 mg	une gélule	SA	1
61774341	comprimé	4204	CHARBON ACTIVÉ	70 mg	un comprimé	SA	10
61774341	comprimé	4475	PAPAVÉRINE (CHLORHYDRATE DE)	14 mg	un comprimé	SA	12
61774601	comprimé	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
61774601	granules	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
61774601	pommade	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH  (pommade à 4 %)	un comprimé	SA	25
61774601	poudre orale	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	24
61774601	solution buvable en ampoules	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	26
61774601	solution buvable en gouttes	7589	MAGNESIA MURIATICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
61777273	comprimé	5248	AMOXICILLINE BASE	"500,0 mg"	un comprimé	FT	1
61777273	comprimé	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
61777273	comprimé	29442	CLAVULANATE DE POTASSIUM			SA	2
61777273	comprimé	93286	ACIDE CLAVULANIQUE	"62,5 mg"	un comprimé	FT	2
61777782	crème	614	PROPIONATE DE CLOBÉTASOL	"0,050 g"	100 g de crème	SA	1
61779228	comprimé	3682	MALÉATE D'ÉNALAPRIL	20 mg	un comprimé	SA	1
61780814	gélule	3401	CHLORHYDRATE DE MINOCYCLINE	"53,99 mg"	une gélule	SA	2
61780814	gélule	37703	MINOCYCLINE BASE	50 mg	une gélule	FT	2
61781478	gélule	823	KÉTOPROFÈNE	200 mg	une gélule	SA	1
61781777	comprimé	16849	GABAPENTINE	800 mg	un comprimé	SA	1
61782473	comprimé	49118	MIRABÉGRON	50 mg	un comprimé	SA	1
61782612	comprimé	2064	HYDROCHLOROTHIAZIDE	"12,5 mg"	un comprimé	SA	2
61782612	comprimé	15734	VALSARTAN	160 mg	un comprimé	SA	1
61782861	comprimé	9231	AMISULPRIDE	200 mg	un comprimé	SA	1
61783550	solution	49189	BROMURE D'IPRATROPIUM MONOHYDRATÉ			SA	1
61783550	solution	80978	BROMURE D'IPRATROPIUM ANHYDRE	"0,5 mg"	un récipient unidose de 2 ml	FT	1
61783792	comprimé	3682	MALÉATE D'ÉNALAPRIL	5 mg	un comprimé	SA	1
61784054	comprimé	2202	PARACÉTAMOL	400 mg	un comprimé	SA	1
61784054	comprimé	74765	CODÉINE (PHOSPHATE DE) HÉMIHYDRATÉ	20 mg	un comprimé	SA	2
61784766	collyre	2754	OFLOXACINE	"0,3 g"	100 ml	SA	1
61785131	comprimé	78924	OXALATE D'ESCITALOPRAM			SA	1
61785131	comprimé	89971	ESCITALOPRAM	10 mg	un comprimé	FT	1
61786112	pommade	521	GAÏACOL	"0,93 g"	100 g	SA	1
61786112	pommade	760	CRÉOSOTE OFFICINALE	"0,62 g"	100 g	SA	2
61786112	pommade	3469	PIN (HUILE ESSENTIELLE DE)	1 g	100 g	SA	3
61786112	pommade	3666	CINÉOLE	1 g	100 g	SA	4
61786176	comprimé	76057	NICORANDIL	20 mg	un comprimé	SA	1
61786735	solution d'acides aminés	31	ALANINE	7 g	500 ml	SA	15
61786735	solution d'acides aminés	297	ACÉTATE DE LYSINE	"4,655 g"	500 ml	SA	3
61786735	solution d'acides aminés	544	HISTIDINE	"1,5 g"	500 ml	SA	10
61786735	solution d'acides aminés	550	ISOLEUCINE	"2,5 g"	500 ml	SA	1
61786735	solution d'acides aminés	555	LEUCINE	"3,7 g"	500 ml	SA	2
61786735	solution d'acides aminés	563	LYSINE	"3,3 g"	500 ml	FT	3
61786735	solution d'acides aminés	610	PHÉNYLALANINE	"2,55 g"	500 ml	SA	5
61786735	solution d'acides aminés	629	SÉRINE	"3,25 g"	500 ml	SA	12
61786735	solution d'acides aminés	658	THRÉONINE	"2,2 g"	500 ml	SA	6
61786735	solution d'acides aminés	674	TRYPTOPHANE L	1 g	500 ml	SA	7
61786735	solution d'acides aminés	675	VALINE	"3,1 g"	500 ml	SA	8
61786735	solution d'acides aminés	1021	GLYCINE	"5,5 g"	500 ml	SA	11
61786735	solution d'acides aminés	1178	ARGININE	6 g	500 ml	SA	9
61786735	solution d'acides aminés	1603	TAURINE	"0,5 g"	500 ml	SA	14
61786735	solution d'acides aminés	2666	MÉTHIONINE	"2,15 g"	500 ml	SA	4
61786735	solution d'acides aminés	3482	PROLINE	"5,6 g"	500 ml	SA	16
61786735	solution d'acides aminés	3605	TYROSINE	"0,2 g"	500 ml	SA	13
61786735	solution d'acides aminés	13647	ACIDE ACÉTIQUE GLACIAL	"2,7 g"	500 ml	SA	17
61786735	solution de glucose	529	GLUCOSE ANHYDRE	120 g	500 ml	FT	19
61786735	solution de glucose	17150	GLUCOSE MONOHYDRATÉ	132 g	500 ml	SA	19
61787068	comprimé	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	500 ml	SA	18
61787068	granules	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	500 ml	SA	17
61787068	pommade	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH (pommade à 4 %)	500 ml	SA	24
61787068	poudre orale	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	500 ml	SA	23
61787068	solution buvable en ampoules	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	500 ml	SA	25
61787068	solution buvable en gouttes	9172	ALCHEMILLA VULGARIS POUR PRÉPARATIONS HOMÉOPATHIQUES	4CH à 30CH et 8DH à 60DH	500 ml	SA	19
61788049	comprimé	71861	GLIMÉPIRIDE	3 mg	un comprimé	SA	1
61788266	solution	3969	PHLOROGLUCINOL DIHYDRATÉ	40 mg	une ampoule	SA	1
61788266	solution	3970	TRIMÉTHYLPHLOROGLUCINOL	"0,04 mg"	une ampoule	SA	2
61788266	solution	40521	PHLOROGLUCINOL ANHYDRE	"31,12 mg"	une ampoule	FT	1
61788565	comprimé	60929	DICHLORHYDRATE DE CÉTIRIZINE	10 mg	un comprimé	SA	1
61788736	comprimé	2092	IBUPROFÈNE	200 mg	un comprimé	SA	1
61789051	comprimé	15304	LISINOPRIL ANHYDRE	20 mg	un comprimé	FT	1
61789051	comprimé	60255	LISINOPRIL DIHYDRATÉ			SA	1
61789941	comprimé	126	CITRATE DE TAMOXIFÈNE	"15,20 mg"	un comprimé	SA	1
61789941	comprimé	35166	TAMOXIFÈNE BASE	10 mg	un comprimé	FT	1
61792236	solution	127	BAUME DU PÉROU	1 g	100 g de solution pour inhalation	SA	2
61792236	solution	159	THYM (HUILE ESSENTIELLE DE)	1 g	100 g de solution pour inhalation	SA	4
61792236	solution	248	EUCALYPTUS (TEINTURE D')	60 g	100 g de solution pour inhalation	SA	3
61792236	solution	568	LÉVOMENTHOL	4 g	100 g de solution pour inhalation	SA	6
61792236	solution	3239	LAVANDE (ESSENCE DE)	1 g	100 g de solution pour inhalation	SA	7
61792236	solution	4594	BENJOIN (TEINTURE DE)	10 g	100 g de solution pour inhalation	SA	8
61792268	comprimé	13104	SODIUM (ÉTIDRONATE DE)	200 mg	un comprimé	SA	1
61793701	comprimé	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	18
61793701	granules	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	17
61793701	pommade	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH (pommade à 4 %)	un comprimé	SA	24
61793701	poudre orale	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	23
61793701	solution buvable en ampoules	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	25
61793701	solution buvable en gouttes	35854	AILANTHUS GLANDULOSA POUR PRÉPARATIONS HOMÉOPATHIQUES	3CH à 30CH et 5DH à 60DH	un comprimé	SA	19
61794408	vernis à ongles	95914	CICLOPIROX	80 mg	1 g de vernis	SA	1
61794842	comprimé	5248	AMOXICILLINE ANHYDRE	1000 mg	un comprimé	FT	1
61794842	comprimé	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
61794949	solution	91576	PALONOSÉTRON (CHLORHYDRATE DE)			SA	1
61794949	solution	95294	PALONOSÉTRON BASE	50 microgrammes	1 ml	FT	1
61796341	comprimé	19809	ATORVASTATINE	10 mg	un comprimé	FT	1
61796341	comprimé	50091	ATORVASTATINE CALCIQUE	"10,36 mg"	un comprimé	SA	1
61797183	gel	1778	ESTRIOL	50 microgrammes	1 g de gel vaginal	SA	1
61798292	comprimé	1851	ARGENTUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	"0,075 g (4 DH)"	un comprimé	SA	3
61798292	comprimé	6984	ATROPINUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	"0,075 g (5 DH)"	un comprimé	SA	4
61798292	comprimé	56283	BISMUTH (SOUS-NITRATE DE) LOURD POUR PRÉPARATIONS HOMÉOPATHIQUES	"0,075 g (8 DH)"	un comprimé	SA	1
61799113	comprimé	25783	CHLORHYDRATE DE RANITIDINE	168 mg	un comprimé	SA	1
61799113	comprimé	49632	RANITIDINE BASE	150 mg	un comprimé	FT	1
61801023	poudre	872	AMOXICILLINE SODIQUE			SA	1
61801023	poudre	5248	AMOXICILLINE ANHYDRE	1 g	un flacon	FT	1
61801799	comprimé	27380	DÉSOGESTREL	"0,075 mg"	un comprimé	SA	1
61803031	comprimé	10171	SIMVASTATINE	40 mg	un comprimé	SA	1
61803145	crème	32737	ANGELICA ARCHANGELICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH (crème à 4 %)	un comprimé	SA	15
61803145	granules	32737	ANGELICA ARCHANGELICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	14
61803145	solution buvable en gouttes	32737	ANGELICA ARCHANGELICA POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	16
61803711	comprimé	36746	LERCANIDIPINE (CHLORHYDRATE DE)	20 mg	un comprimé	SA	1
61804539	comprimé	7436	BISOPROLOL (HÉMIFUMARATE DE)	5 mg	un comprimé	SA	1
61804731	solution	659	THYMOL	"5,000 g"	100 g de solution pour usage dentaire	SA	2
61804731	solution	3673	ACÉTATE DE DEXAMÉTHASONE	"0,111 g"	100 g de solution pour usage dentaire	SA	1
61805185	comprimé	73953	RABÉPRAZOLE SODIQUE	10 mg	un comprimé	SA	1
61810086	comprimé	17723	OLANZAPINE	10 mg	un comprimé	SA	1
61810983	gélule	5407	CHLORHYDRATE DE MÉTHYLPHÉNIDATE	10 mg	une gélule	SA	1
61813890	crème	32925	CHLORHYDRATE DE TERBINAFINE	1 g	100 g de crème	SA	1
61815891	comprimé	96835	ARIPIPRAZOLE	10 mg	un comprimé	SA	1
61816438	comprimé	15734	VALSARTAN	"51,4 mg"	un comprimé	FT	1
61816438	comprimé	16541	COMPLEXE SODIQUE SACUBITRIL VALSARTAN HÉMIPENTAHYDRATÉ			SA	1
61816438	comprimé	78789	SACUBITRIL	"48,6 mg"	un comprimé	FT	1
61817344	poudre	5248	AMOXICILLINE BASE	"100,00 mg"	1 ml de suspension reconstituée	FT	1
61817344	poudre	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
61817344	poudre	29442	CLAVULANATE DE POTASSIUM			SA	2
61817344	poudre	93286	ACIDE CLAVULANIQUE	"12,50 mg"	1 ml de suspension reconstituée	FT	2
61817860	poudre	428	CARBONATE DE CALCIUM	1250 mg	un sachet-dose	SA	2
61817860	poudre	1525	CHOLÉCALCIFÉROL	400 UI	un sachet-dose	FT	1
61817860	poudre	72723	CALCIUM ÉLÉMENT	500 mg	un sachet-dose	FT	2
61817860	poudre	85054	"CONCENTRAT DE CHOLÉCALCIFÉROL, FORME PULVÉRULENTE"	4 mg	un sachet-dose	SA	1
61817935	poudre	33811	PALIVIZUMAB 	100 mg	un flacon	SA	5
61818407	comprimé	199	BROMURE DE PINAVÉRIUM	100 mg	un comprimé	SA	1
61819669	suspension	24381	BUDÉSONIDE	1 mg	un récipient unidose de 2 ml	SA	1
61819886	gel	200	MALÉATE DE TIMOLOL	"1,37 mg"	1 g	SA	1
61819886	gel	15009	TIMOLOL BASE	1 mg	1 g	FT	1
61820358	crème	3929	NITRATE D'ÉCONAZOLE	1 g	100 g de crème	SA	1
61823226	comprimé	977	SPIRONOLACTONE	75 mg	un comprimé	SA	1
61823653	comprimé	15734	VALSARTAN	160 mg	un comprimé	SA	1
61823920	comprimé	73208	PRAVASTATINE SODIQUE	20 mg	un comprimé	SA	1
61824381	solution	19514	"HYDROGÈNE (PEROXYDE D'), SOLUTION DE, À 3 POUR CENT"	100 ml	100 ml	SA	1
61824919	solution	40628	CHLORHYDRATE D'ÉPIRUBICINE	2 mg	1 ml	SA	1
61825519	poudre	95793	PROTEINE C ACTIVEE RECOMBINANTE 	20 mg	un flacon	SA	1
61825622	comprimé	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un flacon	SA	17
61825622	granules	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un flacon	SA	19
61825622	pommade	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %)"	un flacon	SA	25
61825622	poudre orale	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un flacon	SA	18
61825622	solution buvable en ampoules	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un flacon	SA	23
61825622	solution buvable en gouttes	37752	AGRAPHIS NUTANS POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un flacon	SA	20
61826304	gélule	2251	NICERGOLINE	5 mg	une gélule	SA	1
61829528	sirop	3229	BROMHYDRATE DE DEXTROMÉTHORPHANE	"0,200 g"	100 ml	SA	2
61829528	sirop	73427	DEXTROMÉTHORPHANE BASE	"0,1466 g"	100 ml	FT	2
61831995	solution	20394	MINOXIDIL	5 g	100 ml de solution	SA	1
61832054	gel	823	KÉTOPROFÈNE	"2,5 g"	100 g de gel	SA	1
61833327	comprimé	65948	DESLORATADINE	5 mg	un comprimé	SA	5
61834055	solution	569	BUMÉTANIDE	50 mg	100 ml	SA	1
61834404	comprimé	2092	IBUPROFÈNE	200 mg	un comprimé	SA	1
61835424	solution	812	BACLOFÈNE	10 mg	une ampoule de 5 ml	SA	1
61836960	comprimé	7436	HÉMIFUMARATE DE BISOPROLOL	"2,5 mg"	un comprimé	SA	1
61837197	comprimé	21053	CAPTOPRIL	50 mg	un comprimé	SA	1
61837560	solution	33	ALCOOL BENZYLIQUE	4 ml	100 ml	SA	1
61837560	solution	3778	CHLORHEXIDINE (DIGLUCONATE DE)	"0,250 g"	100 ml	SA	3
61837560	solution	4771	BENZALKONIUM (CHLORURE DE)	"0,025 g"	100 ml	SA	4
61838744	comprimé	24982	ALENDRONATE MONOSODIQUE TRIHYDRATÉ	"13,05 mg"	un comprimé	SA	1
61838744	comprimé	35532	ACIDE ALENDRONIQUE	10 mg	un comprimé	FT	1
61838819	comprimé	25783	CHLORHYDRATE DE RANITIDINE	"83,7 mg"	un comprimé	SA	1
61838819	comprimé	49632	RANITIDINE	75 mg	un comprimé	FT	1
61840389	poudre	80429	BENZOYL MERCAPTOACÉTYL TRIGLYCINE	1 mg	un flacon	SA	1
61841085	solution	3496	POVIDONE IODÉE	"0,4 g"	un récipient unidose de 10 ml	SA	1
61841313	comprimé	769	DIOSMINE	600 mg	un comprimé	SA	1
61841548	solution	2045	HEXÉTIDINE	"0,1 g"	100 ml de solution pour bain de bouche	SA	1
61842034	comprimé	33803	CHLORHYDRATE DE DONÉPÉZIL	5 mg	un comprimé	SA	1
61842034	comprimé	70320	DONÉPÉZIL BASE	"4,56 mg"	un comprimé	FT	1
61842988	comprimé	71153	TELMISARTAN	80 mg	un comprimé	SA	1
61843104	comprimé	25975	TARTRATE DE ZOLPIDEM	10 mg	un comprimé	SA	1
61844576	comprimé	819	INDAPAMIDE	"0,625 mg"	un comprimé	SA	2
61844576	comprimé	9586	PÉRINDOPRIL TERT-BUTYLAMINE	2 mg	un comprimé	SA	1
61844576	comprimé	52431	PÉRINDOPRIL	"1,669 mg"	un comprimé	FT	1
61846118	poudre	54435	INHIBITEUR DE LA C1 ESTÉRASE HUMAIN 	500 UI	un flacon	SA	1
61846627	solution	1080	ADRÉNALINE	"0,5 mg"	1 ml de solution	SA	1
61846762	comprimé	22466	CHLORHYDRATE DE BÉTAXOLOL	20 mg	un comprimé	SA	1
61847608	comprimé blanc	4287	ESTRADIOL (VALÉRATE D')	2 mg	un comprimé	SA	1
61847608	comprimé rose	987	ACÉTATE DE CYPROTÉRONE	1 mg	un comprimé	SA	19
61847608	comprimé rose	4287	ESTRADIOL (VALÉRATE D')	2 mg	un comprimé	SA	18
61847711	gélule	23957	LANSOPRAZOLE	"30,00 mg"	une gélule	SA	1
61847953	capsule	8112	CALCITRIOL	"0,00025 mg"	une capsule	SA	1
61848140	poudre	29	IFOSFAMIDE	1000 mg	un flacon	SA	1
61848286	comprimé blanc	196	LÉVONORGESTREL	"0,075 mg"	un comprimé	SA	9
61848286	comprimé blanc	1807	ÉTHINYLESTRADIOL	"0,040 mg"	un comprimé	SA	11
61848286	comprimé brique	196	LÉVONORGESTREL	"0,050 mg"	un comprimé	SA	2
61848286	comprimé brique	1807	ÉTHINYLESTRADIOL	"0,030 mg"	un comprimé	SA	8
61848286	comprimé jaune	196	LÉVONORGESTREL	"0,125 mg"	un comprimé	SA	10
61848286	comprimé jaune	1807	ÉTHINYLESTRADIOL	"0,030 mg"	un comprimé	SA	12
61848560	comprimé	2092	IBUPROFÈNE	400 mg	un comprimé	SA	1
61848674	solution	529	GLUCOSE ANHYDRE	10 g	100 ml	FT	1
61848674	solution	17150	GLUCOSE MONOHYDRATÉ			SA	1
61848891	sirop	15078	THÉOPHYLLINE	"1,00 g"	100 ml de sirop	FT	1
61848891	sirop	42599	THÉOPHYLLINE (ACÉTATE DE SODIUM)	"1,64 g"	100 ml de sirop	SA	1
61849146	comprimé	74405	PÉRAMPANEL	12 mg	un comprimé	SA	1
61849961	comprimé	21888	CHLORHYDRATE DE BUPRÉNORPHINE	"8,64 mg"	un comprimé	SA	1
61849961	comprimé	54459	BUPRÉNORPHINE	8 mg	un comprimé	FT	1
61850725	comprimé	4442	METFORMINE BASE	390 mg	un comprimé	FT	1
61850725	comprimé	24321	CHLORHYDRATE DE METFORMINE	500 mg	un comprimé	SA	1
61850771	poudre	5248	AMOXICILLINE ANHYDRE	250 mg	5 ml de suspension buvable reconstituée	FT	1
61850771	poudre	28165	AMOXICILLINE TRIHYDRATÉE			SA	1
61851446	granules	6436	CALCAREA CARBONICA OSTREARUM POUR PRÉPARATIONS HOMÉOPATHIQUES	6CH à 30CH et 12DH à 60DH	5 ml de suspension buvable reconstituée	SA	3
61851777	comprimé	428	CARBONATE DE CALCIUM	875 mg	un comprimé	SA	1
61851777	comprimé	4788	CALCIUM (GLUCONOLACTATE DE)	1132 mg	un comprimé	SA	1
61851777	comprimé	72723	CALCIUM ÉLÉMENT	500 mg	un comprimé	FT	1
61852676	comprimé	970	CHLORHYDRATE DE SOTALOL	"160,00 mg"	un comprimé	SA	1
61853529	gélule	3401	CHLORHYDRATE DE MINOCYCLINE	"115,80 mg"	une gélule	SA	1
61853529	gélule	37703	MINOCYCLINE BASE	100 mg	une gélule	FT	1
61854951	comprimé	17723	OLANZAPINE	10 mg	un comprimé	SA	1
61855583	solution	2405	ADÉNOSINE	"30,00 mg"	un flacon	SA	1
61855722	solution	1473	ZINC	"0,0674 mg"	une ampoule de 2 ml	FT	1
61855722	solution	5246	ZINC (GLUCONATE DE)	"0,470 mg"	une ampoule de 2 ml	SA	1
61855918	comprimé	39357	BOSENTAN BASE	125 mg	un comprimé	FT	1
61855918	comprimé	74217	BOSENTAN MONOHYDRATÉ	"129,082 mg"	un comprimé	SA	1
61856062	comprimé	645	SULFADOXINE	"500,0 mg"	un comprimé	SA	1
61856062	comprimé	2285	PYRIMÉTHAMINE	"25,0 mg"	un comprimé	SA	2
61856322	poudre	41788	PROPIONATE DE FLUTICASONE	100 microgrammes	une dose	SA	1
61857591	comprimé	338	DICHLORHYDRATE DE TRIMÉTAZIDINE	20 mg	un comprimé	SA	8
61858273	gélule	2202	PARACÉTAMOL	"500,00 mg"	une gélule	SA	1
61858298	comprimé	2114	CÉFIXIME TRIHYDRATÉE			SA	1
61858298	comprimé	33617	CÉFIXIME ANHYDRE	200 mg	un comprimé	FT	1
61858743	comprimé	73594	CANDÉSARTAN CILEXÉTIL	32 mg	un comprimé	SA	1
61858768	comprimé	2539	KALIUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	17
61858768	granules	2539	KALIUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	19
61858768	pommade	2539	KALIUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	"2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % et 10 %)"	un comprimé	SA	25
61858768	poudre orale	2539	KALIUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	18
61858768	solution buvable en ampoules	2539	KALIUM NITRICUM POUR PRÉPARATIONS HOMÉOPATHIQUES	2CH à 30CH et 4DH à 60DH	un comprimé	SA	23
