source_concept_code	source_concept_name	source_concept_desc	source_concept_class_id	target_concept_id	target_concept_name	precedence	conversion_factor	invalid_indicator
"gal00396"	"inj./inf. oploss. i.m./i.v./i.thec./i.arter./i.ventr. [flac.]"	"sol. inj./perf. i.m./i.v./i.théc./i.artér./i.ventr. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00171"	"verband Sacrum"	"pansement Sacrum"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00373"	"crème (zakjes)"	"crème (sachet)"	"Dose Form"	"19082224"	"Topical Cream"	"1"		
"gal00326"	"inj./inf. oploss. i.thec. [amp.]"	"sol. inj./perf. i.théc. [amp.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00216"	"ocul. druppels susp."	"collyre susp."	"Dose Form"	"19082167"	"Ophthalmic Suspension"	"1"		
"gal00700"	"maagsapresist. tabl. verl. afgifte"	"compr. gastro-résist. lib. prol."	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00824"	"inj. oploss. s.c. ClickJect [voorgev. pen]"	"sol. inj. s.c. ClickJect [stylo prérempli]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00468"	"inj. susp. verl. afgifte s.c. Press [voorgev. spuit]"	"susp. inj. lib. prol. s.c. Press [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00405"	"inj. oploss. s.c. Autogel [voorgev. spuit]"	"sol. inj. s.c. Autogel [ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00837"	"inj. susp. verl. afgifte i.m./i.derm./i.artic./i.laes./i.burs./p.artic. [voorgev. spuit]"	"susp. inj. lib. prol. i.m./i.derm./i.artic./i.lés./i.burs./p.artic. [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00169"	"siroop oploss. Kind"	"sirop sol. Enfant"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00317"	"verband Contour"	"pansement Contour"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00306"	"auric./ocul. zalf [zonder bew.]"	"pommade auric./opht. [sans cons.]"	"Dose Form"	"19082227"	"Topical Ointment"	"1"		
"gal00754"	"tabl. Mitis"	"compr. Mitis"	"Dose Form"	"19001949"	"Delayed Release Oral Tablet"	"3"		
"gal00120"	"verband Gentle Border Lite"	"pansement Gentle Border Lite"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00462"	"harde caps. geregul. afgifte Modified Release"	"gél. lib. modif. Modified Release"	"Dose Form"	"19082255"	"Delayed Release Oral Capsule"	"1"		
"gal00698"	"inj. susp. (pdr. + solv.) s.c. [flac. + voorgev. spuit]"	"susp. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00809"	"cut. oploss. (alc.) Transdermaal"	"sol. cut. (alc.) Transdermique"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00031"	"inj./inf. emuls. i.v. [voorgev. spuit]"	"émuls. inj./perf. i.v. [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00081"	"gran. (zakjes) Instant Vanille/Fraise"	"gran. (sachet) Instant Vanille/Fraise"	"Dose Form"	"19082651"	"Oral Granules"	"1"		
"gal00717"	"orofar. zuigtabl. Honing"	"compr. à sucer orophar. Miel"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00040"	"inf. oploss. (conc.) i.m./i.v. [amp.]"	"sol. perf. à diluer i.m./i.v. [amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00762"	"verband [Ovaal]"	"pansement [Ovale]"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00541"	"inf. oploss. conc. (pdr. + solv.) i.v. [flac.]"	"sol. perf. à diluer (pdr + solv.) i.v. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00614"	"rect. zalf"	"pommade rect."	"Dose Form"	"19082282"	"Rectal Ointment"	"1"		
"gal00400"	"siroop oploss. (zakjes) Fruit"	"sirop sol. (sachet) Fruit"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00051"	"verband Lite"	"pansement Lite"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00145"	"inj. oploss. s.c. [voorgev. spuit, kit Onpro]"	"sol. inj. s.c. [ser. préremplie, kit Onpro]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00562"	"inj./inf. oploss. (conc.) i.m./i.v./i.thec./i.arter./i.ventr. [flac.]"	"sol. inj./perf. à diluer i.m./i.v./i.théc./i.artér./i.ventr. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00536"	"inj./inf. oploss. (conc.) i.v./s.c. [flac.]"	"sol. inj./perf. à diluer i.v./s.c. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00196"	"dosisaerosol susp. Autohaler [ademgest.]"	"susp. inhal. (flacon press.) Autohaler [déclenché par la resp.]"	"Dose Form"	"19095898"	"Inhalation Solution"	"1"		
"gal00274"	"inj./inf. oploss. (pdr.) i.v. P [flac.]"	"sol. inj./perf. (pdr) i.v. P [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00410"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. SAB [flac. + amp.]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. SAB [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00534"	"inj. oploss. i.v./s.c./epidur. [amp.]"	"sol. inj. i.v./s.c./p.dural [amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00276"	"inj./inf. oploss. i.m./i.v./s.c. [amp.]"	"sol. inj./perf. i.m./i.v./s.c. [amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00585"	"inhalatiepdr. (harde caps.) Podhaler"	"poudre inhal. (gél.) Podhaler"	"Dose Form"	"19082259"	"Inhalation Powder"	"1"		
"gal00029"	"verband Klevend"	"pansement Adhésif"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00214"	"inj. oploss. i.m./i.v./epidur./p.neur. [flac., locoregionale infiltr.]"	"sol. inj. i.m./i.v./p.dural/p.neur. [flac., infiltr. locorégionale]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00303"	"inj. oploss. i.derm. [flac.]"	"sol. inj. i.derm. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00562"	"inj./inf. oploss. (conc.) i.m./i.v./i.thec./i.arter./i.ventr. [flac.]"	"sol. inj./perf. à diluer i.m./i.v./i.théc./i.artér./i.ventr. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00538"	"endocerv. gel [voorgev. spuit]"	"gel endocerv. [ser. préremplie]"	"Dose Form"	"19095973"	"Topical Gel"	"1"		
"gal00106"	"zalf"	"pommade"	"Dose Form"	"19082227"	"Topical Ointment"	"1"		
"gal00634"	"rect. susp. (tabl.) Enema"	"susp. rect. (compr.) Enema"	"Dose Form"	"19082221"	"Rectal Suspension"	"1"		
"gal00420"	"filmomh. tabl. (deelb.) Minor"	"compr. pellic. (séc.) Minor"	"Dose Form"	"19082168"	"Oral Capsule"	"1"		
"gal00716"	"oromuc. spray oploss. Fruit & Mint"	"sol. spray oromuq. Fruit & Mint"	"Dose Form"	"19095911"	"Oral Spray"	"1"		
"gal00401"	"inj./inf. oploss. i.v./s.c./i.thec. Cytosafe [flac.]"	"sol. inj./perf. i.v./s.c./i.théc. Cytosafe [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00464"	"harde caps. verl. afgifte L.A."	"gél. lib. prol. L.A."	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"1"		
"gal00747"	"verband Transparent"	"pansement Transparent"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00749"	"verband Signal"	"pansement Signal"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00194"	"oploss. (gran.)"	"sol. (gran.)"	"Dose Form"	"19082228"	"Topical Solution"	"3"		
"gal00448"	"inj. susp. verl. afgifte (pdr. + solv.) i.m. Consta [flac. + voorgev. spuit]"	"susp. inj. lib. prol. (pdr + solv.) i.m. Consta [flac. + ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00323"	"inj. susp. s.c. Cartridge [patr.]"	"susp. inj. s.c. Cartridge [cart.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00200"	"inj. oploss. s.c. [patr.] voor Genotonorm Pen 5,3"	"sol. inj. (pdr + solv.) s.c. [cart.] pour Genotonorm Pen 5,3"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00688"	"inj. oploss. i.vitr. [voorgev. spuit]"	"sol. inj. i.vitr. [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00573"	"cut. poeder"	"poudre cut."	"Dose Form"	"19082286"	"Topical Powder"	"1"		
"gal00689"	"inj./inf. oploss. i.m./i.v./i.thec./i.arter. [flac.]"	"sol. inj./perf. i.m./i.v./i.théc./i.artér. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00342"	"inj. susp. i.m. Junior [voorgev. spuit]"	"susp. inj. i.m. Junior [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00531"	"inj. oploss. i.v./i.artic./epidur./p.neur. [flac., locoregionale infiltr.]"	"sol. inj. i.v./i.artic./p.dural/p.neur. [flac., infiltr. locorégionale]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00325"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac.]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00436"	"inj. susp. verl. afgifte (pdr. + solv.) i.m. SR [flac. + amp.]"	"susp. inj. lib. prol. (pdr + solv.) i.m. SR [flac. + amp.]"	"Dose Form"	"19082104"	"Injectable Suspension"	"3"		
"gal00084"	"subling. tabl. (patr.)"	"compr. subling. (cart.)"	"Dose Form"	"19082573"	"Oral Tablet"	"2"		
"gal00354"	"inj. oploss. s.c. Penfill [patr.]"	"sol. inj. s.c. Penfill [cart.]"	"Dose Form"	"46234467"	"Pen Injector"	"1"		
"gal00341"	"verband Sacrum Niet-klevend"	"pansement Sacrum Non adhésif"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00468"	"inj. susp. verl. afgifte s.c. Press [voorgev. spuit]"	"susp. inj. lib. prol. s.c. Press [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00483"	"inj./inf. oploss. conc. (pdr.) i.v. [flac.]"	"sol. inj./perf. à diluer (pdr) i.v. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"ir00471"	"Clintec"		"Supplier"	"21020166"	"Clintec"			
"gal00273"	"druppels oploss. (doseerpomp)"	"gtts sol. (pompe doseuse)"	"Dose Form"	"19082228"	"Topical Solution"	"1"		
"gal00584"	"omh. tabl. Bedtime"	"compr. enr. Bedtime"	"Dose Form"	"19082077"	"Extended Release Oral Capsule"	"2"		
"gal00803"	"inj./instill. oploss. (pdr. + solv.) i.m./i.v./i.vesic./endotrach./i.perit./i.pleur. [flac. + amp.]"	"sol. inj./instill. (pdr + solv.) i.m./i.v./i.vésic./endotrach./i.périt./i.pleur. [flac. + amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00837"	"inj. susp. verl. afgifte i.m./i.derm./i.artic./i.laes./i.burs./p.artic. [voorgev. spuit]"	"susp. inj. lib. prol. i.m./i.derm./i.artic./i.lés./i.burs./p.artic. [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00831"	"siroop oploss. Honing & Citroen"	"sirop sol. Miel & Citron"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00607"	"inj. oploss. (pdr. + solv.) i.v. [voorgev. spuit]"	"sol. inj. (pdr + solv.) i.v. [ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00774"	"inj./drinkb. oploss. i.m./i.v./or. Paediatric [amp.]"	"sol. inj./buv. i.m./i.v./or. Paediatric [amp.]"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00108"	"inj. oploss. s.c. Daily [voorgev. spuit]"	"sol. inj. s.c. Daily [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00093"	"siroop susp. (zonder suiker) Rood Kinderen"	"sirop susp. (sans sucre) Rouge Enfants"	"Dose Form"	"19082223"	"Syrup"	"2"		
"gal00078"	"siroop oploss. Eucalyptussmaak"	"sirop sol. Goût eucalyptus"	"Dose Form"	"19082170"	"Oral Solution"	"1"		
"gal00304"	"maagsapresist. gran."	"gran. gastro-résist."	"Dose Form"	"19082651"	"Oral Granules"	"1"		
"gal00520"	"inj. oploss. (pdr. + solv.) i.laes. [2x flac.]"	"sol. inj. (pdr + solv.) i.lés. [2x flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00346"	"harde caps. Kind"	"gél. Enfant"	"Dose Form"	"19082168"	"Oral Capsule"	"1"		
"gal00463"	"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00008"	"filmomh. tabl."	"compr. pellic."	"Dose Form"	"19001949"	"Delayed Release Oral Tablet"	"3"		
"gal00311"	"inj./instill. oploss. i.v./i.artic./i.thec./i.arter./i.uter./or./rect. [flac.]"	"sol. inj./instill. i.v./i.artic./i.théc./i.artér./i.utér./or./rect. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00036"	"inj. oploss. (pdr. + solv.) s.c. [flac. + voorgev. spuit]"	"sol. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00335"	"oromuc. zuigtabl. Minilozenge"	"compr. à sucer oromuq. Minilozenge"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00528"	"laryngofar./oromuc. spray oploss."	"sol. spray laryngophar./oromuq."	"Dose Form"	"19082170"	"Oral Solution"	"2"		
"gal00002"	"inj. oploss. (pdr.) i.m. [flac.]"	"sol. inj. (pdr) i.m. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00463"	"inj. oploss. (pdr. + solv.) s.c. GoQuick [voorgev. pen]"	"sol. inj. (pdr + solv.) s.c. GoQuick [stylo prérempli]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00325"	"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [flac.]"	"sol. inj./perf. (pdr + solv.) i.m./i.v. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00822"	"bruisgran. (zakjes) Forte Citron"	"gran. efferv. (sachet) Forte Citron"	"Dose Form"	"19082651"	"Oral Granules"	"1"		
"gal00825"	"inj./inf. oploss. (conc.) i.m./i.v./s.c. [amp.]"	"sol. inj./perf. à diluer i.m./i.v./s.c. [amp.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00783"	"inj./instill. oploss. (pdr.) i.v./i.vesic./i.arter. [flac.]"	"sol. inj./instill. (pdr) i.v./i.vésic./i.artér. [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00513"	"inj./inf. oploss. (conc.) i.v. Cytosafe [flac.]"	"sol. inj./perf. à diluer i.v. Cytosafe [flac.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00777"	"nas. druppels oploss. Kind"	"gtts sol. nas. Enfant"	"Dose Form"	"19082165"	"Nasal Solution"	"1"		
"gal00381"	"verband Extra dun [Ovaal]"	"pansement Extra mince [Ovale]"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00206"	"verband Island"	"pansement Island"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00414"	"tabl. Minor"	"compr. Minor"	"Dose Form"	"19082573"	"Oral Tablet"	"1"		
"gal00651"	"inhalatiepdr. (harde caps.) [Breezhaler]"	"poudre inhal. (gél.) [Breezhaler]"	"Dose Form"	"19082259"	"Inhalation Powder"	"1"		
"gal00422"	"2/125 tabl."	"2/125 compr."	"Dose Form"	"19082079"	"Extended Release Oral Tablet"	"2"		
"gal00496"	"inj./inf. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"sol. inj./perf. p.dural/p.neur. [flac., infiltr. locorégionale]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00546"	"oploss. (pdr., zakjes) Junior"	"sol. (pdr, sachet) Junior"	"Dose Form"	"19095976"	"Oral Powder"	"1"		
"gal00690"	"orofar. zuigtabl. Menthol"	"compr. à sucer orophar. Menthol"	"Dose Form"	"19082253"	"Oral Lozenge"	"1"		
"gal00659"	"ocul. druppels susp. S."	"collyre susp. S."	"Dose Form"	"19082167"	"Ophthalmic Suspension"	"1"		
"gal00220"	"verband Sacral"	"pansement Sacral"	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00405"	"inj. oploss. s.c. Autogel [voorgev. spuit]"	"sol. inj. s.c. Autogel [ser. préremplie]"	"Dose Form"	"19126920"	"Prefilled Syringe"	"2"		
"gal00576"	"cut. pasta"	"pâte cut."	"Dose Form"	"46234410"	"Topical Suspension"	"1"		
"gal00446"	"inj. susp. verl. afgifte i.m. Depot [flac.]"	"susp. inj. lib. prol. i.m. Depot [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00631"	"inj. oploss. (pdr. + solv.) s.c. [2x flac.]"	"sol. inj. (pdr + solv.) s.c. [2x flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00339"	"oploss. (pdr., zakjes)"	"sol. (pdr, sachet)"	"Dose Form"	"19082286"	"Topical Powder"	"3"		
"gal00322"	"inj. oploss. i.m./i.v./s.c. [flac.]"	"sol. inj. i.m./i.v./s.c. [flac.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00177"	"inj. oploss. i.v./s.c. [patr.]"	"sol. inj. i.v./s.c. [cart.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00043"	"inj. oploss. (pdr. + solv.) i.v. [flac. + voorgev. spuit]"	"sol. inj. (pdr + solv.) i.v. [flac. + ser. préremplie]"	"Dose Form"	"46234469"	"Injection"	"2"		
"gal00792"	"inj. oploss. i.v./i.arter. [voorgev. spuit, autom. inject.]"	"sol. inj. i.v./i.artér. [ser. préremplie, inject. autom.]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00305"	"inj. susp. verl. afgifte (pdr. + solv.) s.c. [voorgev. pen]"	"susp. inj. lib. prol. (pdr + solv.) s.c. [stylo prérempli]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00824"	"inj. oploss. s.c. ClickJect [voorgev. pen]"	"sol. inj. s.c. ClickJect [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00276"	"inj./inf. oploss. i.m./i.v./s.c. [amp.]"	"sol. inj./perf. i.m./i.v./s.c. [amp.]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00833"	"inj./drinkb. oploss. i.m./i.v./s.c./or. [amp.]"	"sol. inj./buv. i.m./i.v./s.c./or. [amp.]"	"Dose Form"	"46234469"	"Injection"	"3"		
"gal00355"	"inj. oploss. s.c. FlexPen [voorgev. pen]"	"sol. inj. s.c. FlexPen [stylo prérempli]"	"Dose Form"	"19082103"	"Injectable Solution"	"1"		
"gal00379"	"inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]"	"sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]"	"Dose Form"	"19082104"	"Injectable Suspension"	"1"		
"gal00239"	"verband Tracheo"	"pansement Trachéo-fenestré"	"Dose Form"	"19082228"	"Topical Solution"	"2"		
"gal00144"	"inj. oploss. dent. [patr.]"	"sol. inj. dent. [cart.]"	"Dose Form"	"46234469"	"Injection"	"2"		
"ir01743"	"SMB"		"Supplier"	"43132300"	"SMB"			
"ir00166"	"Allergan"		"Supplier"	"21020558"	"Allergan"			
"ir01750"	"Smith & Nephew"		"Supplier"	"21019659"	"Smith & Nephew"			
"ir02451"	"VWR"		"Supplier"					
"ir01818"	"Teva"		"Supplier"	"43132269"	"TEVA"			
"ir02519"	"NordMedica"		"Supplier"	"21020279"	"NordMedica"			
"ir01701"	"Servier"		"Supplier"	"43132285"	"Servier"			
"ir02360"	"Heel"		"Supplier"	"40820600"	"Heel"			
"ir00844"	"Hospira"		"Supplier"	"21020256"	"Hospira"			
"ir01198"	"Merus Labs Luxco"		"Supplier"	"21020348"	"Merus Luxco"			
"ir02345"	"Denta"		"Supplier"	"36256903"	"Denta"			
"ir02154"	"Nuron"		"Supplier"	"44024737"	"Nuron Biotech"			
"ir02477"	"Reskin"		"Supplier"					
"ir01040"	"Leo"		"Supplier"	"21019732"	"Leo"			
"ir02980"	"Correvio"		"Supplier"	"21020300"	"Correvio"			
"ir03012"	"Belpharma"		"Supplier"	"782393"	"Belpharma"			
"ir01446"	"Pfizer"		"Supplier"	"43132662"	"Pfizer"			
"ir00968"	"Kela"		"Supplier"	"36256930"	"Kela"			
"ir01503"	"PharmaSwiss"		"Supplier"	"43132663"	"Pharmaswiss"			
"ir00182"	"Amdipharm"		"Supplier"	"43132819"	"Amdipharm"			
"ir00208"	"AOP"		"Supplier"	"36256912"	"AOP"			
"ir00752"	"GE Healthcare"		"Supplier"	"43132290"	"GE"			
"ir02279"	"Hartmann"		"Supplier"	"40820559"	"Hartmann"			
"ir00885"	"Impexeco"		"Supplier"	"36256891"	"Impexeco"			
"ir02097"	"Sanofi Belgium"		"Supplier"	"21019599"	"Sanofi"			
"ir01982"	"VSM"		"Supplier"	"36256901"	"VSM"			
"ir01925"	"Ursapharm"		"Supplier"	"21019868"	"Ursapharm"			
"ir01388"	"OJG"		"Supplier"	"36256899"	"OJG"			
"ir00737"	"Gaba"		"Supplier"	"43579278"	"Cp Gaba"			
"ir00976"	"Labima"		"Supplier"					
"ir02352"	"Boiron"		"Supplier"	"43132429"	"Boiron"			
"ir01800"	"Takeda"		"Supplier"	"21019358"	"Takeda"			
"ir00158"	"Alkopharm"		"Supplier"	"43132680"	"Alkopharma"			
"ir00364"	"Biovitrum"		"Supplier"	"40820427"	"Biovitrum"			
"ir00083"	"ACRAF"		"Supplier"	"43132424"	"Acraf"			
"ir00638"	"Eutherapie"		"Supplier"	"36256895"	"Eutherapie"			
"ir00992"	"Laboratoire Bailleul-Biorga"		"Supplier"	"43132487"	"Bailleul"			
"ir00075"	"ACP"		"Supplier"	"36256923"	"ACP"			
"ir00950"	"Juvise"		"Supplier"	"43132667"	"Juvise"			
"ir01032"	"LCA"		"Supplier"	"40820653"	"LCA"			
"ir00299"	"Bayer"		"Supplier"	"21019569"	"Bayer"			
"ir02444"	"Santen"		"Supplier"	"36256893"	"Santen"			
"ir01321"	"Norgine"		"Supplier"	"43132384"	"Norgine"			
"ir01792"	"Swedish Orphan"		"Supplier"	"40820756"	"Orphan"			
"ir03079"	"Addmedica"		"Supplier"	"43132734"	"Addmedica"			
"ir01677"	"Sanofi-Aventis"		"Supplier"	"21019599"	"Sanofi"			
"ir00596"	"Eumedica"		"Supplier"	"43132732"	"Eumedica"			
"ir01610"	"Reckitt Benckiser"		"Supplier"	"21020612"	"Reckitt Benckiser"			
"ir03004"	"Unimedic"		"Supplier"	"782392"	"Unimedic"			
"ir01560"	"Procter & Gamble"		"Supplier"	"44024687"	"Procter & Gamble"			
"ir02139"	"Cipla"		"Supplier"	"43254575"	"Cipla"			
"ir01776"	"Stallergenes"		"Supplier"	"43132350"	"Stallergenes"			
"ir01000"	"Lagepha"		"Supplier"	"36256897"	"Lagepha"			
"ir01438"	"Pannoc Chemie"		"Supplier"	"36256890"	"Pannoc Chemie"			
"ir00836"	"Guerbet"		"Supplier"	"21019947"	"Guerbet"			
"ir00414"	"C.A.F. - D.C.F."		"Supplier"	"36256913"	"C.A.F. - D.C.F."			
"ir00463"	"Clinigen"		"Supplier"	"21019320"	"Clinigen"			
"ir02071"	"MediWound"		"Supplier"	"36256902"	"MediWound"			
"ir01412"	"Orphan Europe"		"Supplier"	"40820756"	"Orphan"			
"ir00935"	"Janssen-Cilag"		"Supplier"	"43132750"	"Janssen"			
"ir01867"	"Tilman"		"Supplier"	"43132726"	"Tilman"			
"ir01289"	"Mylan"		"Supplier"	"21019390"	"Mylan"			
"ir01230"	"Mölnlycke"		"Supplier"	"21020686"	"Molnlycke"			
"ir02972"	"Vifor Fresenius"		"Supplier"	"21019774"	"Vifor"			
"ir02402"	"Medeco"		"Supplier"					
"ir02311"	"Eco.Pharma.Supply"		"Supplier"	"36256911"	"Eco.Pharma.Supply"			
"ir01933"	"Vemedia"		"Supplier"	"43580728"	"Vemedia"			
"ir02287"	"3M"		"Supplier"	"21020319"	"3M"			
"ir00869"	"HRA Pharma"		"Supplier"	"35742078"	"HRA Pharma UK Ltd"			
"ir01396"	"Omega"		"Supplier"	"21019433"	"Omega"			
"ir01552"	"Pierre Fabre Sante"		"Supplier"	"21020689"	"Pierre Fabre"			
"ir02949"	"Labo'Life"		"Supplier"					
"ir02170"	"Omrix"		"Supplier"	"43132478"	"Omrix"			
"ir00794"	"Gilead Sciences"		"Supplier"	"43132457"	"Gilead"			
"ir00448"	"Cheplapharm"		"Supplier"	"21019190"	"Cheplapharm"			
"ir01164"	"Melisana"		"Supplier"	"36256886"	"Melisana"			
"ir02956"	"Movianto"		"Supplier"	"21020238"	"Movianto"			
"ir02329"	"Contrel"		"Supplier"					
"ir00521"	"CSP Benelux"		"Supplier"	"36256914"	"CSP Benelux"			
"ir01065"	"Lipomed"		"Supplier"	"21020388"	"Lipomed"			
"ir00422"	"Celgene"		"Supplier"	"21020308"	"Celgene"			
"ir01685"	"Sanquin"		"Supplier"	"43580351"	"Sanquin"			
"ir00919"	"IPS"		"Supplier"	"21020524"	"IPS"			
"ir00257"	"AstraZeneca"		"Supplier"	"43132746"	"Astrazeneca"			
"ir01354"	"Novo Nordisk"		"Supplier"	"43132858"	"Novo Nordisk"			
"ir00067"	"Accord"		"Supplier"	"21019336"	"Accord"			
"ir01735"	"SIT"		"Supplier"	"36256939"	"SIT"			
"ir01594"	"Purna"		"Supplier"	"36256917"	"Purna"			
"ir00455"	"Chiesi"		"Supplier"	"43132668"	"Chiesi"			
"ir02121"	"Aptalis"		"Supplier"	"43132857"	"Aptalis"			
"ir01024"	"Lamepro"		"Supplier"	"36256898"	"Lamepro"			
"ir01255"	"MPI"		"Supplier"	"36256936"	"MPI"			
"ir00927"	"Ipsen"		"Supplier"	"21020175"	"Ipsen"			
"ir01248"	"Sigma-tau"		"Supplier"	"21019439"	"Sigma-Tau"			
"ir00265"	"B. Braun"		"Supplier"	"21020276"	"B.Braun"			
"ir01347"	"Novartis Pharma"		"Supplier"	"43132796"	"Novartis"			
"ir01768"	"Socobom"		"Supplier"					
"ir00307"	"Beiersdorf"		"Supplier"	"21020435"	"Beiersdorf"			
"ir02600"	"Indivior"		"Supplier"	"21019763"	"Indivior"			
"ir01966"	"ViiV"		"Supplier"	"21020107"	"ViiV"			
"ir02014"	"Will-Pharma"		"Supplier"	"43578843"	"Will"			
"ir00810"	"Grünenthal"		"Supplier"	"43579994"	"Gruenenthal"			
"ir02105"	"Agfa Healthcare"		"Supplier"	"43132745"	"Agfa"			
"ir00604"	"Eurocept"		"Supplier"	"43132480"	"Eurocept"			
