concept_code,note
The,"Diabetic arthropathy+ neuropathic+ (M14.6*)"
E15,"Drug-induced insulin coma in nondiabetic"
E15,"Hyperinsulinism with hypoglycaemic coma"
E15,"Hypoglycaemic coma NOS"
E16.1,"Functional nonhyperinsulinaemic hypoglycaemia"
E16.1,"Hyperinsulinism NOS"
E16.1,"Hyperinsulinism functional"
E16.1,"Hyperplasia of pancreatic islet beta cells NOS"
E16.1,"Posthypoglycaemic coma encephalopathy"
E16.3,"Hyperplasia of pancreatic endocrine cells with glucagon excess"
E16.4,"Hypergastrinaemia"
E16.4,"Zollinger-Ellison syndrome"
E16.8,"Increased secretion from endocrine pancreas of growth hormone-releasing hormone"
E16.8,"Increased secretion from endocrine pancreas of pancreatic polypeptide"
E16.8,"Increased secretion from endocrine pancreas of somatostatin"
E16.8,"Increased secretion from endocrine pancreas of vasoactive-intestinal polypeptide"
E16.9,"Islet-cell hyperplasia NOS"
E16.9,"Pancreatic endocrine cell hyperplasia NOS"
,"galactorrhoea (N64.3)"
,"gynaecomastia (N62)"
E20.9,"Parathyroid tetany"
E21.0,"Hyperplasia of parathyroid"
E21.0,"Osteitis fibrosa cystica generalisata [von Recklinghausen's disease of bone]"
E22.0,"Arthropathy associated with acromegaly+ (M14.5*)"
E22.0,"Overproduction of growth hormone"
E22.8,"Central precocious puberty"
E23.0,"Fertile eunuch syndrome"
E23.0,"Hypogonadotropic hypogonadism"
E23.0,"Idiopathic growth hormone deficiency"
E23.0,"Isolated deficiency of gonadotropin"
E23.0,"Isolated deficiency of growth hormone"
E23.0,"Isolated deficiency of pituitary hormone"
E23.0,"Kallmann's syndrome"
E23.0,"Lorain-Levi short stature"
E23.0,"Necrosis of pituitary gland (postpartum)"
E23.0,"Panhypopituitarism"
E23.0,"Pituitary cachexia"
E23.0,"Pituitary insufficiency NOS"
E23.0,"Pituitary short stature"
E23.0,"Sheehan's syndrome"
E23.0,"Simmonds' disease"
E23.6,"Abscess of pituitary"
E23.6,"Adiposogenital dystrophy"
E24.0,"Overproduction of pituitary ACTH"
E24.0,"Pituitary-dependent hyperadrenocorticism"
E25.0,"Congenital adrenal hyperplasia"
E25.0,"21-Hydroxylase deficiency"
E25.0,"Salt-losing congenital adrenal hyperplasia"
E25.8,"Idiopathic adrenogenital disorder"
E25.9,"Adrenogenital syndrome NOS"
E26.0,"Conn's syndrome"
E26.0,"Primary aldosteronism due to adrenal hyperplasia (bilateral)"
E26.8,"Bartter's syndrome"
E27.0,"Overproduction of ACTH, not associated with Cushing's disease"
E27.0,"Premature adrenarche"
E27.1,"Addison's disease"
E27.1,"Autoimmune adrenalitis"
E27.2,"Adrenal crisis"
E27.2,"Adrenocortical crisis"
E27.4,"Adrenal haemorrhage"
E27.4,"Adrenal infarction"
E27.4,"Adrenocortical insufficiency NOS"
E27.4,"Hypoaldosteronism"
E27.5,"Adrenomedullary hyperplasia"
E27.5,"Catecholamine hypersecretion"
E27.8,"Abnormality of cortisol-binding globulin"
E28.1,"Hypersecretion of ovarian androgens"
E28.2,"Sclerocystic ovary syndrome"
E28.2,"Stein-Leventhal syndrome"
E28.3,"Decreased estrogen"
E28.3,"Premature menopause NOS"
E28.3,"Resistant ovary syndrome"
E28.8,"Ovarian hyperfunction NOS"
E29.0,"Hypersecretion of testicular hormones"
E29.1,"Defective biosynthesis of testicular androgen NOS"
E29.1,"5-Alpha-reductase deficiency (with male pseudohermaphroditism)"
E29.1,"Testicular hypogonadism NOS"
E30.0,"Constitutional delay of puberty"
E30.0,"Delayed sexual development"
E30.1,"Precocious menstruation"
E30.8,"Premature thelarche"
E31.0,"Schmidt's syndrome"
E32.0,"Hypertrophy of thymus"
E34.3,"Short stature NOS"
E34.3,"Short stature constitutional"
E34.3,"Short stature Laron-type"
E34.3,"Short stature psychosocial"
E34.4,"Constitutional gigantism"
E34.5,"Male pseudohermaphroditism with androgen resistance"
E34.5,"Peripheral hormonal receptor disorder"
E34.5,"Reifenstein's syndrome"
E34.5,"Testicular feminization (syndrome)"
E34.8,"Pineal gland dysfunction"
E34.8,"Progeria"
E34.9,"Disturbance endocrine NOS"
E34.9,"Disturbance hormone NOS"
E35.0,"Tuberculosis of thyroid gland (A18.8+)"
E35.1,"Tuberculous Addison's disease (A18.7+)"
E35.1,"Waterhouse-Friderichsen syndrome (meningococcal) (A39.1+)"
,"intestinal malabsorption (K90.-)"
,"nutritional anaemias (D50-D53)"
,"sequelae of protein-energy malnutrition (E64.0)"
,"slim disease (B22.2)"
,"starvation (T73.0)"
E41,"Severe malnutrition with marasmus"
E42,"Severe protein-energy malnutrition [as in E43] intermediate form"
E42,"Severe protein-energy malnutrition [as in E43] with signs of both kwashiorkor and marasmus"
E43,"Starvation oedema"
E45,"Nutritional short stature"
E45,"Nutritional stunting"
E45,"Physical retardation due to malnutrition"
E46,"Malnutrition NOS"
E46,"Protein-energy imbalance NOS"
,"nutritional anaemias (D50-D53)"
E50.1,"Bitot's spot in the young child"
E50.7,"Xerophthalmia NOS"
E50.9,"Hypovitaminosis A NOS"
E51.1,"Beriberi dry"
E51.1,"Beriberi wet+ (I98.8*)"
E52,"Deficiency niacin(-tryptophan)"
E52,"Deficiency nicotinamide"
E52,"Pellagra (alcoholic)"
E53.0,"Ariboflavinosis"
E53.1,"Vitamin B"
E53.8,"Deficiency biotin"
E53.8,"Deficiency cyanocobalamin"
E53.8,"Deficiency folate"
E53.8,"Deficiency folic acid"
E53.8,"Deficiency pantothenic acid"
E53.8,"Deficiency vitamin B"
E54,"Deficiency of vitamin C"
E54,"Scurvy"
E55.0,"Osteomalacia infantile"
E55.0,"Osteomalacia juvenile"
E55.9,"Avitaminosis D"
E59,"Keshan disease"
E63.9,"Nutritional cardiomyopathy NOS+ (I43.2*)"
E65,"Fat pad"
E66.2,"Pickwickian syndrome"
E66.8,"Morbid obesity"
E66.9,"Simple obesity NOS"
,"androgen resistance syndrome (E34.5)"
,"congenital adrenal hyperplasia (E25.0)"
,"Ehlers-Danlos syndrome (Q79.6)"
,"haemolytic anaemias due to enzyme disorders (D55.-)"
,"Marfan's syndrome (Q87.4)"
,"5-alpha-reductase deficiency (E29.1)"
E70.2,"Alkaptonuria"
E70.2,"Hypertyrosinaemia"
E70.2,"Ochronosis"
E70.2,"Tyrosinaemia"
E70.2,"Tyrosinosis"
E70.3,"Albinism ocular"
E70.3,"Albinism oculocutaneous"
E70.3,"Syndrome Chediak(-Steinbrinck)-Higashi"
E70.3,"Syndrome Cross"
E70.3,"Syndrome Hermansky-Pudlak"
E70.8,"Disorders of histidine metabolism"
E70.8,"Disorders of tryptophan metabolism"
E71.1,"Hyperleucine-isoleucinaemia"
E71.1,"Hypervalinaemia"
E71.1,"Isovaleric acidaemia"
E71.1,"Methylmalonic acidaemia"
E71.1,"Propionic acidaemia"
E71.3,"Adrenoleukodystrophy [Addison-Schilder]"
E71.3,"Muscle carnitine palmityltransferase deficiency"
E72.0,"Cystinosis"
E72.0,"Cystinuria"
E72.0,"Fanconi(-de Toni)(-Debr&eacute;) syndrome"
E72.0,"Hartnup's disease"
E72.0,"Lowe's syndrome"
E72.1,"Cystathioninuria"
E72.1,"Homocystinuria"
E72.1,"Methioninaemia"
E72.1,"Sulfite oxidase deficiency"
E72.2,"Argininaemia"
E72.2,"Argininosuccinic aciduria"
E72.2,"Citrullinaemia"
E72.2,"Hyperammonaemia"
E72.3,"Glutaric aciduria"
E72.3,"Hydroxylysinaemia"
E72.3,"Hyperlysinaemia"
E72.4,"Ornithinaemia (types I, II)"
E72.5,"Hyperhydroxyprolinaemia"
E72.5,"Hyperprolinaemia (types I, II)"
E72.5,"Non-ketotic hyperglycinaemia"
E72.5,"Sarcosinaemia"
E72.8,"Disorders of Beta-amino-acid metabolism"
E72.8,"Disorders of Gamma-glutamyl cycle"
E74.0,"Cardiac glycogenosis"
E74.0,"Disease Andersen"
E74.0,"Disease Cori"
E74.0,"Disease Forbes"
E74.0,"Disease Hers"
E74.0,"Disease McArdle"
E74.0,"Disease Pompe"
E74.0,"Disease Tauri"
E74.0,"Disease von Gierke"
E74.0,"Liver phosphorylase deficiency"
E74.1,"Essential fructosuria"
E74.1,"Fructose-1,6-diphosphatase deficiency"
E74.1,"Hereditary fructose intolerance"
E74.2,"Galactokinase deficiency"
E74.2,"Galactosaemia"
E74.3,"Glucose-galactose malabsorption"
E74.3,"Sucrase deficiency"
E74.4,"Deficiency of phosphoenolpyruvate carboxykinase"
E74.4,"&nbsp;&nbsp;&middot; carboxylase"
E74.4,"&nbsp;&nbsp;&middot; dehydrogenase"
E74.8,"Essential pentosuria"
E74.8,"Oxalosis"
E74.8,"Oxaluria"
E74.8,"Renal glycosuria"
E75.0,"Disease Sandhoff"
E75.0,"Disease Tay-Sachs"
E75.0,"GM"
E75.0,"GMNOS"
E75.0,"GMadult"
E75.0,"GMjuvenile"
E75.1,"Gangliosidosis NOS"
E75.1,"Gangliosidosis GM"
E75.1,"Gangliosidosis GM"
E75.1,"Mucolipidosis IV"
E75.2,"Disease Fabry(-Anderson)"
E75.2,"Disease Gaucher"
E75.2,"Disease Krabbe"
E75.2,"Disease Niemann-Pick"
E75.2,"Faber's syndrome"
E75.2,"Metachromatic leukodystrophy"
E75.2,"Sulfatase deficiency"
E75.4,"Disease Batten"
E75.4,"Disease Bielschowsky-Jansky"
E75.4,"Disease Kufs"
E75.4,"Disease Spielmeyer-Vogt"
E75.5,"Cerebrotendinous cholesterosis [van Bogaert-Scherer-Epstein]"
E75.5,"Wolman's disease"
E76.0,"Syndrome Hurler"
E76.0,"Syndrome Hurler-Scheie"
E76.0,"Syndrome Scheie"
E76.1,"Hunter's syndrome"
E76.2,"Beta-glucuronidase deficiency"
E76.2,"Mucopolysaccharidosis, types III, IV, VI, VII"
E76.2,"Syndrome Maroteaux-Lamy (mild)(severe)"
E76.2,"Syndrome Morquio(-like)(classic)"
E76.2,"Syndrome Sanfilippo (type B)(type C)(type D)"
E77.0,"Mucolipidosis II [I-cell disease]"
E77.0,"Mucolipidosis III [pseudo-Hurler polydystrophy]"
E77.1,"Aspartylglucosaminuria"
E77.1,"Fucosidosis"
E77.1,"Mannosidosis"
E77.1,"Sialidosis [mucolipidosis I]"
E78.0,"Familial hypercholesterolaemia"
E78.0,"Fredrickson's hyperlipoproteinaemia, type IIa"
E78.0,"Hyperbetalipoproteinaemia"
E78.0,"Hyperlipidaemia, group A"
E78.0,"Low-density-lipoprotein-type [LDL] hyperlipoproteinaemia"
E78.1,"Endogenous hyperglyceridaemia"
E78.1,"Fredrickson's hyperlipoproteinaemia, type IV"
E78.1,"Hyperlipidaemia, group B"
E78.1,"Hyperprebetalipoproteinaemia"
E78.1,"Very-low-density-lipoprotein-type [VLDL] hyperlipoproteinaemia"
E78.2,"Broad- or floating-betalipoproteinaemia"
E78.2,"Fredrickson's hyperlipoproteinaemia, type IIb or III"
E78.2,"Hyperbetalipoproteinaemia with prebetalipoproteinaemia"
E78.2,"Hypercholesterolaemia with endogenous hyperglyceridaemia"
E78.2,"Hyperlipidaemia, group C"
E78.2,"Tubero-eruptive xanthoma"
E78.2,"Xanthoma tuberosum"
E78.3,"Fredrickson's hyperlipoproteinaemia, type I or V"
E78.3,"Hyperlipidaemia, group D"
E78.3,"Mixed hyperglyceridaemia"
E78.4,"Familial combined hyperlipidaemia"
E78.6,"Abetalipoproteinaemia"
E78.6,"High-density lipoprotein deficiency"
E78.6,"Hypoalphalipoproteinaemia"
E78.6,"Hypobetalipoproteinaemia (familial)"
E78.6,"Lecithin cholesterol acyltransferase deficiency"
E78.6,"Tangier disease"
E79.0,"Asymptomatic hyperuricaemia"
E79.8,"Hereditary xanthinuria"
E80.0,"Congenital erythropoietic porphyria"
E80.0,"Erythropoietic protoporphyria"
E80.2,"Hereditary coproporphyria"
E80.2,"Porphyria NOS"
E80.2,"Porphyria acute intermittent (hepatic)"
E80.3,"Acatalasia [Takahara]"
E80.6,"Dubin-Johnson syndrome"
E80.6,"Rotor's syndrome"
E83.0,"Menkes' (kinky hair)(steely hair) disease"
E83.0,"Wilson's disease"
E83.1,"Haemochromatosis"
E83.2,"Acrodermatitis enteropathica"
E83.3,"Acid phosphatase deficiency"
E83.3,"Familial hypophosphataemia"
E83.3,"Hypophosphatasia"
E83.3,"Vitamin-D-resistant osteomalacia"
E83.3,"Vitamin-D-resistant rickets"
E83.4,"Hypermagnesaemia"
E83.4,"Hypomagnesaemia"
E83.5,"Familial hypocalciuric hypercalcaemia"
E83.5,"Idiopathic hypercalciuria"
E84.1,"Meconium ileus+ (P75*)"
E84.8,"Cystic fibrosis with combined manifestations"
E85.0,"Familial Mediterranean fever"
E85.0,"Hereditary amyloid nephropathy"
E85.1,"Amyloid polyneuropathy (Portuguese)"
E85.3,"Haemodialysis-associated amyloidosis"
E85.4,"Localized amyloidosis"
E86,"Dehydration"
E86,"Depletion of volume of plasma or extracellular fluid"
E86,"Hypovolaemia"
E87.0,"Sodium [Na] excess"
E87.0,"Sodium [Na] overload"
E87.1,"Sodium [Na] deficiency"
E87.2,"Acidosis NOS"
E87.2,"Acidosis lactic"
E87.2,"Acidosis metabolic"
E87.2,"Acidosis respiratory"
E87.3,"Alkalosis NOS"
E87.3,"Alkalosis metabolic"
E87.3,"Alkalosis respiratory"
E87.5,"Potassium [K] excess"
E87.5,"Potassium [K] overload"
E87.6,"Potassium [K] deficiency"
E87.8,"Electrolyte imbalance NOS"
E87.8,"Hyperchloraemia"
E87.8,"Hypochloraemia"
E88.0,"Alpha-1-antitrypsin deficiency"
E88.0,"Bisalbuminaemia"
E88.1,"Lipodystrophy NOS"
E88.2,"Lipomatosis NOS"
E88.2,"Lipomatosis dolorosa [Dercum]"
E88.8,"Launois-Bensaude adenolipomatosis"
E88.8,"Trimethylaminuria"
E89.0,"Postirradiation hypothyroidism"
E89.0,"Postsurgical hypothyroidism"
E89.1,"Postpancreatectomy hyperglycaemia"
E89.1,"Postsurgical hypoinsulinaemia"
E89.2,"Parathyroprival tetany"
E89.3,"Postirradiation hypopituitarism"
F00.0,"Alzheimer's disease, type 2"
F00.0,"Presenile dementia, Alzheimer's type"
F00.0,"Primary degenerative dementia of the Alzheimer's type, presenile onset"
F00.1,"Alzheimer's disease, type 1"
F00.1,"Primary degenerative dementia of the Alzheimer's type, senile onset"
F00.1,"Senile dementia, Alzheimer's type"
F00.2,"Atypical dementia, Alzheimer's type"
F01.1,"Predominantly cortical dementia"
F02.2,"Dementia in Huntington's chorea"
F02.3,"Dementia in paralysis agitans"
F02.3,"Dementia in parkinsonism"
F02.8,"Dementia in cerebral lipidosis (E75.-+)"
F02.8,"Dementia in epilepsy (G40.-+)"
F02.8,"Dementia in hepatolenticular degeneration (E83.0+)"
F02.8,"Dementia in hypercalcaemia (E83.5+)"
F02.8,"Dementia in hypothyroidism, acquired (E01.-+, E03.-+)"
F02.8,"Dementia in intoxications (T36-T65+)"
F02.8,"Dementia in multiple sclerosis (G35+)"
F02.8,"Dementia in neurosyphilis (A52.1+)"
F02.8,"Dementia in niacin deficiency [pellagra] (E52+)"
F02.8,"Dementia in polyarteritis nodosa (M30.0+)"
F02.8,"Dementia in systemic lupus erythematosus (M32.-+)"
F02.8,"Dementia in trypanosomiasis (B56.-+, B57.-+)"
F02.8,"Dementia in vitamin B(E53.8+)"
F03,"Presenile dementia NOS"
F03,"Presenile psychosis NOS"
F03,"Primary degenerative dementia NOS"
F03,"&nbsp;&nbsp;&middot; NOS"
F03,"&nbsp;&nbsp;&middot; depressed or paranoid type"
F03,"&nbsp;&nbsp;&middot; depressed or paranoid typepsychosis NOS"
F04,"Korsakov's psychosis or syndrome, nonalcoholic"
F05.1,"Conditions meeting the above criteria but developing in the course of a dementia (F00-F03)"
F05.8,"Delirium of mixed origin"
F06.0,"Organic hallucinatory state (nonalcoholic)"
F06.2,"Paranoid and paranoid-hallucinatory organic states"
F06.2,"Schizophrenia-like psychosis in epilepsy"
F06.8,"Epileptic psychosis NOS"
F06.9,"Organic brain syndrome NOS"
F06.9,"Organic mental disorder NOS"
F07.0,"Organic pseudopsychopathic personality"
F07.0,"Organic pseudoretarded personality"
F07.0,"Syndrome frontal lobe"
F07.0,"Syndrome limbic epilepsy personality"
F07.0,"Syndrome lobotomy"
F07.0,"Syndrome postleucotomy"
F07.2,"Postcontusional syndrome (encephalopathy)"
F07.2,"Post-traumatic brain syndrome, nonpsychotic"
F07.8,"Right hemispheric organic affective disorder"
F07.9,"Organic psychosyndrome"
F09,"Psychosis organic NOS"
F09,"Psychosis symptomatic NOS"
The,"Acute drunkenness in alcoholism"
The,""Bad trips" (drugs)"
The,"Drunkenness NOS"
The,"Pathological intoxication"
The,"Trance and possession disorders in psychoactive substance intoxication"
The,"Psychoactive substance abuse"
The,"Chronic alcoholism"
The,"Dipsomania"
The,"Drug addiction"
The,"Delirium tremens (alcohol-induced)"
The,"Alcoholic hallucinosis"
The,"Alcoholic jealousy"
The,"Alcoholic paranoia"
The,"Alcoholic psychosis NOS"
F20.0,"Paraphrenic schizophrenia"
F20.1,"Disorganized schizophrenia"
F20.1,"Hebephrenia"
F20.2,"Catatonic stupor"
F20.2,"Schizophrenic catalepsy"
F20.2,"Schizophrenic catatonia"
F20.2,"Schizophrenic flexibilitas cerea"
F20.3,"Atypical schizophrenia"
F20.5,"Chronic undifferentiated schizophrenia"
F20.5,"Restzustand (schizophrenic)"
F20.5,"Schizophrenic residual state"
F20.8,"Cenesthopathic schizophrenia"
F20.8,"Schizophreniform disorder NOS"
F20.8,"Schizophreniform psychosis NOS"
F21,"Latent schizophrenic reaction"
F21,"Schizophrenia borderline"
F21,"Schizophrenia latent"
F21,"Schizophrenia prepsychotic"
F21,"Schizophrenia prodromal"
F21,"Schizophrenia pseudoneurotic"
F21,"Schizophrenia pseudopsychopathic"
F21,"Schizotypal personality disorder"
F22.0,"Paranoia"
F22.0,"Paranoid psychosis"
F22.0,"Paranoid state"
F22.0,"Paraphrenia (late)"
F22.0,"Sensitiver Beziehungswahn"
F22.8,"Delusional dysmorphophobia"
F22.8,"Involutional paranoid state"
F22.8,"Paranoia querulans"
F23.0,"Bouff&eacute;e d&eacute;lirante without symptoms of schizophrenia or unspecified"
F23.0,"Cycloid psychosis without symptoms of schizophrenia or unspecified"
F23.1,"Bouff&eacute;e d&eacute;lirante with symptoms of schizophrenia"
F23.1,"Cycloid psychosis with symptoms of schizophrenia"
F23.2,"Acute (undifferentiated) schizophrenia"
F23.2,"Brief schizophreniform disorder"
F23.2,"Brief schizophreniform psychosis"
F23.2,"Oneirophrenia"
F23.2,"Schizophrenic reaction"
F23.3,"Paranoid reaction"
F23.3,"Psychogenic paranoid psychosis"
F23.9,"Brief reactive psychosis NOS"
F23.9,"Reactive psychosis"
F24,"Folie &agrave; deux"
F24,"Induced paranoid disorder"
F24,"Induced psychotic disorder"
F25.0,"Schizoaffective psychosis, manic type"
F25.0,"Schizophreniform psychosis, manic type"
F25.1,"Schizoaffective psychosis, depressive type"
F25.1,"Schizophreniform psychosis, depressive type"
F25.2,"Cyclic schizophrenia"
F25.2,"Mixed schizophrenic and affective psychosis"
F25.9,"Schizoaffective psychosis NOS"
F28,"Chronic hallucinatory psychosis"
F29,"Psychosis NOS"
F30.2,"Mania with mood-congruent psychotic symptoms"
F30.2,"Mania with mood-incongruent psychotic symptoms"
F30.2,"Manic stupor"
F30.9,"Mania NOS"
F31.8,"Bipolar II disorder"
F31.8,"Recurrent manic episodes NOS"
F32.3,"Single episodes of major depression with psychotic symptoms"
F32.3,"Single episodes of psychogenic depressive psychosis"
F32.3,"Single episodes of psychotic depression"
F32.3,"Single episodes of reactive depressive psychosis"
F32.8,"Atypical depression"
F32.8,"Single episodes of "masked" depression NOS"
F32.9,"Depression NOS"
F32.9,"Depressive disorder NOS"
F33.2,"Endogenous depression without psychotic symptoms"
F33.2,"Major depression, recurrent without psychotic symptoms"
F33.2,"Manic-depressive psychosis, depressed type without psychotic symptoms"
F33.2,"Vital depression, recurrent without psychotic symptoms"
F33.3,"Endogenous depression with psychotic symptoms"
F33.3,"Manic-depressive psychosis, depressed type with psychotic symptoms"
F33.3,"Recurrent severe episodes of major depression with psychotic symptoms"
F33.3,"Recurrent severe episodes of psychogenic depressive psychosis"
F33.3,"Recurrent severe episodes of psychotic depression"
F33.3,"Recurrent severe episodes of reactive depressive psychosis"
F33.9,"Monopolar depression NOS"
F34.0,"Affective personality disorder"
F34.0,"Cycloid personality"
F34.0,"Cyclothymic personality"
F34.1,"Depressive neurosis"
F34.1,"Depressive personality disorder"
F34.1,"Neurotic depression"
F34.1,"Persistent anxiety depression"
F38.0,"Mixed affective episode"
F38.1,"Recurrent brief depressive episodes"
F39,"Affective psychosis NOS"
,"when associated with conduct disorder in F91.- (F92.8)"
F40.0,"Agoraphobia without history of panic disorder"
F40.0,"Panic disorder with agoraphobia"
F40.1,"Anthropophobia"
F40.1,"Social neurosis"
F40.2,"Acrophobia"
F40.2,"Animal phobias"
F40.2,"Claustrophobia"
F40.2,"Simple phobia"
F40.9,"Phobia NOS"
F40.9,"Phobic state NOS"
F41.0,"Panic attack"
F41.0,"Panic state"
F41.1,"Anxiety neurosis"
F41.1,"Anxiety reaction"
F41.1,"Anxiety state"
F41.2,"Anxiety depression (mild or not persistent)"
F41.8,"Anxiety hysteria"
F41.9,"Anxiety NOS"
F43.0,"Acute crisis reaction"
F43.0,"Acute reaction to stress"
F43.0,"Combat fatigue"
F43.0,"Crisis state"
F43.0,"Psychic shock"
F43.1,"Traumatic neurosis"
F43.2,"Culture shock"
F43.2,"Grief reaction"
F43.2,"Hospitalism in children"
F44.4,"Psychogenic aphonia"
F44.4,"Psychogenic dysphonia"
F44.6,"Psychogenic deafness"
F44.7,"Combination of disorders specified in F44.0-F44.6"
F44.8,"Ganser's syndrome"
F44.8,"Multiple personality"
F44.8,"Psychogenic confusion"
F44.8,"Psychogenic twilight state"
F45.0,"Briquet's disorder"
F45.0,"Multiple psychosomatic disorder"
F45.1,"Undifferentiated psychosomatic disorder"
F45.2,"Body dysmorphic disorder"
F45.2,"Dysmorphophobia (nondelusional)"
F45.2,"Hypochondriacal neurosis"
F45.2,"Hypochondriasis"
F45.2,"Nosophobia"
F45.3,"Cardiac neurosis"
F45.3,"Da Costa's syndrome"
F45.3,"Gastric neurosis"
F45.3,"Neurocirculatory asthenia"
F45.3,"Psychogenic forms of aerophagy"
F45.3,"Psychogenic forms of cough"
F45.3,"Psychogenic forms of diarrhoea"
F45.3,"Psychogenic forms of dyspepsia"
F45.3,"Psychogenic forms of dysuria"
F45.3,"Psychogenic forms of flatulence"
F45.3,"Psychogenic forms of hiccough"
F45.3,"Psychogenic forms of hyperventilation"
F45.3,"Psychogenic forms of increased frequency of micturition"
F45.3,"Psychogenic forms of irritable bowel syndrome"
F45.3,"Psychogenic forms of pylorospasm"
F45.4,"Psychalgia"
F45.4,"Psychogenic backache"
F45.4,"Psychogenic headache"
F45.4,"Somatoform pain disorder"
F45.8,"Psychogenic dysmenorrhoea"
F45.8,"Psychogenic dysphagia, including "globus hystericus""
F45.8,"Psychogenic pruritus"
F45.8,"Psychogenic torticollis"
F45.8,"Teeth-grinding"
F45.9,"Psychosomatic disorder NOS"
F48.0,"Fatigue syndrome"
F48.8,"Dhat syndrome"
F48.8,"Occupational neurosis, including writer's cramp"
F48.8,"Psychasthenia"
F48.8,"Psychasthenic neurosis"
F48.8,"Psychogenic syncope"
F48.9,"Neurosis NOS"
F50.2,"Bulimia NOS"
F50.2,"Hyperorexia nervosa"
F50.4,"Psychogenic overeating"
F50.5,"Psychogenic vomiting"
F50.8,"Pica in adults"
F50.8,"Psychogenic loss of appetite"
F51.5,"Dream anxiety disorder"
F51.9,"Emotional sleep disorder NOS"
F52.0,"Frigidity"
F52.0,"Hypoactive sexual desire disorder"
F52.1,"Anhedonia (sexual)"
F52.2,"Female sexual arousal disorder"
F52.2,"Male erectile disorder"
F52.2,"Psychogenic impotence"
F52.3,"Inhibited orgasm (male)(female)"
F52.3,"Psychogenic anorgasmy"
F52.5,"Psychogenic vaginismus"
F52.6,"Psychogenic dyspareunia"
F52.7,"Nymphomania"
F52.7,"Satyriasis"
F53.0,"Depression postnatal NOS"
F53.0,"Depression postpartum NOS"
F53.1,"Puerperal psychosis NOS"
F54,"Psychological factors affecting physical conditions"
F54,"Examples of the use of this category are asthma F54 and J45.-"
F54,"Examples of the use of this category are dermatitis F54 and L23-L25"
F54,"Examples of the use of this category are gastric ulcer F54 and K25.-"
F54,"Examples of the use of this category are mucous colitis F54 and K58.-"
F54,"Examples of the use of this category are ulcerative colitis F54 and K51.-"
F54,"Examples of the use of this category are urticaria F54 and L50.-"
F55,"Abuse of antacids"
F55,"Abuse of herbal or folk remedies"
F55,"Abuse of steroids or hormones"
F55,"Abuse of vitamins"
F55,"Laxative habit"
F59,"Psychogenic physiological dysfunction NOS"
F60.0,"Personality (disorder) expansive paranoid"
F60.0,"Personality (disorder) fanatic"
F60.0,"Personality (disorder) querulant"
F60.0,"Personality (disorder) paranoid"
F60.0,"Personality (disorder) sensitive paranoid"
F60.2,"Personality (disorder) amoral"
F60.2,"Personality (disorder) antisocial"
F60.2,"Personality (disorder) asocial"
F60.2,"Personality (disorder) psychopathic"
F60.2,"Personality (disorder) sociopathic"
F60.3,"Personality (disorder) aggressive"
F60.3,"Personality (disorder) borderline"
F60.3,"Personality (disorder) explosive"
F60.4,"Personality (disorder) hysterical"
F60.4,"Personality (disorder) psychoinfantile"
F60.5,"Personality (disorder) compulsive"
F60.5,"Personality (disorder) obsessional"
F60.5,"Personality (disorder) obsessive-compulsive"
F60.7,"Personality (disorder) asthenic"
F60.7,"Personality (disorder) inadequate"
F60.7,"Personality (disorder) passive"
F60.7,"Personality (disorder) self-defeating"
F60.8,"Personality (disorder) eccentric"
F60.8,"Personality (disorder) "haltlose" type"
F60.8,"Personality (disorder) immature"
F60.8,"Personality (disorder) narcissistic"
F60.8,"Personality (disorder) passive-aggressive"
F60.8,"Personality (disorder) psychoneurotic"
F60.9,"Character neurosis NOS"
F60.9,"Pathological personality NOS"
F62.0,"Personality change after concentration camp experiences"
F62.0,"Personality change after disasters"
F62.0,"&nbsp;&nbsp;&middot; captivity with an imminent possibility of being killed"
F62.0,"&nbsp;&nbsp;&middot; exposure to life-threatening situations such as being a victim of terrorism"
F62.0,"&nbsp;&nbsp;&middot; exposure to life-threatening situations such as being a victim of terrorismtorture"
F62.8,"Chronic pain personality syndrome"
F63.0,"Compulsive gambling"
F63.8,"Intermittent explosive disorder"
F64.1,"Gender identity disorder of adolescence or adulthood, nontranssexual type"
F64.9,"Gender-role disorder NOS"
F65.1,"Transvestic fetishism"
F65.5,"Masochism"
F65.5,"Sadism"
F65.8,"Frotteurism"
F65.8,"Necrophilia"
F65.9,"Sexual deviation NOS"
F68.0,"Compensation neurosis"
F68.1,"Hospital hopper syndrome"
F68.1,"M&uuml;nchhausen's syndrome"
F68.1,"Peregrinating patient"
F68.8,"Character disorder NOS"
F68.8,"Relationship disorder NOS"
F80.0,"Developmental phonological disorder"
F80.0,"Developmental speech articulation disorder"
F80.0,"Dyslalia"
F80.0,"Functional speech articulation disorder"
F80.0,"Lalling"
F80.1,"Developmental dysphasia or aphasia, expressive type"
F80.2,"Congenital auditory imperception"
F80.2,"Developmental dysphasia or aphasia, receptive type"
F80.2,"Developmental Wernicke's aphasia"
F80.2,"Word deafness"
F80.8,"Lisping"
F80.9,"Language disorder NOS"
F81.0,""Backward reading""
F81.0,"Developmental dyslexia"
F81.0,"Specific reading retardation"
F81.1,"Specific spelling retardation (without reading disorder)"
F81.2,"Developmental acalculia"
F81.2,"Developmental arithmetical disorder"
F81.2,"Developmental Gerstmann's syndrome"
F81.8,"Developmental expressive writing disorder"
